algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,52,5.194253122102357,0.7565214815735817,32.18289010822773,0.4137426900584795,0.8216458090714046,44.83219753265381,1000.0,1.0,0.16131322094055012,121,0,50124,375,2.676127510969426,0.0,180.68308585030692,0.0,0.8005242401360284,0.0,180.68308585030692,0.0,0.656239492552621,0.0,0.8005242401360284,0.0,5128.615063754427,0.0,2.676127510969426,1.0979917546664624,0.656239492552621,0.8005242401360284,6.323908004760742,179.50152723140494
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,53,5.194253122102357,0.7266009794920683,5592.514870065748,0.08055555555555555,0.834701185876673,257.34978724161783,1000.0,0.2222222222222222,0.04502164502164502,15,584,50425,48,2.7241041448307937,0.0,183.31529235839844,0.0,0.8123608880028197,0.0,183.31529235839844,0.0,0.6216491650451313,0.0,0.8123608880028197,0.0,5815.21284116669,0.0,2.7241041448307937,1.1011293562264899,0.6216491650451313,0.8123608880028197,10.082341079711915,319.8367062641679
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,54,5.194253122102357,0.6943619843292982,1730242.8502554372,0.12,1.0658792365681042,3061.9794775390624,1000.0,0.2,0.10101010101010101,573,483,49745,31,2.750944976839861,0.0,178.22968222878197,0.0,0.7908402779947651,0.0,178.22968222878197,0.0,0.6429126560688019,0.0,0.7908402779947651,0.0,5525.019887939959,0.0,2.750944976839861,1.1063773977070457,0.6429126560688019,0.7908402779947651,9.802632522583007,303.8760938366977
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,55,5.2085231966284296,0.682204983048141,346831019.43912625,0.14857142857142858,0.7461090758442879,47317.270455729165,1000.0,0.16666666666666669,0.1278409090909091,9105,311,41072,14,2.768798268956724,0.0,194.2116584777832,0.0,0.8598331964487478,0.0,194.2116584777832,0.0,0.5096915173926391,0.0,0.8598331964487478,0.0,4907.952770560089,0.0,2.768798268956724,1.1124573423807123,0.5096915173926391,0.8598331964487478,7.7684663391113284,196.31811082240358
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,56,5.210601995881964,0.6717064833641052,41943579566.457245,0.06733813018775,0.7367253924409548,583452.845,1000.0,0.33428571428571424,0.03131886716361602,8840,297,41338,5,2.7901914856151677,0.0,177.7722930908203,0.0,0.7884186627423754,0.0,177.7722930908203,0.0,0.6197371284166971,0.0,0.7884186627423754,0.0,5320.341308942625,0.0,2.7901914856151677,1.118126119760199,0.6197371284166971,0.7884186627423754,5.333168792724609,159.61023926827878
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,57,5.215033697709807,0.6391919855028391,14991999645523.723,0.001636661211129296,0.5756171972357801,7233079.1033333335,1000.0,0.02564102564102564,0.0007849293563579278,7108,872,43538,18,2.8885561777651985,0.0,191.94368416922433,0.0,0.8511038865529483,0.0,191.94368416922433,0.0,0.5081707454020423,0.0,0.8511038865529483,0.0,4514.577467437991,0.0,2.8885561777651985,1.1020958751912275,0.5081707454020423,0.8511038865529483,13.436057891845703,316.0204227206593
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,58,5.215033697709807,0.5935349840298295,2281257933110785.5,0.10579631784811773,0.6814404039790756,77329716.58666667,1000.0,0.2913566696461433,0.08454920819212512,8176,1241,42791,56,2.9757375093663945,0.0,190.67204204358552,0.0,0.8463214986901623,0.0,190.67204204358552,0.0,0.49601961437024567,0.0,0.8463214986901623,0.0,4849.393668168456,0.0,2.9757375093663945,1.0873014700673032,0.49601961437024567,0.8463214986901623,18.113843994140623,460.69239847600346
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,59,5.215033697709807,0.5828609842807054,2.2166965999745754e+17,0.0,0.5870976895093918,907805948.16,1000.0,0.0,0.0,3432,856,47259,11,3.0298221861665775,0.0,192.33569717407227,0.0,0.8523899498541803,0.0,192.33569717407227,0.0,0.46919892945637304,0.0,0.8523899498541803,0.0,4115.266032478529,0.0,3.0298221861665775,1.0782920130532503,0.46919892945637304,0.8523899498541803,11.540141830444336,246.91596194871178
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,60,5.215033697709807,0.5839854849874974,1.774860291101186e+19,0.21151825345872358,0.35612458404567504,9317192681.813334,1000.0,0.6106393606393605,0.1449101373272071,8076,553,42341,16,3.037207832810444,0.0,227.42825486924914,0.0,1.0091572638332496,0.0,227.42825486924914,0.0,0.16119557701879078,0.0,1.0091572638332496,0.0,1241.0567465130473,0.0,3.037207832810444,1.0869781468650115,0.16119557701879078,1.0091572638332496,10.23427146911621,55.84755359308714
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,61,5.215033697709807,0.5705029852688313,2.9170509443566886e+21,0.10769230769230768,0.7559407635663564,109839881502.72,1000.0,0.09615384615384616,0.15384615384615385,3128,728,47413,29,3.0978165285242234,0.0,187.19569983849158,0.0,0.8314482674556493,0.0,187.19569983849158,0.0,0.47782884294597,0.0,0.8314482674556493,0.0,4221.072223869149,0.0,3.0978165285242234,1.0897988011814188,0.47782884294597,0.8314482674556493,12.167720489501953,274.36969455149466
