algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_dp_honest,sigma_dp_attacker,sigma_n_honest,sigma_n_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.3792894884943962,2.095764467716217,nan,0.5606598556041718,0.5639234900474548,1000.0,nan,nan,0,0,0,50158,224.26490783691406,225.56935465494792,1261.5221195067045,1288.2606447547123,0.019060445256894678,1.906044525689468,224.26490783691406,225.56935465494792,1.0,1.0,1.0,1.0,1.0,1.0,1.1512508935164383,0.9321785469853499,1.0,1.0,136.2386724243164,778.0024753308542
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,1,1.9751195725434545,0.5550334869325161,1.8908305442333222,nan,0.5589936276276907,1.0210169712702433,1000.0,0.0,nan,0,14,0,51196,223.59742863972983,239.26539037068684,1247.521748146267,1331.9040266774043,0.13510979829435782,1.9606811675594888,223.59742863972983,239.26539037068684,0.9900498337491682,1.0608481817277957,0.9900498337491682,1.0608481817277957,1.0,0.9284901167949041,1.2304526198534362,0.9470361228334467,0.931240496918177,1.0581251683440025,148.92557250976563,829.082937961953
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,2,2.0905588509723185,0.6523209825158119,1.6803349667787553,nan,0.5532988640997145,1.5499586951732636,1000.0,nan,nan,0,0,0,51100,221.31918674045139,229.2118179321289,1221.6969071863577,1250.6199701483827,0.22363997897057375,2.0698796854249144,221.31918674045139,229.2118179321289,0.9801986733067553,1.015927654414653,0.9801986733067553,1.015927654414653,1.0,0.963549245595932,1.331383802843178,0.985941476716341,0.9646109180543029,1.0148870044794716,141.51083612060546,772.362526418384
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,3,2.2410644774246857,0.7107854822278022,1.480459588766098,nan,0.5838364107268197,2.0224147605895997,1000.0,0.0,nan,0,140,0,51102,219.48836190359933,226.29217758178712,1241.7565478558486,1237.6950436016364,0.35480701883750443,2.207541826317497,219.48836190359933,226.29217758178712,0.9722113252074334,1.0027635358763587,0.9722113252074334,1.0027635358763587,0.9981804319790432,0.9666977679729462,1.4664479033255,1.0263853666690288,0.9681014536292689,1.001401335400674,141.92098068237306,777.3862095009456
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,4,2.4211134117745825,0.7515114822983742,1.3001055020093917,nan,0.5973178148269653,2.4732957696914672,1000.0,nan,nan,0,0,0,50968,217.044430202908,223.41312540690103,1304.2444497699444,1242.0442707737484,0.4377192931967844,2.3798071160406895,217.044430202908,223.41312540690103,0.9636375434766943,0.9902025447707066,0.9636375434766943,0.9902025447707066,0.9970356623331705,0.969386522769928,1.6029719869031276,1.0851054552519386,0.9701918375144885,0.9894288068689392,137.95467498779297,768.702962560108
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,5,2.468183550598347,0.7796934816241264,1.1457334762811662,nan,0.7804982960224152,2.8955271180470783,1000.0,nan,nan,0,0,0,50564,217.41057840983072,221.1643642171224,1399.52136330768,1269.3017670119457,0.47218417882205477,2.4580119441180357,217.41057840983072,221.1643642171224,0.9667580057123834,0.9805915580173816,0.9667580057123834,0.9805915580173816,0.9836752514044443,0.9691324377059937,1.6636808379996433,1.1124062603656695,0.9694175909157672,0.9803203118937542,135.30754547119142,778.3753165668596
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,6,2.5161549900058064,0.7997574791312217,1.0190672865509987,nan,0.665110068661826,3.284072393576304,1000.0,0.0,nan,0,10,0,50636,216.97071620396204,219.7683591715495,1536.314793941289,1310.811512128289,0.5276852184087233,2.504838321494556,216.97071620396204,219.7683591715495,0.9591639183466372,0.9744875862498972,0.9591639183466372,0.9744875862498972,0.9815246973718915,0.9652534667650858,1.7139770802602234,1.1208169473189906,0.9656244720232214,0.9741381866560118,134.89860552978516,807.9953143921514
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,7,2.573806009484179,0.8139839777350426,0.9180068936944008,nan,0.5796400010585785,3.6423703916867574,1000.0,0.0,nan,0,60,0,51426,215.14303697858537,218.82869288126628,1708.1281196828297,1341.486227319796,0.660874129111113,2.554221939709137,215.14303697858537,218.82869288126628,0.9546398185378665,0.9701554709150261,0.9546398185378665,0.9701554709150261,0.9761409844670977,0.9595003203550975,1.796882815469927,1.1105238365916494,0.9602422607932121,0.9694636902357897,137.32122076416016,852.7193237429968
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,8,2.6374776157647037,0.8243109801411629,0.8383816328644752,nan,0.6731766819953918,3.977794826030731,1000.0,0.0,nan,0,84,0,51586,212.33950805664062,217.7963832092285,1878.352975383402,1322.3766982329175,0.7898102009878818,2.606542613958493,212.33950805664062,217.7963832092285,0.9419371278482175,0.9657121369140667,0.9419371278482175,0.9657121369140667,0.9796116908391317,0.9538565309842427,1.8798496487702487,1.1004421485418525,0.9550829671678089,0.9645799936252166,137.04801516723631,849.7766082012525
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,9,2.710322564341264,0.8321454778313637,0.7747493597865105,nan,0.7489921450614929,4.30382194519043,1000.0,0.0,nan,0,37,0,51591,222.9011319478353,216.3131499226888,2192.7701991746094,1251.8029598307512,0.8520891763014194,2.664192198537795,222.9011319478353,216.3131499226888,0.9886947545417059,0.9587184855948107,0.9886947545417059,0.9587184855948107,0.9181956251462301,0.950994887749354,1.9393509896432453,1.1079192925054326,0.9497333776492339,0.9598714190158452,135.13751712036134,803.7082606786415
