algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_dp_norm_honest,n_dp_norm_attacker,nsr_honest,nsr_attacker,eps_n_honest,eps_n_attacker,sigma_dp_honest,sigma_dp_attacker,sigma_n_honest,sigma_n_attacker,trust_honest,trust_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,10,2.6365032325301914,0.683367983798186,19.474120370546977,nan,145.18856369821648,191.2030493927002,1000.0,nan,nan,0,0,0,32034,251.6612195466694,226.02718811035157,1623.097815412165,226.0271922886798,0.9182776975064496,2.575669371716561,1.1151939087859477,1.0022335346899423,1.1151939087859477,1.0022335346899423,0.7675201239946642,0.8923606443405151,251.6612195466694,226.02718811035157,1.581234367190494,1.1520931036949935,0.8815297316164459,1.0120337497941618,99.97400158691406,152.08859390113417
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,11,2.6748368608923383,0.6868776495133837,19.312404254078864,nan,102.32573767503102,188.51357131958008,1000.0,0.0,nan,0,11,0,31669,295.30096520317926,226.3803840637207,1335.5749696375378,226.38038823980662,0.9826147009254923,2.6111850103205256,1.309190057546151,1.0035055853038137,1.309190057546151,1.0035055853038137,0.5385798486984439,0.8798087215423585,295.30096520317926,226.3803840637207,1.6340428246835055,1.1507885253385581,0.8516338604818517,1.0287455875990525,101.18298837280274,138.632854202874
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,12,2.7281755415922224,0.6950089834506313,17.51451126217842,nan,114.5195742520419,184.65488761901855,1000.0,nan,nan,0,0,0,30700,279.2550908868963,227.6471241760254,1443.5206650472705,227.6471298081482,1.0232735521620573,2.6454782899926954,1.2391933838486884,1.0094935567944114,1.2391933838486884,1.0094935567944114,0.6028133612126112,0.8617991930246354,279.2550908868963,227.6471241760254,1.6721554472943128,1.1532271103320881,0.8482975619823023,1.0214684292948715,97.20246166992187,122.81630655429925
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,13,2.8031069520605434,0.7002649817119042,17.601775247852007,nan,73.82138158994563,182.3468625640869,1000.0,0.0,nan,0,61,0,30915,318.43138212316177,227.68636779785157,1336.0432200524026,227.6863730112571,1.072908264820678,2.679892775902587,1.4122308371308723,1.008908134723945,1.4122308371308723,1.008908134723945,0.39171143886907134,0.8510267800092697,318.43138212316177,227.68636779785157,1.7157020692534413,1.1530634063922427,0.8150435505190238,1.040504844129096,101.90121411132813,136.5000186862845
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,14,2.8494428785881456,0.7059713146090507,17.120635457634926,nan,125.17632909615834,179.01472229003906,1000.0,nan,nan,0,0,0,30632,262.84302096896704,228.32200370788576,1639.0612190288784,228.32200784669783,1.106396716931407,2.713621988340572,1.1628302128599421,1.0123887748081655,1.1628302128599421,1.0123887748081655,0.6624268736276362,0.8354757180809975,262.84302096896704,228.32200370788576,1.7492868254950733,1.1560401789297348,0.8280238539657809,1.018867114245802,96.0599758605957,120.83190508119894
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,15,2.8921313841636556,0.703363983258605,18.780433929959933,nan,102.9567666053772,175.8295639038086,1000.0,0.0,nan,0,6,0,31244,280.66084575653076,228.996307220459,1499.3666449454263,228.99631152372655,1.1575378858925798,2.746813689727014,1.2461319646094866,1.0151049875196927,1.2461319646094866,1.0151049875196927,0.5522012125584297,0.8206162655353546,280.66084575653076,228.996307220459,1.7932482074263534,1.1539495825628159,0.8007336690185454,1.0322180969337513,100.57966995239258,139.57825724774423
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,16,2.938811397523142,0.7092576485872268,17.326011972030003,nan,95.33576666225086,172.7313670349121,1000.0,0.0,nan,0,7,0,30995,289.5263879949396,229.5064176940918,1335.4090198395575,229.50642239671882,1.183722300884544,2.779763985491812,1.2820693457943277,1.0173242812027474,1.2820693457943277,1.0173242812027474,0.49547768534499814,0.8061588966846466,289.5263879949396,229.5064176940918,1.822138974727451,1.1580381281933052,0.7899622458565133,1.0311261566079957,98.1721476135254,121.18156739515778
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,17,2.98862667505779,0.70335098122557,18.62695679605007,nan,97.88731208443642,170.7494055175781,1000.0,0.0,nan,0,30,0,31024,274.48699951171875,228.96438362121583,2048.153053916394,228.9643882050881,1.253927076320795,2.8134579781235,1.2155686365182239,1.0150027650349085,1.2155686365182239,1.0150027650349085,0.559180598022067,0.7969122985005379,274.48699951171875,228.96438362121583,1.8777394370418767,1.149680131194067,0.77930254290954,1.029859496255895,100.36933743286133,157.12665300735983
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,18,3.059793168880091,0.6978673160076141,19.40338011066119,nan,106.7088778167963,167.69505027770995,1000.0,0.0,nan,0,13,0,30845,265.758376121521,229.35658340454103,2013.2949499631384,229.35658747448434,1.3167913417230508,2.846656131627451,1.1789567602140332,1.0168172315123494,1.1789567602140332,1.0168172315123494,0.588532496301923,0.782648755311966,265.758376121521,229.35658340454103,1.9287372576848107,1.142129589316401,0.7682697731630739,1.0288275669717333,100.24690139770507,156.16807338861418
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,19,3.134868462553465,0.69865198392421,19.3247582851847,nan,123.19503402709961,163.33238986968993,1000.0,nan,nan,0,0,0,31020,244.35595564408735,230.86118041992188,2007.618570373697,230.86118518139904,1.3628231925772867,2.8782434673056163,1.083142022803724,1.0235451818535626,1.083142022803724,1.0235451818535626,0.6902109447189353,0.7622784006595612,244.35595564408735,230.86118041992188,1.968991302468618,1.1385487771273948,0.7585213294967798,1.0266521261684998,97.72030319213867,136.51208262078097
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,20,3.2104323658925735,0.7016016501933336,18.46850514471531,nan,67.00147975683213,161.0964362335205,1000.0,0.0,nan,0,55,0,30677,297.4525187174479,230.48488815307618,1730.936885688256,230.48489210587388,1.4098604491814426,2.910354068590708,1.320632904259251,1.0219096240453323,1.320632904259251,1.0219096240453323,0.3869753282206754,0.7518367666006088,297.4525187174479,230.48488815307618,2.0100578969451486,1.134472747134533,0.7263813174113112,1.0427507831300245,101.1175308227539,144.12206341299722
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,21,3.2791009582233546,0.7038219827165206,17.983032358984154,nan,75.93642993768056,158.33621059417726,1000.0,0.0,nan,0,1,0,30809,290.5316467285156,230.59165855407716,1541.881842935711,230.59166257893128,1.4388689620772117,2.942456858234483,1.288277326797745,1.0221791843702335,1.288277326797745,1.0221791843702335,0.4106805267898987,0.7389599668979645,290.5316467285156,230.59165855407716,2.04030412054012,1.1359034125676428,0.7203781117975079,1.037241343375564,99.20942294311523,129.24182926202954
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,22,3.341960039069818,0.7004653163005908,20.16634636024634,nan,79.7627208860297,154.5798780822754,1000.0,0.0,nan,0,55,0,31323,281.6097010562294,231.45165496826172,1670.843212514344,231.4516588153022,1.4890324643238282,2.9733662449791725,1.248878594100219,1.026075528132294,1.248878594100219,1.026075528132294,0.44380144456303433,0.721431160569191,281.6097010562294,231.45165496826172,2.082765976585966,1.1306831888032671,0.69734456420336,1.045405474494808,103.28183062744141,156.07270560166594
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,23,3.409470132805522,0.6962636503825586,20.931947071452935,nan,118.24507269492516,150.52573207855224,1000.0,0.0,nan,0,8,0,30666,236.71524517352765,232.54069534301757,2332.6510127645247,232.54070012954588,1.5499123180502223,3.0045921666698927,1.051004885412591,1.0309023171167457,1.051004885412591,1.0309023171167457,0.6772052407837831,0.7025063334405423,236.71524517352765,232.54069534301757,2.1317842574980905,1.1214906666772448,0.700962135297172,1.0321292344305768,99.17087451171875,153.665206383696
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,24,3.4924868738578727,0.696057650198539,20.580123728811742,nan,73.26045473615328,148.1539539718628,1000.0,0.0,nan,0,44,0,30886,278.89141337076825,232.30605140686035,1998.6123267614182,232.30605600308107,1.6020566078973013,3.035970972835615,1.2372663255241914,1.029349899040268,1.2372663255241914,1.029349899040268,0.4271262349560857,0.6914398154616356,278.89141337076825,232.30605140686035,2.175622353872627,1.1147416051809003,0.6729993331007833,1.0438556962368208,101.28916296386718,152.88079220407496
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,25,3.5382070387699365,0.6905969829608997,20.962202458282313,nan,117.76002275943756,144.90341884613036,1000.0,0.0,nan,0,1,0,30857,227.05909220377603,232.6080126953125,2856.941469923722,232.6080166857004,1.6767122995569328,3.0665785746628296,1.0069441508651646,1.0309178626892808,1.0069441508651646,1.0309178626892808,0.7070581171040734,0.6762752617895603,227.05909220377603,232.6080126953125,2.2326588095992914,1.0996712153206643,0.6780176875620799,1.029560860133199,98.49262329101562,161.60980195244946
