algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,nsr_honest,nsr_attacker,sigma_n_honest,sigma_n_attacker,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,noise_norm_honest,noise_norm_attacker,sigma_dp_honest,sigma_dp_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,1.8141026670642857,0.3799659892916679,2.0955998420715334,nan,0.5636371799877712,0.5638625544309616,1000.0,nan,nan,0,0,0,30800,1288.099957924811,1288.9794921870032,1.0,1.0,1.0,1.0,225.45499093191964,225.54495796203614,225.45499093191964,225.54495796203614,1.0,1.0,0.0423290622315,1.8141026670642861,0.7510385041646146,0.8935335017419196,1.0,1.0,93.37435305786133,533.6251962857486
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,1.8441787518937602,0.5538036535183589,1.8905380769570668,nan,0.6175006031990051,1.0205972015857696,1000.0,0.0,nan,0,17,0,31151,1244.460313145775,1333.6903992695195,0.9972757118130754,1.0611274810234037,0.9927015006542206,0.928208010494709,224.70505905151367,239.40231185913086,224.70505905151367,239.40231185913086,0.9972757118130754,1.0611274810234037,0.12758829753419146,1.8397691020298113,0.8124606193324394,0.9128765356497156,0.9329853060620802,1.056397720341157,102.95148663330077,573.2988897284725
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,1.8868369650214356,0.650318317214648,1.6800608110427857,nan,0.6193262497584026,1.5500242865085603,1000.0,0.0,nan,0,2,0,31304,1214.333425755514,1250.1047791602164,0.9824535082533985,1.0157850997703135,0.9976996143658956,0.9636946800351143,221.5888671875,229.0981859588623,221.5888671875,229.0981859588623,0.9824535082533985,1.0157850997703135,0.2133058183138175,1.8816572067080244,0.8806463736715002,0.9352675013743365,0.966067117314006,1.0134596398970406,98.28694039916992,536.471914436752
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,1.9419511961667897,0.7094399817784627,1.4803069202105203,nan,0.5976694256067276,2.022473206520081,1000.0,0.0,nan,0,126,0,31256,1247.7673385929863,1236.7560609198417,0.9730229740856323,1.002636306303228,0.9973440647125245,0.9668288722634315,219.52178115844725,226.21750030517578,219.52178115844725,226.21750030517578,0.9730229740856323,1.002636306303228,0.3245169907731572,1.9320048488612411,0.967512134008391,0.9563868149181001,0.9696029806678945,0.9999441851925378,99.26787136840821,544.6131179116561
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,2.0065252379806178,0.7506399838129679,1.3001197838783265,nan,0.5765019272054944,2.4732165610790253,1000.0,0.0,nan,0,1,0,31207,1302.483699632385,1242.1452020707447,0.96252422756829,0.990131383872436,0.9981944135257176,0.9694605877995491,216.89076450892858,223.48192489624023,216.89076450892858,223.48192489624023,0.96252422756829,0.990131383872436,0.4055235350691095,1.9930580685203685,1.0405373484496132,0.9771198696643353,0.9713403707909807,0.9883253082263703,95.4657113647461,533.3276244180047
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,2.0889443255083058,0.7791256469488144,1.1461238296826681,nan,0.8088227311770121,2.894943438768387,1000.0,0.0,nan,0,2,0,30864,1397.4578478730973,1269.939686512607,0.9643501271824336,0.980678210517427,0.9862065845065646,0.9690413424372673,217.4638417561849,221.27893180847167,217.4638417561849,221.27893180847167,0.9643501271824336,0.980678210517427,0.4378983293359687,2.0647255047097626,1.0886291994854862,1.0032114493244062,0.9697805155407299,0.9799750873116138,92.425921875,533.1301158667586
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,2.1743438586404853,0.7993749801317851,1.0197083121538162,nan,0.6790088574091594,3.282575775384903,1000.0,0.0,nan,0,38,0,31134,1552.7170568353356,1311.2848731460704,0.9640065022162487,0.974804455969483,0.9763826648394267,0.9649170029163361,217.69206848144532,219.91089530944825,217.69206848144532,219.91089530944825,0.9640065022162487,0.974804455969483,0.5086343938428256,2.144570927723306,1.1630090073950177,1.0272722047594016,0.965716932817947,0.9740511103587923,94.49512017822266,571.0954609634882
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,2.2822927776412505,0.8137533140182495,0.9188337157169978,nan,0.6198038425710466,3.6389191949367525,1000.0,0.0,nan,0,95,0,30953,1717.6035522132083,1342.6011450689134,0.9549542019158773,0.9709068144742028,0.9758038057221307,0.9586944982409478,215.5226821899414,219.01135925292968,215.5226821899414,219.01135925292968,0.9549542019158773,0.9709068144742028,0.5999621622622019,2.2305479984798002,1.2521964967492414,1.0476992927693505,0.9601071933540729,0.9695896262813137,95.36336026000977,598.874185907241
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,2.408466587928833,0.8240279787778855,0.8392609916130702,nan,0.7259213017380756,3.97866472363472,1000.0,0.0,nan,0,127,0,31787,1923.8038560541543,1323.6328948457783,0.9648027956769463,0.9654241075420543,0.9548416085865187,0.9541685494780541,217.72777855914572,217.6970704650879,217.72777855914572,217.6970704650879,0.9648027956769463,0.9654241075420543,0.6885769584157534,2.3262006764169465,1.3436264456162306,1.0693274711523515,0.9542379681304965,0.9653600260492405,97.09430599975586,617.9481353168024
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,2.5082542728290536,0.831934645374616,0.7756707670291265,nan,0.7717195616828071,4.299178016185761,1000.0,0.0,nan,0,40,0,31698,2165.7943409517475,1253.14520821948,0.9777644282797959,0.9595615620498489,0.9301553070545197,0.9500724151730537,220.41011725531683,216.41481384277344,220.41011725531683,216.41481384277344,0.9777644282797959,0.9595615620498489,0.7446007740622914,2.43374813017392,1.4202597165069428,1.0987123308855837,0.9484278833100556,0.9610645510046152,94.50068975830078,579.2266795620551
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,10,2.548446899813022,0.8381066459417343,0.7248687388499578,nan,0.7684316384164911,4.615914323329926,1000.0,0.0,nan,0,48,0,31986,2258.9220046190107,1150.0686595796378,0.9282058592508176,0.9507633646165456,0.9741738783685785,0.9492439794540405,209.51570290013365,214.41844612121582,209.51570290013365,214.41844612121582,0.9282058592508176,0.9507633646165456,0.8363691757773162,2.5144715762471064,1.5076101359652323,1.1077386827070876,0.9514068473963977,0.9488063207720304,93.72897515869141,545.8665000073777
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,11,2.5881238988462454,0.8433553123474121,0.6833761199315389,nan,0.8794898125860426,4.921644060611725,1000.0,0.0,nan,0,4,0,31676,2492.6965302432636,1037.7232967962439,0.9339643998740653,0.9410824395362809,0.9574360218313005,0.9494903102517128,210.6845711602105,212.2981679534912,210.6845711602105,212.2981679534912,0.9339643998740653,0.9410824395362809,0.8969705648578471,2.5594495955433105,1.5619621771320324,1.1105336001241393,0.9501463781803026,0.9404947114907768,92.50391174316407,504.8263938072551
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,12,2.6420827116163257,0.8475653131802877,0.6491395688056946,nan,0.9055332812395963,5.196846139431,1000.0,0.0,nan,0,12,0,30688,2687.8935261318243,938.9076269180689,0.9332575029052509,0.9339951451359757,0.9477551037614996,0.9469234144687653,210.3090293190696,210.62038055419922,210.3090293190696,210.62038055419922,0.9332575029052509,0.9339951451359757,0.9354600325433694,2.6000623468670256,1.601300958272832,1.1159852513451172,0.9469667726783391,0.9339566898538053,88.87495086669922,434.69670834212764
