algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,noise_norm_honest,noise_norm_attacker,sigma_dp_honest,sigma_dp_attacker,sigma_n_honest,sigma_n_attacker,nsr_honest,nsr_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,1.3224927136171427,0.37994198938210805,2.0956053630510967,nan,0.6763646687780108,0.67663503408432,1000.0,nan,nan,0,0,0,30800,0.03085816331773333,1.3224927136171427,270.5459943498884,270.6539598083496,270.5459943498884,270.6539598083496,1.2,1.1999999999999997,1.2,1.1999999999999997,1545.719978962547,1546.7754492950346,1.0,1.0,0.5475119834374972,0.6513917689889069,1.0,1.1999999999999995,112.04922784423829,640.3502594234894
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,1.3621978202489422,0.5536433200041453,1.890593193769455,nan,0.7449647635221481,1.2230497992038727,1000.0,0.0,nan,0,17,0,31151,0.09316959780650684,1.3542976451718836,271.5707950592041,289.64187728881836,271.5707950592041,289.64187728881836,1.205274106961092,1.2838091340794022,1.205274106961092,1.2838091340794022,1503.573432671968,1612.8309208515007,0.9925872012972832,0.9269447129964828,0.5976208167526574,0.6714986000988874,0.9318071195372829,1.2779917246632313,124.54701635742188,693.2467181861033
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,1.4204344841245011,0.6501733177900314,1.6801538781325023,nan,0.7516097625096639,1.855038549900055,1000.0,0.0,nan,0,2,0,31304,0.15578498005747043,1.4102702274758292,269.69846598307294,279.489246673584,269.69846598307294,279.489246673584,1.195755711758921,1.239211253164177,1.195755711758921,1.239211253164177,1477.300663255781,1519.2137724244697,0.9975401560465494,0.9611092740297318,0.6575790790248139,0.6985503608682874,0.9636509634727656,1.2361794712056706,119.88665264892578,652.0045288674612
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,1.4907422347920125,0.7093283146619797,1.480422168970108,nan,0.7313165009021759,2.4181684863567354,1000.0,0.0,nan,0,126,0,31256,0.23702905443750552,1.4721851186993593,269.0594055175781,278.16261550903323,269.0594055175781,278.16261550903323,1.1925970457078718,1.2328660950528678,1.1925970457078718,1.2328660950528678,1529.145759263643,1502.93028714468,0.9971842795610428,0.9633233574032783,0.7310914801422469,0.7234009839314883,0.9664016230539842,1.229205272385141,122.02742242431641,662.3379452284178
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,1.56427067432407,0.7505726504325867,1.3002207752068837,nan,0.7107708709580558,2.9566503596305846,1000.0,0.0,nan,0,1,0,31207,0.29600824972510614,1.5411292115716528,267.66744123186385,276.77317779541016,267.66744123186385,276.77317779541016,1.1878623462493665,1.2262370957681674,1.1878623462493665,1.2262370957681674,1607.2520222886037,1506.2820895417847,0.998164530311312,0.9657995131611824,0.7940566344637249,0.747376174317331,0.9679168507317516,1.223726598136096,118.20395947265625,647.5158924407947
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,1.6543983092578376,0.7790603131055832,1.1462609426180521,nan,0.9960042436917623,3.4583968222141266,1000.0,0.0,nan,0,2,0,30864,0.319757631520996,1.613150877748125,270.4162190755208,276.1488084411621,270.4162190755208,276.1488084411621,1.1991686315365144,1.2238542920375368,1.1991686315365144,1.2238542920375368,1735.4265367184157,1535.7112310210514,0.9855902128749423,0.964707932472229,0.8371149300118474,0.7743151545206494,0.9656071694273698,1.222791273164287,115.32701531982421,645.522170069352
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,1.7289184569179303,0.799290646314621,1.0198583294947943,nan,0.8396078626314799,3.9173552894592287,1000.0,0.0,nan,0,38,0,31134,0.3707632490538609,1.6829061363233913,272.50425211588544,276.62826614379884,272.50425211588544,276.62826614379884,1.2067312509637569,1.2262168538010063,1.2067312509637569,1.2262168538010063,1943.3870826943983,1573.8923923566688,0.9761257648468018,0.9595928320288658,0.895620403961673,0.7954762212557939,0.9607462924580241,1.2248573931379423,118.82643402099609,687.8585694234995
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,1.8200193368444748,0.8136249792575836,0.9189837116003037,nan,0.7737853328386942,4.344601333141327,1000.0,0.0,nan,0,94,0,30954,0.43597843111867735,1.7495411245995343,271.65680101182727,277.29841186523436,271.65680101182727,277.29841186523436,1.2036771201762153,1.2293010198051189,1.2036771201762153,1.2293010198051189,2164.432813246959,1580.1711105197712,0.9756486515204111,0.9538422420620918,0.9614035085110202,0.8104963608563718,0.9556427712834209,1.2271852849733744,120.69900958251954,709.988025484799
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,1.8994422935201725,0.823911646604538,0.8394874435663223,nan,0.9062361820884373,4.761688420772552,1000.0,0.0,nan,0,127,0,31787,0.4986103694339746,1.8177117514628225,276.47070445185125,276.95377792358397,276.47070445185125,276.95377792358397,1.225107235274384,1.2282110674114701,1.225107235274384,1.2282110674114701,2441.2945655971403,1510.8909729380218,0.9542787671089172,0.9516294127702714,1.0262509222455134,0.8244571902569098,0.9519026645630464,1.2278909412269272,123.49916357421876,716.655939192677
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,1.9163090992626912,0.8318086459239324,0.7759389879306158,nan,0.9602606958813138,5.1622831463813785,1000.0,0.0,nan,0,41,0,31697,0.5375422433189821,1.8830426980250683,281.77168443467883,276.42641952514646,281.77168443467883,276.42641952514646,1.2499719997326875,1.2256478403778173,1.2499719997326875,1.2256478403778173,2767.1812019052622,1387.8130660660781,0.9298491775989532,0.9506740593910217,1.0757424252014167,0.8405232031522979,0.9489545737384656,1.2276562572052836,120.71434844970703,654.7437496950207
