algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,trust_honest,trust_attacker,nsr_honest,nsr_attacker,eps_n_honest,eps_n_attacker,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,10,0.4219319424277408,0.8353763143221538,0.7293072285254797,nan,2.2559246452231156,13.840941138267517,1000.0,0.0,nan,0,49,0,31985,0.9636684812997517,0.948778740465641,6760.724490045908,1177.200693061047,0.12076857136416198,0.369625725565961,2.8131346068300527,2.8535529907847366,634.9771150287829,643.5416860961914,2.8131346068300527,2.8535529907847366,634.9771150287829,643.5416860961914,0.22031143304488157,0.16445853809819222,0.9500705444649474,2.850046372998714,281.5458048095703,727.7878078461634
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,11,0.4673963877120726,0.8399383133649826,0.6893236259619395,nan,2.5728820496135287,14.64064537525177,1000.0,0.0,nan,0,4,0,31676,0.945312629143397,0.9414978978037835,7364.494054088209,1060.4165717335875,0.13200354098528236,0.39509829219390213,2.8344748466384804,2.844726946291514,639.4272935655382,641.7418688964843,2.8344748466384804,2.844726946291514,639.4272935655382,641.7418688964843,0.2372414414687303,0.17319791987801605,0.9418128756208157,2.8438804426504385,279.71613012695315,689.2884146406105
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,12,0.47414701112809765,0.8440839797258377,0.6551623692115148,nan,2.6356807188554243,15.298040099143982,1000.0,0.0,nan,0,11,0,30689,0.9323860515247692,0.9291557464003563,7909.682969738872,974.8716523724726,0.1390381776279105,0.42116259411251433,2.8406658882809417,2.8492609591759632,640.1491588245739,642.5216934204102,2.8406658882809417,2.8492609591759632,640.1491588245739,642.5216934204102,0.251887944221752,0.18221495783077934,0.9293241509329087,2.848812874911294,271.0919588623047,563.9616862832441
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,13,0.4810087688751813,0.8473416445652644,0.628031880458196,nan,2.5485324579126694,15.94214621067047,1000.0,0.0,nan,0,107,0,30869,0.9142747100661782,0.9197638735175133,8633.798649629736,904.4978846862743,0.14756809453624398,0.444550374456072,2.860111248977372,2.8456512209387914,644.9102639590992,642.1939074707032,2.860111248977372,2.8456512209387914,644.9102639590992,642.1939074707032,0.26636100650417516,0.18955787602255414,0.9193338468876852,2.84678403419527,278.8045119628906,655.3483079619208
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,14,0.48776922023976976,0.8505846446752549,0.6033569006125132,nan,2.8019512626859875,16.502826504707336,1000.0,0.0,nan,0,3,0,30629,0.9316820237371657,0.908856488764286,9061.940516244538,847.0933140486022,0.15322328884406913,0.4626373642934013,2.786253092066043,2.8457837924842124,629.9210137261284,641.8025247192382,2.786253092066043,2.8457837924842124,629.9210137261284,641.8025247192382,0.276988919023802,0.19510306134651614,0.9098394065382378,2.8432202694996977,268.05958813476565,501.95225491184254
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,15,0.4944718290804553,0.8528426450490951,0.5836515782276789,nan,2.669538103044033,17.00988429546356,1000.0,0.0,nan,0,54,0,31196,0.8930342979729176,0.8980306109786034,9681.680866696883,796.1960508453635,0.16181384046193437,0.4769556855313865,2.858322628091021,2.8454215287208906,643.6819305419922,641.89517578125,2.858322628091021,2.8454215287208906,643.6819305419922,641.89517578125,0.28787057848971515,0.1984294082623847,0.897660513718923,2.8463771657112704,277.35589208984373,628.2922080724458
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,16,0.5014900421118854,0.8553283125162124,0.5652786972125371,nan,3.000619324770841,17.476840643882753,1000.0,0.0,nan,0,5,0,30997,0.9183699217709628,0.8877907636761665,10285.173176603756,753.8638390159141,0.16643981827876966,0.4886698647427636,2.7651130593657345,2.8432865782926235,624.4652765447444,641.4387777709961,2.7651130593657345,2.8432865782926235,624.4652765447444,641.4387777709961,0.29533183686436726,0.20168042154346455,0.8893849377948526,2.839211181571316,270.31374719238283,527.8193454916483
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,17,0.5085968097056653,0.8574026461442311,0.5495883230368296,nan,2.197577953338623,17.88903076171875,1000.0,0.0,nan,0,74,0,30980,0.891864400357008,0.8772122207283973,10900.492820381765,716.364728708349,0.17759199980575266,0.49906883849117034,2.8046850523101856,2.841769637627513,633.1487007141113,641.0435916137695,2.8046850523101856,2.841769637627513,633.1487007141113,641.0435916137695,0.30618273527991974,0.20238065042283213,0.8782975673675537,2.8390226313077105,276.6781950683594,635.3616617355561
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,18,0.5157636976203326,0.859308646718661,0.536060804327329,nan,2.4467296823859215,18.237385063171388,1000.0,0.0,nan,0,102,0,30756,0.8746582288295031,0.8657605734467506,11599.539760401403,686.2473225364264,0.18763209580043566,0.5079459109621236,2.8198933773465487,2.842189216824397,635.7185363769531,641.089128112793,2.8198933773465487,2.842189216824397,635.7185363769531,641.089128112793,0.3157576218651108,0.20265499904211795,0.8664196590306582,2.8405376731593717,276.77864440917966,645.6842013474154
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,19,0.5228434574253319,0.8610253123442332,0.5241571033994357,nan,2.6945828091014516,18.49051257610321,1000.0,0.0,nan,0,16,0,31004,0.8934430750933561,0.8519585943222046,11599.472987813357,665.4632918414015,0.19465962690379007,0.5156421874196502,2.7452320688394853,2.8481499797112892,619.3958629261364,642.394274597168,2.7452320688394853,2.8481499797112892,619.3958629261364,642.394274597168,0.3230526511101341,0.20320206233306018,0.8541212923718855,2.8427845909928546,270.5844188232422,521.3737224684545
