algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_n_honest,sigma_n_attacker,nsr_honest,nsr_attacker,trust_honest,trust_attacker,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,95,7.282804697437304,0.5862107354961336,nan,0.4107547022520889,nan,nan,1000.0,0.2777526130324015,0.30167201537611743,3656,708,6840,174,nan,0.0,nan,0.0,nan,0.0,4.945672737041906,0.0,nan,0.0,nan,0.0,nan,0.0,4.945672737041906,1.036453971841028,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,96,7.319849649266901,0.5688527370616794,nan,0.4801638694330646,nan,nan,1000.0,0.17206349206349206,0.39171785925517266,3712,359,6457,246,nan,0.0,nan,0.0,nan,0.0,4.97717656667125,0.0,nan,0.0,nan,0.0,nan,0.0,4.97717656667125,1.0356548944991395,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,97,7.319849649266901,0.563545486126095,nan,0.449805434330374,nan,nan,1000.0,0.2987653812809682,0.3451393102691375,3726,584,6679,99,nan,0.0,nan,0.0,nan,0.0,5.008512798971987,0.0,nan,0.0,nan,0.0,nan,0.0,5.008512798971987,1.0303149734512833,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,98,7.319849649266901,0.5542942357249558,nan,0.3482022775676352,nan,nan,1000.0,0.3291912035333088,0.25050343971575123,3710,382,6527,37,nan,0.0,nan,0.0,nan,0.0,5.024324415244715,0.0,nan,0.0,nan,0.0,nan,0.0,5.024324415244715,1.0277217005193902,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,99,7.319849649266901,0.547688486110419,nan,0.40883004281676794,nan,nan,1000.0,0.34881962916045317,0.3127181370801418,3659,689,6851,75,nan,0.0,nan,0.0,nan,0.0,5.038669211925526,0.0,nan,0.0,nan,0.0,nan,0.0,5.038669211925526,1.028912017845548,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,100,7.319849649266901,0.5347814865037799,nan,0.24398220999180548,nan,nan,1000.0,0.15128135449476326,0.17389743837914567,3757,249,6338,120,nan,0.0,nan,0.0,nan,0.0,5.064345985258611,0.0,nan,0.0,nan,0.0,nan,0.0,5.064345985258611,1.02190917204131,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,101,7.319849649266901,0.5248944869823754,nan,0.3848651806672739,nan,nan,1000.0,0.4318840535379502,0.2942417556795622,3615,790,6960,73,nan,0.0,nan,0.0,nan,0.0,5.089698619715726,0.0,nan,0.0,nan,0.0,nan,0.0,5.089698619715726,1.015102561614735,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,102,7.319849649266901,0.506026237346232,nan,0.3601716513461838,nan,nan,1000.0,0.30774193895292773,0.2664896945844191,3618,811,6959,102,nan,0.0,nan,0.0,nan,0.0,5.114648719889609,0.0,nan,0.0,nan,0.0,nan,0.0,5.114648719889609,1.0082349442647165,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,103,7.319849649266901,0.4924842376075685,nan,0.4333646461024569,nan,nan,1000.0,0.38399933043985096,0.3141175519717472,3608,821,7010,113,nan,0.0,nan,0.0,nan,0.0,5.15106562280988,0.0,nan,0.0,nan,0.0,nan,0.0,5.15106562280988,0.9683477116057073,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,104,7.34979149314646,0.47892498774453995,nan,0.4440245617484553,nan,nan,1000.0,0.45547983210746307,0.319044282222588,3615,888,7074,77,nan,0.0,nan,0.0,nan,0.0,5.174887627190708,0.0,nan,0.0,nan,0.0,nan,0.0,5.174887627190708,0.9624759793503386,nan,nan,nan,nan
