algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_local_norm_honest,balance_local_norm_attacker,eps_n_honest,eps_n_attacker,balance_kept_honest,balance_kept_attacker,noise_norm_honest,noise_norm_attacker,sigma_dp_honest,sigma_dp_attacker,balance_threshold_honest,balance_threshold_attacker,n_dp_norm_honest,n_dp_norm_attacker,nsr_honest,nsr_attacker,sigma_n_honest,sigma_n_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.3799179895222187,2.0956995987892153,nan,0.5635410398244858,0.5640534126758575,1000.0,nan,nan,0,0,0,10662,4.983783880869548,4.9838632106781,0.05718133577068404,1.906044525689468,34.916666666666664,102.43,225.4163589477539,225.6212565612793,1.0,1.0,9.9013383200937,9.901495925497972,225.4163589477539,225.6212565612793,1294.534361076787,1288.5584086082727,1.0,1.0,1.0,1.0,0.4269539737544407,0.7946720006967081,1.0,1.0,50.53424392700195,288.7805063874975
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,1,1.972522848037687,0.5538319866359234,1.890579923391342,nan,0.607627975313287,1.0234525233507157,1000.0,nan,nan,0,0,0,10964,5.001420999828138,5.008300824165344,0.13966416195094775,1.9621482279070972,31.94736842105263,103.57,225.04282901161596,238.75757080078125,0.9972520683622147,1.0588685656797734,9.87035597590264,9.88393338025677,225.04282901161596,238.75757080078125,1244.6381948623625,1331.0480131519057,0.9972520683622147,1.0588685656797734,0.9927253817257128,0.930489628314972,0.5041609751421776,0.8550358139985326,0.9404264292797121,1.0490306375366336,56.30314166259765,313.50585403515083
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,2,2.095246064195334,0.6501307328045368,1.6800800061225891,nan,0.60333431661129,1.5580307161808014,1000.0,nan,nan,0,0,0,11058,5.02959451675415,5.089227514266968,0.2334056652379694,2.0805328495050968,32.85,104.01,221.5721450805664,228.11699127197267,0.9817746976186467,1.0112274954858163,9.860003745186699,9.976908115281434,221.5721450805664,228.11699127197267,1220.3838964966628,1253.5750776732846,0.9817746976186467,1.0112274954858163,0.9983921378850937,0.9683443540334702,0.6028311020913948,0.9303802646620775,0.9733523180087408,1.006318695841288,54.48628405761719,299.5303713945234
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,3,2.260838695486525,0.7087154823541642,1.4803354254364967,nan,0.5848120870413603,2.037576096057892,1000.0,nan,nan,0,0,0,11600,5.060302840338813,5.300660362243653,0.3595698813071752,2.235857427837058,36.925925925925924,106.03,219.24667358398438,224.61327209472657,0.9722153084214163,0.9959489638441993,9.854289526098288,10.322354913755449,219.24667358398438,224.61327209472657,1250.1155337584985,1258.3621792406461,0.9722153084214163,0.9959489638441993,0.9981763274581344,0.9737198746204376,0.7348273906131517,1.0133797424561002,0.978919277979633,0.9909032260771514,56.761974792480466,319.1786746710882
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,4,2.427002291533449,0.7502834820747375,1.3001689594984054,nan,0.5700421002176073,2.492458074092865,1000.0,nan,nan,0,0,0,10916,5.100808011160956,5.723635153770447,0.4472100028896559,2.4183690555895536,31.61111111111111,103.47,216.93640560574002,221.70464797973634,0.9618146930785263,0.9832029067137755,9.867167267724954,11.071984148023159,216.93640560574002,221.70464797973634,1299.9553214232694,1292.2696107335373,0.9618146930785263,0.9832029067137755,0.9989329046673245,0.976671821475029,0.8414418134296356,1.0832281809479327,0.980067579928091,0.979940297854161,52.15064019775391,305.25231371794507
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,5,2.4755598137625134,0.7790467298030853,1.1460503724217415,nan,0.6979490849706862,2.922380275726318,1000.0,nan,nan,0,0,0,11580,5.145960330963135,6.422107234001159,0.5176821603639709,2.4693529692652834,50.666666666666664,106.68,217.09274207221137,219.47373657226564,0.9625812347906018,0.9722584595346091,9.888368680572349,12.340585615064104,217.09274207221137,219.47373657226564,1400.9847508208009,1356.7139474625133,0.9625812347906018,0.9722584595346091,0.9880661699506972,0.9778927832841873,0.9080163221442334,1.1086212439404073,0.9794446558265363,0.9707822727092518,51.71008602905273,321.7782405220515
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,6,2.533064787766622,0.7995569801330566,1.0197158397734165,nan,0.6807325250572629,3.3207784509658813,1000.0,nan,nan,0,0,0,10848,5.1866685549418134,7.422721853256226,0.5895149645813446,2.5221097643515296,30.0,103.08,217.27939775254993,217.57421432495119,0.9633626804447588,0.9645402932670194,9.900369780797321,14.168572822572862,217.27939775254993,217.57421432495119,1550.1794546082135,1444.8805258250459,0.9633626804447588,0.9645402932670194,0.9770662983258566,0.9758158659934998,0.9760339245353817,1.1315577131794503,0.976006609908605,0.9643606574127761,51.33690118408203,344.7825655309048
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,7,2.5953350917786944,0.8138339793682099,0.9188460554182529,nan,0.648159918459979,3.689884812831879,1000.0,nan,nan,0,0,0,11050,5.224841204556552,8.717166728973389,0.6804936403279982,2.5791009023728937,30.90909090909091,103.7,215.19642985950816,216.31411376953125,0.9531645046752435,0.9586939412088948,9.906967060788922,16.528862843148204,215.19642985950816,216.31411376953125,1705.8494506938257,1549.279468197432,0.9531645046752435,0.9586939412088948,0.9777232706546783,0.9717929047346116,1.0602150927369771,1.1543530453162278,0.9728623149824924,0.9576968297028267,52.731465667724606,384.9132694700147
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,8,2.665998336258549,0.8241749794781208,0.8391486720740795,nan,0.7068568048653779,4.030509090423584,1000.0,nan,nan,0,0,0,11710,5.265623534167254,10.278125286102295,0.7757848931714503,2.639713067038272,39.0,106.57,217.69888475206164,215.42069046020507,0.9653993335404425,0.9542493315953068,9.917954983370533,19.3591477323732,217.69888475206164,215.42069046020507,1923.5232978177762,1645.104263732765,0.9653993335404425,0.9542493315953068,0.9541953868336148,0.9662740397453308,1.1485705279448146,1.1754299705423361,0.9637061371578006,0.9566198044497844,54.839877868652344,432.89111082871307
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,9,2.7337892925082694,0.8321492274105549,0.775473527610302,nan,0.704598585764567,4.3414848279953,1000.0,nan,nan,0,0,0,11736,5.300888001918793,12.073903608322144,0.8603868384839584,2.7033385969549513,42.541666666666664,107.15,217.52519861857095,214.65391357421876,0.963931841328038,0.951313784664058,9.918035505330652,22.590442324367647,217.52519861857095,214.65391357421876,2127.8482662598594,1719.4632927431728,0.963931841328038,0.951313784664058,0.9452905679742495,0.9590969210863114,1.228977190178157,1.192165323267504,0.9564247237097833,0.953755989179667,53.37199224853516,446.0293753291078
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,10,2.81608616454453,0.838240229934454,0.7246023245155812,nan,0.766633448501428,4.639820117950439,1000.0,nan,nan,0,0,0,11542,5.35550594329834,14.074418506622315,0.9530158981839282,2.7714661411318375,38.75,106.12,211.41581281026205,213.50501007080078,0.9369844743606882,0.9466032354714443,9.9536471047863,26.15846131125987,211.41581281026205,213.50501007080078,2284.9989429599896,1752.7817566306226,0.9369844743606882,0.9466032354714443,0.9644720082481703,0.9538416332006454,1.31670594677351,1.2060188066205677,0.9558991251453277,0.9447415397725882,52.84896102905273,460.23630058820396
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,11,2.924851740038634,0.8436362302303314,0.6828307712078094,nan,0.8525136585036913,4.916648125648498,1000.0,nan,nan,0,0,0,11890,5.398799816767375,16.26084930419922,1.0231627017924314,2.8448492052686225,45.708333333333336,107.93,213.1418317159017,212.61238571166993,0.9452226524837032,0.9422301846792004,9.967440723454276,30.021311597672096,213.1418317159017,212.61238571166993,2529.2178564098526,1743.9294092774578,0.9452226524837032,0.9422301846792004,0.9448686813314756,0.9482091075181961,1.3875000024876694,1.219541827855912,0.9475625734175405,0.942809371996201,52.753285064697266,470.1883389631645
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,12,3.0338844501288516,0.847906228452921,0.6485757486522198,nan,0.7745190871798474,5.17449384689331,1000.0,nan,nan,0,0,0,12078,5.4131667095681895,18.612918796539308,1.0994731942295426,2.92348205194093,52.08695652173913,108.8,212.83507239300272,211.64708648681642,0.9437609177988229,0.937890943615235,9.927560510377,34.13544927422297,212.83507239300272,211.64708648681642,2759.6522541390977,1702.358435275134,0.9437609177988229,0.937890943615235,0.9359125365381655,0.9425309139490128,1.46427496577182,1.2301988849538414,0.9412933311811308,0.9389885810641987,52.11983062744141,467.41569074542537
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,13,3.142983617463576,0.8514447270333767,0.6198575550317764,nan,0.8854719012975693,5.448409509658814,1000.0,nan,nan,0,0,0,10552,5.488843297958374,21.114599075317383,1.1460371558849376,3.0140787500905395,21.7,101.18,210.5756965637207,209.42804824829102,0.9339261702299926,0.9284099454710851,9.999462964578429,38.46614669143344,210.5756965637207,209.42804824829102,2914.5755583243727,1626.631751132443,0.9339261702299926,0.9284099454710851,0.9364183694124222,0.9427004027366638,1.5196454747260582,1.2464931001096844,0.9416533971826235,0.9293293162642363,50.30863751220703,441.9093725594635
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,14,3.286882978539558,0.8547357292473317,0.5954122103750705,nan,0.8560757637023926,5.686342744827271,1000.0,nan,nan,0,0,0,10898,5.47953135172526,23.770506229400635,1.1992653617033406,3.11402159023701,36.2,103.55,206.33324584960937,208.0038233947754,0.9139612054689293,0.922240667827468,9.916170000684351,43.01688696403713,206.33324584960937,208.0038233947754,3057.3437139954544,1535.5750639366306,0.9139612054689293,0.922240667827468,0.948694372177124,0.9391707235574722,1.5822166074100745,1.262552100581268,0.9404129385948181,0.9211607379546151,47.79076205444336,398.83532420718984
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,15,3.451024918447998,0.8575569765269756,0.5744968177378178,nan,0.8921158356325967,5.910443096160889,1000.0,nan,nan,0,0,0,10968,5.508434772491455,26.55731756210327,1.2538450739076945,3.2258407153431135,29.666666666666668,103.45,209.39981369745163,206.5161454772949,0.9280493727978458,0.915970105363124,9.902240318861782,47.74077421004499,209.39981369745163,206.5161454772949,3330.336412444514,1430.2100245356373,0.9280493727978458,0.915970105363124,0.9217604597409567,0.9357945662736893,1.648244202194778,1.2807360105204355,0.9333588948919753,0.9180665071493154,50.09802127075195,425.9161342297971
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,16,3.5048096931921906,0.859946478009224,0.5563835212588311,nan,1.07316242903471,6.106093416213989,1000.0,nan,nan,0,0,0,11810,5.538005614280701,29.46603551864624,1.288903476156662,3.344163889606267,51.55,107.79,207.60526504516602,205.60855194091798,0.9209628038229377,0.9116247004709552,9.889249774186805,52.61767600009928,207.60526504516602,205.60855194091798,3510.8477037275434,1347.0473014624176,0.9209628038229377,0.9116247004709552,0.9192401379346847,0.9301985037326813,1.6999555588465831,1.307522937032318,0.9283721094330152,0.913181051029619,49.42592098999023,409.84336844158526
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,17,3.5422008291002567,0.8620434781908989,0.5407150894403457,nan,0.7900350391864777,6.277918767929077,1000.0,nan,nan,0,0,0,10802,5.551178057988484,32.47937961578369,1.3501590619589885,3.445065240547168,28.88888888888889,102.82,206.09276326497397,204.8546534729004,0.912744278873988,0.9084532916977299,9.846906534971698,57.61325110626643,206.09276326497397,204.8546534729004,3664.5724988673264,1259.4354706235038,0.912744278873988,0.9084532916977299,0.9181197782357534,0.9232059061527252,1.7691402976766246,1.3185808043840008,0.9224300561314922,0.9091078490636003,48.39027017211914,383.8117040839245
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,18,3.5839721278891705,0.8640314769744873,0.5268784864246845,nan,0.92852102574848,6.482128806114197,1000.0,nan,nan,0,0,0,11156,5.590057781764439,35.586343955993655,1.4012757537191218,3.5168834560573026,34.476190476190474,104.32,211.41878037225632,202.91581192016602,0.9367841189587225,0.8997252281637875,9.84998702217411,62.70508102378189,211.41878037225632,202.91581192016602,3932.4135517816053,1185.181132442749,0.9367841189587225,0.8997252281637875,0.8784657872858501,0.9228333348035812,1.8243972941867581,1.32499796389796,0.9151331819286032,0.9061569364835697,49.46275115966797,402.1975956633771
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,19,3.635323851832486,0.8656124795973301,0.5147183866053819,nan,0.9377525746822357,6.641760010719299,1000.0,nan,nan,0,0,0,11270,5.627187940809462,38.800003356933594,1.4524552386730805,3.566530398595995,41.72222222222222,105.19,202.00239902072482,201.81685409545898,0.8959605184927038,0.8949743989751786,9.849529494073332,67.91345543353016,202.00239902072482,201.81685409545898,3924.4269325052364,1119.390368669765,0.8959605184927038,0.8949743989751786,0.9165601034959158,0.9177525681257248,1.8752702706576634,1.3248493727873043,0.9175706667415167,0.8951248239863263,47.63545718383789,365.1574433041415
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,20,3.6839250492204894,0.8671639788150788,0.5038087229430676,nan,0.7856798564845865,6.813458561897278,1000.0,nan,nan,0,0,0,11266,5.608501109209928,42.09750343322754,1.513643272547655,3.6097276240544844,35.40909090909091,104.87,202.30967504327947,200.28559143066406,0.8966065029335577,0.8875969452534522,9.751593255069976,73.19562259881174,202.30967504327947,200.28559143066406,4143.661362976749,1052.151414409482,0.8966065029335577,0.8875969452534522,0.9048823443326083,0.9158866429328918,1.9328601428490213,1.3205021770719418,0.9139022612180866,0.8892216195892092,48.95874398803711,392.7513828528734
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,21,3.7366441417674157,0.8685752277076244,0.4939940232038498,nan,0.8885559995969137,6.941736817359924,1000.0,nan,nan,0,0,0,10734,5.637733014424642,45.48443363189697,1.5473116886789062,3.6509358500768143,30.666666666666668,102.74,203.07676696777344,199.28015411376953,0.9017745581363932,0.8838179122230307,9.737287136746511,78.55905722972062,203.07676696777344,199.28015411376953,4300.646591775996,1002.9235061631367,0.9017745581363932,0.8838179122230307,0.8875005125999451,0.9096532326936722,1.968036520958488,1.3234009627879,0.9067637474640556,0.8861600834291214,45.94833383178711,329.6040989859072
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,22,3.7942979287937026,0.8699027293920517,0.4851959816366434,nan,1.016106983889704,7.062583155632019,1000.0,nan,nan,0,0,0,11346,5.701171709143597,48.93912178039551,1.5993277376586525,3.694209171094357,36.04347826086956,105.17,203.67623635996944,198.4425996398926,0.9033780332919604,0.8796688062704816,9.781428765804405,83.96423717395328,203.67623635996944,198.4425996398926,4452.0136152508485,959.9449884120781,0.9033780332919604,0.8796688062704816,0.8743216537910959,0.9038651698827743,2.0183040243457935,1.322986339905624,0.8983407725648183,0.8841022389655548,49.05762680053711,396.78162398395466
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,23,3.853805786393691,0.8710044796764851,0.47721648089587687,nan,0.9434470799234178,7.137818117141723,1000.0,nan,nan,0,0,0,10944,5.722104046079847,52.45602199554443,1.6575183370139883,3.7380428571140527,32.22222222222222,103.64,199.73632642957898,198.34861404418945,0.8852177376711949,0.8790270023784943,9.75211084537074,89.40014667475633,199.73632642957898,198.34861404418945,4553.744779611847,925.9577086604555,0.8852177376711949,0.8790270023784943,0.8858649465772841,0.8936566060781479,2.073623241034001,1.318487268078832,0.8924680478492025,0.879971351829923,46.86023056030273,349.1263537981176
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,24,3.914169945937571,0.8719724786281585,0.47015768751502035,nan,0.9404006490581914,7.2356578063964845,1000.0,nan,nan,0,0,0,11032,5.737611067922492,56.013192672729495,1.7094719828700686,3.783743043801254,33.36842105263158,103.98,200.52705704538445,197.47748245239256,0.8894921025734019,0.8750448702347922,9.71356582705302,94.82828790048474,200.52705704538445,197.47748245239256,4761.84690674845,894.2633566438428,0.8894921025734019,0.8750448702347922,0.869233920385963,0.8875999522209167,2.124326195056306,1.3162328307834414,0.8846675605834031,0.8773515711964187,47.11552465820313,359.8028537852096
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,25,3.967641992702662,0.8730369792878627,0.46351592160761357,nan,0.7520250082015991,7.331804580688477,1000.0,nan,nan,0,0,0,10794,5.709027903420584,59.62100238800049,1.7701677513752625,3.8324630825845714,34.642857142857146,103.09,187.76976231166296,196.2684701538086,0.8327030320144315,0.870337979694294,9.600955375624958,100.26550807962512,187.76976231166296,196.2684701538086,4560.349599887418,862.7611495855854,0.8327030320144315,0.870337979694294,0.9307881423405239,0.8824639129638672,2.182626817617124,1.3112471929107499,0.8883984674487198,0.8657161440143109,44.51124737548828,300.24201871396485
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,26,4.032504830573144,0.8738989789783954,0.457410878688097,nan,0.859325680662604,7.403616662025452,1000.0,nan,nan,0,0,0,10426,5.7723846435546875,63.27873233795166,1.8167011408165183,3.8827733426825186,19.647058823529413,100.92,206.52943330652573,195.58252563476563,0.9142618284836987,0.8670959885891514,9.643001883138208,105.70968027551636,206.52943330652573,195.58252563476563,5129.21480377073,836.6475357878037,0.9142618284836987,0.8670959885891514,0.8142663275494295,0.8754371243715287,2.2299155811897187,1.3105310649587067,0.8665490598760099,0.8739491448131456,46.138505859375,341.7228104857656
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,27,4.102115693568239,0.8746529777348041,0.45209768049418925,nan,0.9076265848201254,7.475363669395446,1000.0,nan,nan,0,0,0,10700,5.757478112759798,66.97445686340332,1.8749640329552415,3.935682260510009,23.782608695652176,101.53,198.35825712784478,194.73351150512696,0.8797791315656361,0.8630795367772116,9.554192516118546,111.14012802190369,198.35825712784478,194.73351150512696,5080.526706322308,809.8242774978448,0.8797791315656361,0.8630795367772116,0.8475206131520479,0.8693964886665344,2.287107678466195,1.3073648239917302,0.8653058777979719,0.8662022252335837,48.07118212890625,395.66908399039517
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,28,4.166913376870167,0.875457979440689,0.44694710947573185,nan,0.8400916147690553,7.473273358345032,1000.0,nan,nan,0,0,0,11646,5.781556551273052,70.7070450592041,1.9462387153613372,3.9894060202768924,38.88461538461539,106.35,195.39472198486328,194.9796987915039,0.8663856201372828,0.8647582514745707,9.530400988126072,116.55451021253668,195.39472198486328,194.9796987915039,5136.667762470048,797.69026454456,0.8663856201372828,0.8647582514745707,0.8536593570159032,0.8558125770092011,2.3548721763444482,1.3016476108595096,0.8553682617724888,0.865094057706559,49.15646530151367,426.6447765573545
