algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_kept_honest,balance_kept_attacker,balance_threshold_honest,balance_threshold_attacker,balance_local_norm_honest,balance_local_norm_attacker
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,0,0.0,0.45807523772120473,1.9726345831155776,nan,0.23520388927310706,0.23513522297143935,,nan,nan,0,0,0,10662,34.916666666666664,102.43,9.906657068291487,9.906967823455364,4.986461043357849,4.986617460250854
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,1,0.0,0.5720657344162464,1.7060232591629028,nan,0.2043563960120082,0.20496301114559173,,nan,nan,0,0,0,10964,31.94736842105263,103.57,9.885139564172889,9.885166993596778,5.008912011196739,5.008925909996033
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,2,0.0,0.6220699836313724,1.4816301369667053,nan,0.18739349246025086,0.18869547590613364,,nan,nan,0,0,0,11058,32.85,104.01,9.879128432970367,9.879004311514372,5.0393500328063965,5.039286718368531
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,3,0.0,0.6512629842758179,1.305591191649437,nan,0.16591188743710517,0.16712139263749123,,nan,nan,0,0,0,11600,36.925925925925924,106.03,9.880284237966826,9.879006897293657,5.073651455066822,5.0729955244064335
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,4,0.0,0.6735184834897519,1.17598289757967,nan,0.14282085139304398,0.14383187770843506,,nan,nan,0,0,0,10916,31.61111111111111,103.47,9.879799404856607,9.878315355118216,5.107338163587782,5.106570987701416
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,5,0.0,0.6906464830040931,1.0816879427433015,nan,0.12288494486361742,0.12374565988779068,,nan,nan,0,0,0,11580,50.666666666666664,106.68,9.87755000740069,9.873979993386008,5.140330235163371,5.138472380638123
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,6,0.0,0.7022999830543994,1.0112710708379746,nan,0.10722508743405341,0.10785724438726901,,nan,nan,0,0,0,10848,30.0,103.08,9.86958744154208,9.864990742404464,5.170542107688056,5.168133959770203
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,7,0.0,0.7106307311356068,0.9572718946635723,nan,0.09539142014458775,0.09595292270183563,,nan,nan,0,0,0,11050,30.90909090909091,103.7,9.85735703685094,9.851784315952598,5.198677344755693,5.195738344192505
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,8,0.0,0.7171082323789597,0.9142375619709492,nan,0.08628993043676018,0.08683029167354107,,nan,nan,0,0,0,11710,39.0,106.57,9.840753785008532,9.834856204973121,5.224636007238318,5.221504874229431
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,9,0.0,0.7229367303848266,0.8790685796737671,nan,0.07911884732544422,0.0796371615678072,,nan,nan,0,0,0,11736,42.541666666666664,107.15,9.819777998351006,9.814693506491386,5.248372356096904,5.245654850006104
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,10,0.0,0.727838481515646,0.849782150387764,nan,0.07347544884309172,0.07388505704700947,,nan,nan,0,0,0,11542,38.75,106.12,9.797082666658387,9.791731570249393,5.271267294883728,5.268388166427612
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,11,0.0,0.7324814806878567,0.824822464287281,nan,0.06858194405212999,0.06902663819491864,,nan,nan,0,0,0,11890,45.708333333333336,107.93,9.775980960618021,9.766366553365367,5.2950968742370605,5.28988929271698
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,12,0.0,0.7362657301127911,0.8035639029741287,nan,0.06460251679643988,0.064861809797585,,nan,nan,0,0,0,12078,52.08695652173913,108.8,9.751545822756484,9.73888141119138,5.317191787388014,5.3102863073349
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,13,0.0,0.740270980745554,0.7848074394464493,nan,0.06115320739336312,0.06144644659012556,,nan,nan,0,0,0,10552,21.7,101.18,9.723693837566493,9.709485646506058,5.337469816207886,5.329670743942261
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,14,0.0,0.7437052308022976,0.7685391269624233,nan,0.05813207918778062,0.05887032017111778,,nan,nan,0,0,0,10898,36.2,103.55,9.686995652347186,9.67870305532374,5.352892939249674,5.348310570716858
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,15,0.0,0.7465572318434716,0.7543797276914119,nan,0.055846475306898354,0.05624088637530804,,nan,nan,0,0,0,10968,29.666666666666668,103.45,9.663883437828387,9.64634871611977,5.375841208866665,5.366086964607239
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,16,0.0,0.7492717313766479,0.7417164494097233,nan,0.05371090919710696,0.054110380820930004,,nan,nan,0,0,0,11810,51.55,107.79,9.630046131502905,9.612829597211508,5.3928508996963505,5.383209595680237
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,17,0.0,0.7521079814434052,0.7300995504856109,nan,0.05167785038240254,0.051723713614046575,,nan,nan,0,0,0,10802,28.88888888888889,102.82,9.597722323459031,9.578260740014253,5.410700851016575,5.399729413986206
