algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,sigma_n_honest,sigma_n_attacker,trust_honest,trust_attacker,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.3792894884943962,2.095764467716217,nan,0.5606598556041718,0.5639234900474548,1000.0,nan,nan,0,0,0,50158,1.0,1.0,1.0,1.0,1.0,1.0,0.019060445256894678,1.906044525689468,224.26490783691406,225.56935465494792,1261.5221195067045,1288.2606447547123,224.26490783691406,225.56935465494792,1.1512508935164383,0.9321785469853499,1.0,1.0,136.2386724243164,778.0024753308542
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,1,1.9751195725434545,0.5550334869325161,1.8908305442333222,nan,0.5589936276276907,1.0210169712702433,1000.0,0.0,nan,0,14,0,51196,0.9900498337491682,1.0608481817277957,0.9900498337491682,1.0608481817277957,1.0,0.9284901167949041,0.13510979829435782,1.9606811675594888,223.59742863972983,239.26539037068684,1247.521748146267,1331.9040266774043,223.59742863972983,239.26539037068684,1.2304526198534362,0.9470361228334467,0.931240496918177,1.0581251683440025,148.92557250976563,829.082937961953
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,2,2.0905588509723185,0.6523209825158119,1.6803349667787553,nan,0.5532988640997145,1.5499586951732636,1000.0,nan,nan,0,0,0,51100,0.9801986733067553,1.015927654414653,0.9801986733067553,1.015927654414653,1.0,0.963549245595932,0.22363997897057375,2.0698796854249144,221.31918674045139,229.2118179321289,1221.6969071863577,1250.6199701483827,221.31918674045139,229.2118179321289,1.331383802843178,0.985941476716341,0.9646109180543029,1.0148870044794716,141.51083612060546,772.362526418384
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,3,2.2410644774246857,0.7107854822278022,1.480459588766098,nan,0.5838364107268197,2.0224147605895997,1000.0,0.0,nan,0,140,0,51102,0.9722113252074334,1.0027635358763587,0.9722113252074334,1.0027635358763587,0.9981804319790432,0.9666977679729462,0.35480701883750443,2.207541826317497,219.48836190359933,226.29217758178712,1241.7565478558486,1237.6950436016364,219.48836190359933,226.29217758178712,1.4664479033255,1.0263853666690288,0.9681014536292689,1.001401335400674,141.92098068237306,777.3862095009456
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,4,2.4211134117745825,0.7515114822983742,1.3001055020093917,nan,0.5973178148269653,2.4732957696914672,1000.0,nan,nan,0,0,0,50968,0.9636375434766943,0.9902025447707066,0.9636375434766943,0.9902025447707066,0.9970356623331705,0.969386522769928,0.4377192931967844,2.3798071160406895,217.044430202908,223.41312540690103,1304.2444497699444,1242.0442707737484,217.044430202908,223.41312540690103,1.6029719869031276,1.0851054552519386,0.9701918375144885,0.9894288068689392,137.95467498779297,768.702962560108
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,5,2.468183550598347,0.7796934816241264,1.1457334762811662,nan,0.7804982960224152,2.8955271180470783,1000.0,nan,nan,0,0,0,50564,0.9667580057123834,0.9805915580173816,0.9667580057123834,0.9805915580173816,0.9836752514044443,0.9691324377059937,0.47218417882205477,2.4580119441180357,217.41057840983072,221.1643642171224,1399.52136330768,1269.3017670119457,217.41057840983072,221.1643642171224,1.6636808379996433,1.1124062603656695,0.9694175909157672,0.9803203118937542,135.30754547119142,778.3753165668596
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,6,2.5161549900058064,0.7997574791312217,1.0190672865509987,nan,0.665110068661826,3.284072393576304,1000.0,0.0,nan,0,10,0,50636,0.9591639183466372,0.9744875862498972,0.9591639183466372,0.9744875862498972,0.9815246973718915,0.9652534667650858,0.5276852184087233,2.504838321494556,216.97071620396204,219.7683591715495,1536.314793941289,1310.811512128289,216.97071620396204,219.7683591715495,1.7139770802602234,1.1208169473189906,0.9656244720232214,0.9741381866560118,134.89860552978516,807.9953143921514
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,7,2.573806009484179,0.8139839777350426,0.9180068936944008,nan,0.5796400010585785,3.6423703916867574,1000.0,0.0,nan,0,60,0,51426,0.9546398185378665,0.9701554709150261,0.9546398185378665,0.9701554709150261,0.9761409844670977,0.9595003203550975,0.660874129111113,2.554221939709137,215.14303697858537,218.82869288126628,1708.1281196828297,1341.486227319796,215.14303697858537,218.82869288126628,1.796882815469927,1.1105238365916494,0.9602422607932121,0.9694636902357897,137.32122076416016,852.7193237429968
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,8,2.6374776157647037,0.8243109801411629,0.8383816328644752,nan,0.6731766819953918,3.977794826030731,1000.0,0.0,nan,0,84,0,51586,0.9419371278482175,0.9657121369140667,0.9419371278482175,0.9657121369140667,0.9796116908391317,0.9538565309842427,0.7898102009878818,2.606542613958493,212.33950805664062,217.7963832092285,1878.352975383402,1322.3766982329175,212.33950805664062,217.7963832092285,1.8798496487702487,1.1004421485418525,0.9550829671678089,0.9645799936252166,137.04801516723631,849.7766082012525
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,9,2.710322564341264,0.8321454778313637,0.7747493597865105,nan,0.7489921450614929,4.30382194519043,1000.0,0.0,nan,0,37,0,51591,0.9886947545417059,0.9587184855948107,0.9886947545417059,0.9587184855948107,0.9181956251462301,0.950994887749354,0.8520891763014194,2.664192198537795,222.9011319478353,216.3131499226888,2192.7701991746094,1251.8029598307512,222.9011319478353,216.3131499226888,1.9393509896432453,1.1079192925054326,0.9497333776492339,0.9598714190158452,135.13751712036134,803.7082606786415
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,10,2.7916837020336196,0.8383794802427292,0.7238925513625145,nan,0.5949270400134,4.6225168291727705,1000.0,0.0,nan,0,54,0,51102,0.9141174139240319,0.9496294518702663,0.9141174139240319,0.9496294518702663,0.989744018424641,0.9504971468448639,0.9613887020479203,2.7296073662801406,206.28982266512784,214.20867111206056,2236.761894482423,1148.3702504424914,206.28982266512784,214.20867111206056,2.0223199005872523,1.1029993752756881,0.9518852998589397,0.9483733990811709,133.06357876586915,738.2309119441081
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,11,2.8922026052626864,0.8436229801177979,0.6823001712560653,nan,0.8103443567569439,4.922864098548889,1000.0,0.0,nan,0,11,0,51583,0.9364870193234681,0.9409645406424333,0.9364870193234681,0.9409645406424333,0.9546200770598191,0.9496219182014465,1.0376105763876058,2.803629675206639,211.2557854285607,212.28571818033853,2503.457087622664,1038.2595689340378,211.2557854285607,212.28571818033853,2.0972220356790254,1.109466606816235,0.9498295094639349,0.9407785733033066,132.8640813293457,688.0456256386121
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,12,2.987813161447148,0.8478079798817635,0.6482112255692482,nan,1.0227203033864498,5.197908705075582,1000.0,0.0,nan,0,14,0,50578,0.9238257534000227,0.9339152639398166,0.9238257534000227,0.9339152639398166,0.9583893716335297,0.9470134802659352,1.078411969768694,2.8864119312185115,208.35791778564453,210.66895080566405,2679.5364159418837,937.5053198104889,208.35791778564453,210.66895080566405,2.163211946638585,1.1296915813094617,0.9473089579637949,0.9336531987309906,129.73509716796875,605.3757745413635
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,13,3.1153130792888515,0.8512474766373634,0.6194764083623886,nan,0.7001685053110123,5.44995477994283,1000.0,0.0,nan,0,46,0,50850,0.9340997432341387,0.9279834897865992,0.9340997432341387,0.9279834897865992,0.9362206995487213,0.9431860625743866,1.143090419637116,2.977912129477099,210.37515716552736,209.28300623575845,2946.9897134742587,854.3727553559087,210.37515716552736,209.28300623575845,2.2439834455411063,1.144094813642231,0.9429613734445265,0.9281807882849069,129.77730688476564,571.5634474830304
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,14,3.2717465029488246,0.8545519790053367,0.5951137930154801,nan,0.8122771765504565,5.686042737960816,1000.0,0.0,nan,0,2,0,50648,0.9127544046998936,0.9220949142329434,0.9127544046998936,0.9220949142329434,0.9500825234821865,0.9393383800983429,1.194817565012148,3.078198489653057,205.91118512834822,208.02256627400718,3078.3261334069875,783.9052689032173,205.91118512834822,208.02256627400718,2.3248461197966934,1.165341341239242,0.9395833605663784,0.921881938445545,127.69629635620117,513.4397272096282
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,15,3.440912111469462,0.8572274777293205,0.5743991440534592,nan,0.854602207740148,5.902155823707581,1000.0,0.0,nan,0,54,0,50644,0.9388505137511276,0.9169138781228031,0.9388505137511276,0.9169138781228031,0.9092113243208991,0.9346980587641398,1.2483205829292663,3.187784930736157,211.81810506184897,206.80887074788413,3374.308877719381,725.3158613298841,211.81810506184897,206.80887074788413,2.411999191613401,1.1895531459150959,0.9339557266929774,0.9175528092576087,127.89804833984375,495.92707659687926
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,16,3.4977355520984466,0.8596639797091484,0.5563760742545127,nan,1.02171491086483,6.072226298650106,1000.0,0.0,nan,0,28,0,51242,0.9103638679516083,0.9158315715496834,0.9103638679516083,0.9158315715496834,0.9316781044006348,0.9252616947889328,1.2940921875975462,3.30064315810985,205.39179229736328,206.60233896891276,3474.1681212762514,680.6552256609783,205.39179229736328,206.60233896891276,2.4980227699049284,1.2189846164891158,0.925468675744149,0.9156551940142615,128.06923922729493,477.87649782211207
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,17,3.523803276718307,0.8615554770827294,0.5408100807666778,nan,0.8920609273693778,6.2367902930577594,1000.0,0.0,nan,0,78,0,50914,0.9149730480154222,0.9133674039210299,0.9149730480154222,0.9133674039210299,0.9154780073599382,0.9173811850945155,1.3506968728497915,3.407419919977576,206.34980219060725,206.08721455891927,3678.9678087578086,644.2291431298553,206.34980219060725,206.08721455891927,2.5847307011264626,1.2401687863667774,0.9173138701264114,0.9134241951912496,128.19202438354492,467.47477767058496
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,18,3.5640586881978797,0.8637424781918526,0.5270154002308846,nan,0.832230521099908,6.405271190007528,1000.0,0.0,nan,0,112,0,51062,0.8961644657949732,0.9086829999226078,0.8961644657949732,0.9086829999226078,0.9270963413374764,0.9121089349190394,1.4498789132456573,3.4870827834789226,202.20508575439453,204.97516255696615,3775.8022074327005,609.0165422454966,202.20508575439453,204.97516255696615,2.672201235385617,1.2313593709437236,0.9127771632306895,0.9081248487194649,128.64683993530272,471.13238715541354
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,19,3.6100268827083792,0.8652554780244828,0.5150296500325203,nan,1.040303799841139,6.519066754976908,1000.0,0.0,nan,0,39,0,50831,0.913386699965191,0.908819927453959,0.913386699965191,0.908819927453959,0.8954875005616082,0.9010098683834076,1.4937851920311358,3.54038182344917,206.11744689941406,205.00543375651043,3997.418048864607,583.3095227956017,206.11744689941406,205.00543375651043,2.7217431708819566,1.2340063622291684,0.9008490227186949,0.9089529402455483,126.7133742980957,421.93923855692395
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,20,3.6603720798621326,0.8668184795975685,0.5040951851010322,nan,0.8006317317485809,6.651894887288411,1000.0,0.0,nan,0,119,0,51019,0.8989053171941287,0.9052102052164198,0.8989053171941287,0.9052102052164198,0.902074566254249,0.8943737586339314,1.556462628819491,3.5829414212821424,202.83445739746094,204.21134974161785,4127.672588364499,560.1009139857396,202.83445739746094,204.21134974161785,2.7723499042970814,1.2255627635413557,0.8946936004839766,0.9049483408576665,127.80050573730469,443.3800356889207
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,21,3.705615897733677,0.8682549783587455,0.4943433827161789,nan,0.8283955071653638,6.762573345502218,1000.0,0.0,nan,0,28,0,50598,0.9089648425036072,0.9026912006612681,0.9089648425036072,0.9026912006612681,0.878630016531263,0.8863696708281835,1.5882219754440126,3.6195694815881225,204.7860390799386,203.58382227579753,4352.320060431685,538.4025968769171,204.7860390799386,203.58382227579753,2.8070304791304785,1.227131049304873,0.8861931966259736,0.9028342478693996,125.01729791259766,383.97403897219385
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,22,3.7551119010327296,0.8694629797339439,0.4857441332936287,nan,1.0453090988672697,6.833781002362569,1000.0,0.0,nan,0,90,0,51264,0.9227007428331743,0.9030058852760893,0.9227007428331743,0.9030058852760893,0.8502440750598907,0.8747853787740072,1.626143551665848,3.654735606268393,208.17575425368088,203.6781930033366,4536.714531402684,521.5973051520544,208.17575425368088,203.6781930033366,2.8432987844273754,1.2274451160284503,0.8737660913992995,0.9038238825548182,127.61948541259765,430.9129609077024
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,23,3.79902438241286,0.8704524755477905,0.4781139887869358,nan,1.1564015299081802,6.879836519559224,1000.0,0.0,nan,0,63,0,50433,0.9290638562336584,0.9045296962035828,0.9290638562336584,0.9045296962035828,0.8306802213191986,0.8615589153766632,1.659481893334993,3.689149212513492,209.48412132263184,204.0576161702474,4646.533906982924,506.9144304339308,209.48412132263184,204.0576161702474,2.8772822848420923,1.2275158901850582,0.8607568713751707,0.9051669471134548,125.78631564331054,378.4932007720853
