algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_local_norm_honest,balance_local_norm_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,eps_n_honest,eps_n_attacker,sigma_n_honest,sigma_n_attacker,nsr_honest,nsr_attacker,balance_kept_honest,balance_kept_attacker,n_dp_norm_honest,n_dp_norm_attacker,balance_threshold_honest,balance_threshold_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,0.23904768922901146,0.37991398920615516,2.095610635280609,nan,1.6909120423453194,1.6915872639417648,1000.0,nan,nan,0,0,0,30800,4.983853203909738,4.983839049339294,1.0,1.0,3.0,3.0,0.0055777794153436,0.23904768922901148,3.0,3.0,3864.2998729266524,3866.9384874170228,65.85714285714286,151.695,676.364972795759,676.634875793457,9.901476044941065,9.901447923900088,676.364972795759,676.634875793457,0.09896574334081075,0.11774257472746642,1.0,3.0,280.1230599365234,1600.8755931877822
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,0.2487982785070826,0.5533623199661573,1.890697911977768,nan,1.8512027859687805,3.049565485715866,1000.0,nan,nan,0,0,0,31168,5.009342014789581,5.071605904102325,0.9923078678548336,0.9245016679167748,2.992996283702,3.194390834629514,0.016816687583557945,0.24840763502260738,2.992996283702,3.194390834629514,3732.0835258377138,4009.620420074676,43.625,152.35,674.3772926330566,720.6911666870117,9.885988180702554,10.008866609049639,674.3772926330566,720.6911666870117,0.10945306655917773,0.1229914964023832,0.929524349393668,3.1794727197459944,309.8565400390625,1723.2748408566774
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,0.25927205916196394,0.6498869836330414,1.6803232292334238,nan,1.855884043375651,4.614977169036865,1000.0,nan,nan,0,0,0,31306,5.062798468271891,5.559613151550293,0.9972660621007283,0.9564220103621482,2.9486354268255726,3.068741282805459,0.028049506902475586,0.25886237793239025,2.9486354268255726,3.068741282805459,3640.621818345264,3737.409266176925,50.13333333333333,152.77,665.0545735677083,692.1177072143555,9.92509668363916,10.899050870496772,665.0545735677083,692.1177072143555,0.12037465531444147,0.12791020955722143,0.9592715953671656,3.0603618044812815,296.79872009277346,1604.182361021128
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,0.2702908128051116,0.7090979818503061,1.4806453283627827,nan,1.791358268260956,6.008803572654724,1000.0,nan,nan,0,0,0,31382,5.068856287002563,6.897968592643738,0.9968344509601593,0.9574886214733124,2.920552579426351,3.035101532894166,0.042565876637293026,0.2696690662680733,2.920552579426351,3.035101532894166,3743.6716248800935,3631.424087954413,42.2,152.69,658.8994506835937,684.7879647827149,9.87094626434698,13.432907436285554,658.8994506835937,684.7879647827149,0.13340715248960516,0.13208300947200508,0.9610655150630257,3.0246879916698193,300.2711639404297,1602.3165001769687
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,0.2816272927604575,0.7503453165292739,1.3004142053922016,nan,1.7290515388761247,7.343207657337189,1000.0,nan,nan,0,0,0,31208,5.104472943714687,9.233778734207153,0.9980517796107701,0.9594737073779106,2.8879838061823095,2.9991800193348706,0.05309778526639496,0.28089600633728856,2.8879838061823095,2.9991800193348706,3906.647621625175,3565.408950185967,49.357142857142854,152.585,650.7650669642857,676.9430319213867,9.87425683127125,17.86211892002703,650.7650669642857,676.9430319213867,0.1442170736947524,0.13584302449267777,0.9619975064959482,2.991905500717413,288.9986346435547,1535.5497134798918
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,0.2939632431775545,0.778830980459849,1.1465106344223022,nan,2.419964485698276,8.579101028442382,1000.0,nan,nan,0,0,0,30866,5.2307054201761884,12.484165477752686,0.9843013948864408,0.9572449433803558,2.898487198825047,2.975697877210541,0.05735021803776841,0.2924472673640927,2.898487198825047,2.975697877210541,4185.130438345721,3550.81788453068,55.333333333333336,151.84,653.6182115342882,671.4323120117188,10.051213054044194,23.989308695309592,653.6182115342882,671.4323120117188,0.15138903776829812,0.14011899702292124,0.9584100537322925,2.9723730154618826,280.3380526123047,1495.659501702495
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,0.30582584811975355,0.7990076458454132,1.0202821300427118,nan,2.0341368675231934,9.719860858917237,1000.0,0.0,nan,0,275,0,30897,5.233101654052734,16.50849542617798,0.9756354411443074,0.9523886662721633,2.8941306329728977,2.959809597257306,0.06683765843621174,0.30426374048617943,2.8941306329728977,2.959809597257306,4659.751394406461,3508.9451885119306,27.6,152.415,653.5535196940104,667.7174578857422,9.98900178926228,31.51159699380421,653.5535196940104,667.7174578857422,0.16180809125619883,0.1437429299268277,0.9540105342864991,2.955227343935138,286.6935887451172,1543.3706172369662
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,0.3200597968609923,0.813396979769071,0.9192992367347081,nan,1.8569124009874132,10.809751658439636,1000.0,0.0,nan,0,483,0,30565,5.241410493850708,21.19534210205078,0.9750112593173981,0.9492981100082397,2.867079501856916,2.9390038463754506,0.07983610637656739,0.3165155394132374,2.867079501856916,2.9390038463754506,5152.109590173043,3336.4484744058655,10.11111111111111,151.915,647.0699022081163,662.9627072143554,9.93838455212143,40.189079021970294,647.0699022081163,662.9627072143554,0.1745078795912354,0.14697347526984586,0.9514212140796381,2.933065139029883,288.4795993652344,1520.0553350085756
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,0.3371451591074741,0.823655313650767,0.8398774570226669,nan,2.1735467496125596,11.908506655693055,1000.0,0.0,nan,0,873,0,31041,5.311246042666228,26.482726879119873,0.9536845787711765,0.9519724321365356,2.897612606438236,2.9023541380757796,0.09368922727935187,0.3302093865736757,2.897612606438236,2.9023541380757796,5772.88846023893,3002.292433240983,11.652173913043478,153.865,653.90685769786,654.462660522461,10.003886304245492,49.88098585470674,653.90685769786,654.462660522461,0.1882972909970814,0.15090641102626293,0.9521490212513193,2.9018651011804275,291.8647796630859,1466.469842467384
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,0.37739440672957714,0.8315623128414154,0.7763295761744181,nan,2.3109230995178223,12.941009578704834,1000.0,0.0,nan,0,849,0,30889,5.365064912372166,32.35352421760559,0.9291450745529599,0.9532730069756508,2.936063133802038,2.8699093241703957,0.1034617497489656,0.3478282427452625,2.936063133802038,2.8699093241703957,6490.304952832496,2637.6581354659456,7.777777777777778,153.745,661.8543836805555,647.2650582885742,10.038111401344409,60.533895791919264,661.8543836805555,647.2650582885742,0.20120834694748432,0.15695440541822564,0.9512807923719424,2.8753715653326415,282.7327811279297,1288.7142324883482
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,10,0.4322073218169573,0.8376093131303787,0.7255558790763219,nan,2.297740490813004,13.905218272209167,1000.0,0.0,nan,0,992,0,31042,5.55584340346487,38.76373508453369,0.9725135031499361,0.9531847569346428,2.7891246866298753,2.84159280508783,0.12100987222729956,0.37431858580687577,2.7891246866298753,2.84159280508783,6773.652088590608,2320.870665286778,7.894736842105263,154.46,629.5628662109375,640.8436810302734,10.325990708075949,72.04558142218046,629.5628662109375,640.8436810302734,0.22233335765913,0.166282845182313,0.954861680122271,2.8370407765458157,280.260861328125,1185.7470454811541
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,11,0.4686351970624657,0.8428023129701614,0.684193607767423,nan,2.622509843773312,14.791629285812379,1000.0,0.0,nan,0,721,0,30959,5.674184560775757,45.67184854507446,0.9548983010980818,0.9512067845463753,2.8087133301981972,2.818634289812289,0.13236844043258997,0.41168708115738056,2.8087133301981972,2.818634289812289,7442.233391788636,2059.0352396373264,13.444444444444445,153.585,633.5997280544705,635.8535699462891,10.475865040933549,84.32085992330583,633.5997280544705,635.8535699462891,0.24409589672250617,0.1797215928165131,0.9515115886653235,2.817815128009291,277.15101818847654,1091.5344979593217
