algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_threshold_honest,balance_threshold_attacker,nsr_honest,nsr_attacker,balance_local_norm_honest,balance_local_norm_attacker,balance_kept_honest,balance_kept_attacker,sigma_dp_honest,sigma_dp_attacker,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,26,2.207772053690618,0.8736416445175806,0.4578254627188047,nan,1.1900857778695912,8.789644832611083,1000.0,nan,nan,0,0,0,30894,9.768439769108245,126.22283702087155,6967.56867505467,1029.0569562712487,5.8474728510929985,75.55808605194092,41.46153846153846,151.775,1.2627069446729098,1.2582317480090175,1.0738467926995403,2.1694448226034173,284.9594233586238,283.8343835449219,1.2627069446729098,1.2582317480090175,284.9594233586238,283.8343835449219,0.8623824257117051,0.8664142894744873,1.512086004661091,0.7436241543709943,0.8661682132823926,1.2585048820777056,120.94269842529297,592.7795680599211
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,27,2.2223800433537693,0.8743706458806991,0.45250698695580166,nan,1.2407519151182735,8.868576891422272,1000.0,0.0,nan,0,6,0,31362,9.61663411334146,132.66255625266857,7432.095182182291,1007.1812682778677,5.795106214635513,79.94414627075196,48.05882352941177,152.725,1.2842748442876404,1.2617418848522943,1.098240362319705,2.182766707440051,289.9487789378447,284.5750559997559,1.2842748442876404,1.2617418848522943,289.9487789378447,284.5750559997559,0.8394747797180625,0.859836517572403,1.5320509003678435,0.7359821517411773,0.8582413583856574,1.2635071397389341,123.68828088378906,655.5637435053451
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,28,2.2348146008054894,0.8751709781090419,0.4474388004342715,nan,1.2245213424458223,8.86929529428482,1000.0,0.0,nan,0,49,0,31189,9.608214293878351,139.077351885252,7227.504684524871,994.3624756414487,5.828761493458467,84.37038230895996,40.76470588235294,152.48,1.2198978458096046,1.2724541557938944,1.1238881103459715,2.1956199964758416,275.1257288315717,287.0207646179199,1.2198978458096046,1.2724541557938944,275.1257288315717,287.0207646179199,0.8943365461686078,0.8467017450928688,1.5525808647979193,0.7277792453129222,0.8504335037024889,1.2683368411868305,124.1625806274414,643.4801495304253
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,29,2.247880455579826,0.8758943088849386,0.4426730558276176,nan,1.0975992493331432,8.870314292907715,1000.0,0.0,nan,0,112,0,31306,9.486660671752514,145.40297987352528,7796.933495635603,981.9966181771383,5.793516755104065,88.79780033111572,44.0,153.01,1.2829733062983393,1.2819363356647833,1.1430883807912564,2.2080808501075673,289.14544200897217,289.2279379272461,1.2829733062983393,1.2819363356647833,289.14544200897217,289.2279379272461,0.8336738999933004,0.8346165898442268,1.5690853685177808,0.7221873915762007,0.8345467609663805,1.2820131483043058,124.94382931518555,642.3005191311946
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,30,2.2620508957739456,0.8764869787295659,0.43848601897557576,nan,1.192709202116186,8.917839303016663,1000.0,0.0,nan,0,88,0,31416,9.570635502584635,151.64020102691435,7741.301606234798,974.0476553606135,5.8838958090001885,93.22632160186768,38.36363636363637,152.86,1.2625411922510617,1.2855992129699345,1.1806454448181152,2.2203358350951743,284.84797460382634,289.9253219604492,1.2625411922510617,1.2855992129699345,284.84797460382634,289.9253219604492,0.8487999127669767,0.8277753350138665,1.596521600928939,0.7056537342458302,0.8298588517281387,1.2833141838896855,128.50343966674805,730.2363328185764
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,31,2.2758697547702154,0.8770589784781138,0.4345629027485847,nan,1.4457294791936874,8.874932312965393,1000.0,0.0,nan,0,71,0,30817,9.613501114327187,157.82749982057635,8004.543247935323,961.8042353921453,5.949782292048137,97.67921722412109,37.916666666666664,151.81,1.2723532363779002,1.297476331098221,1.194004014739744,2.232142786445585,286.6160011291504,292.7212007141113,1.2723532363779002,1.297476331098221,286.6160011291504,292.7212007141113,0.8363675077756246,0.813391145169735,1.6092595234220803,0.702503791339968,0.8146916939964834,1.2960542691329198,123.96726431274413,576.830732107306
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,32,2.2901955162133993,0.8776593101024628,0.43089628239472705,nan,1.3463425452892597,8.87911372900009,1000.0,0.0,nan,0,96,0,30760,9.528551184820987,163.89270974166226,7674.655511007575,957.5397564089764,5.9366529538081245,102.11144596099854,32.76923076923077,151.67,1.1871506266562162,1.3036934825946318,1.220091691148089,2.2437271938110523,267.7122145432692,294.04652313232424,1.1871506266562162,1.3036934825946318,267.7122145432692,294.04652313232424,0.9110276561516982,0.804122985303402,1.6295458922132744,0.6917181988690811,0.81064768352419,1.2965805383354796,124.5791268310547,582.5569458497874
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,33,2.3024403999685563,0.8781236430009206,0.4275224833687146,nan,1.338685765862465,8.886624622344971,1000.0,0.0,nan,0,67,0,30743,9.659384959035032,169.87452286894197,8094.29920274402,948.4656115788603,6.058422565460205,106.54629119873047,35.25,151.6,1.271263906552061,1.308820139051943,1.2393199929198961,2.2551387595288435,286.61771901448566,295.26329650878904,1.271263906552061,1.308820139051943,286.61771901448566,295.26329650878904,0.8303669691085815,0.7958131602406502,1.645647499563475,0.684194408687648,0.7977690362143066,1.3066943145708172,124.98414385986328,573.6494254974006
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,34,2.3155961544621264,0.8786493094762167,0.42455111503601073,nan,1.4692796028178672,8.818124761581421,1000.0,0.0,nan,0,254,0,32102,9.744499694147235,175.77620136876908,8456.729321835597,940.5810006364449,6.152688523997432,110.98529949188233,47.65217391304348,155.03,1.2882430019197397,1.3205340884093004,1.2547909348779422,2.2660988389466947,290.77342224121094,297.8731791687012,1.2882430019197397,1.3205340884093004,290.77342224121094,297.8731791687012,0.8111841600874196,0.7813853138685226,1.6593140965054434,0.6800020202273246,0.7844587374695748,1.317203617605444,132.52484909057617,765.2419490590155
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,35,2.327966664626267,0.8791046448548635,0.4215267436703046,nan,1.3331400255362194,8.76844111442566,1000.0,0.0,nan,0,104,0,30670,9.405192969703963,181.53739503184252,8704.307935713441,940.4777646001368,5.978171785672505,115.3896295928955,31.333333333333332,151.47,1.2837223148097308,1.3295990952098204,1.2690458039101677,2.2768270141725027,289.36165110270184,299.8799726867676,1.2837223148097308,1.3295990952098204,289.36165110270184,299.8799726867676,0.8117966701587042,0.7693334811925888,1.6721582880151018,0.6754717214809621,0.7717370579265198,1.3270022963192494,126.89666870117188,585.0944962971774
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,36,2.342659200133547,0.879472644130389,0.4187685758868853,nan,1.0652787139018376,8.728678991794586,1000.0,0.0,nan,0,116,0,30814,9.284778515294958,187.17724646300684,9107.871222860462,937.258670660192,5.94110906124115,119.77027057647705,36.0,151.91,1.2672520618664107,1.337025616933946,1.2882825780454752,2.2872861807070097,285.558287302653,301.70277267456055,1.2672520618664107,1.337025616933946,285.558287302653,301.70277267456055,0.8235172480344772,0.7587413549423218,1.6878840191100892,0.6666822299893288,0.7624079149286702,1.3330761704206895,127.5345079650879,593.492377612728
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,37,2.3557949652705195,0.8799219793081283,0.41624641746282576,nan,1.41748769716783,8.635019662380218,1000.0,0.0,nan,0,16,0,30252,9.574399735933579,192.70371300021077,8785.019170730251,933.1691108318961,6.167410113594749,124.13131488800049,19.181818181818183,150.205,1.2596233537279866,1.3488097666339127,1.3072875472947996,2.297354792830744,284.0324790261009,304.41157623291014,1.2596233537279866,1.3488097666339127,284.0324790261009,304.41157623291014,0.8270860666578467,0.7440390303730965,1.703314445509177,0.6572178887514382,0.7483684967196949,1.344160237999006,128.01334503173828,566.538066088824
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,38,2.368155617546498,0.8802329778671265,0.41404381722211836,nan,1.4113315294186275,8.57060135126114,1000.0,0.0,nan,0,103,0,31299,9.441116142061015,198.07713949416365,9552.113588497692,931.3609889621167,6.122233788172404,128.4461008453369,34.083333333333336,152.405,1.3356515777555946,1.357222286660545,1.3166052681610976,2.3072068478579313,301.54113070170087,306.0621333312988,1.3356515777555946,1.357222286660545,301.54113070170087,306.0621333312988,0.7525547134379545,0.7324085319042206,1.712845900039831,0.6560736079810544,0.7345670513542635,1.354911139277872,136.89882760620117,831.0458478327358
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,39,2.3782642024208345,0.8805283091465632,0.411760661204656,nan,1.358277678489685,8.443582789897919,1000.0,0.0,nan,0,59,0,30599,9.224952301880235,203.3208022877622,8849.316876245122,933.3237415769603,6.02207271869366,132.7283455276489,28.53846153846154,151.14,1.212175806643714,1.3707256770056109,1.3310010025555072,2.3167010738388476,273.18183664175183,309.1210629272461,1.212175806643714,1.3707256770056109,273.18183664175183,309.1210629272461,0.8644746862925016,0.7159505280852317,1.7252810310688433,0.650279791624859,0.725015382811497,1.3610489243544148,130.751152923584,603.4117354131573
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,40,2.3868291662168657,0.8808556445439657,0.4096757607658704,nan,1.542919886112213,8.333043253421783,1000.0,0.0,nan,0,62,0,31004,9.439388031120057,208.39010763243422,9306.734215008855,937.9364457157999,6.203274536132812,136.9475482940674,38.6,152.125,1.255090166673296,1.3821059975145027,1.3446893352903426,2.325927461804058,282.8020792643229,311.7607725524902,1.255090166673296,1.3821059975145027,282.8020792643229,311.7607725524902,0.8207414905230205,0.7013998660445213,1.7371845858958286,0.644245950263891,0.7097260258918585,1.3732444279209304,133.18837139892577,654.3766047365856
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,41,2.397958122696305,0.8811866452296575,0.4079250394304593,nan,1.819239175837973,8.279903242588043,1000.0,0.0,nan,0,103,0,31323,9.525663876385309,213.29950068590384,9495.441924472483,939.1661073652414,6.301844928575599,141.11146415710448,34.95652173913044,152.595,1.2644164092259278,1.3878482596651327,1.3488171508713143,2.3350174811421986,285.20361593495244,313.06185104370115,1.2644164092259278,1.3878482596651327,285.20361593495244,313.06185104370115,0.8084093176800272,0.6920866870880127,1.743297282979668,0.6470341151894939,0.7040840884495209,1.3751176203821653,138.3441067504883,812.4567714718307
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,42,2.4098899347405838,0.8814249769846598,0.40606981724500657,nan,1.2954027950763702,8.15049058675766,1000.0,0.0,nan,0,124,0,31192,9.134866833243375,218.09457020451592,9546.88774664738,937.5955753467642,6.0837306295122415,145.24881874084474,44.857142857142854,152.82,1.249925667786996,1.3998116059452241,1.3627698757702023,2.3438305082450714,281.47295052664623,315.85749923706055,1.249925667786996,1.3998116059452241,281.47295052664623,315.85749923706055,0.8185263361249652,0.6768488803505898,1.75519412876015,0.6404057628145502,0.6861174989526517,1.3900059838227234,134.22424230957031,642.3510870448323
