algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,nsr_honest,nsr_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,12,0.8588061828523672,0.8462659807999929,0.6514341564973195,nan,1.73115535215898,10.309869275093078,1000.0,0.0,nan,0,11,0,30689,5014.06384899179,891.9200238259565,0.2996135846523475,0.8534183042498086,0.9410087303681807,0.9392863157391548,1.769087723336122,1.7719650865987708,398.6644176136364,399.5868914794922,1.769087723336122,1.7719650865987708,398.6644176136364,399.5868914794922,0.521135472491332,0.3673718499983549,0.9393761098667344,1.771815081878917,168.60537377929688,467.0774142082019
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,13,0.8722820455507541,0.8495869759718577,0.6233838633696238,nan,1.653592793380513,10.764770750999451,1000.0,0.0,nan,0,105,0,30871,5439.094592649162,820.0207696791435,0.3160989472498052,0.8659635264808594,0.9203861916766447,0.9315926524996757,1.7766873176086073,1.758245188889934,400.6167261460248,396.79333953857423,1.7766873176086073,1.758245188889934,400.6167261460248,396.79333953857423,0.5360447789422269,0.368522030950447,0.9307147269974106,1.7596899639508439,172.33830450439453,512.9375240217289
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,14,0.8882195473028135,0.8528793116410573,0.5988192023833593,nan,1.8333081934187148,11.167413573265076,1000.0,0.0,nan,0,3,0,30629,5694.858159252635,760.9995867592241,0.3282892931143642,0.8788306531226274,0.9371249278386434,0.9225318011641502,1.7230995778568428,1.7467574950204259,389.56099107530383,393.94179077148436,1.7230995778568428,1.7467574950204259,389.56099107530383,393.94179077148436,0.5485058371176694,0.37088098847109136,0.9231602133175973,1.745738733037305,164.58881414794922,406.9072815702371
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,15,0.9031592046501777,0.855439978837967,0.5785170664389928,nan,1.755075614899397,11.532150421142578,1000.0,0.0,nan,0,52,0,31198,6077.790364427145,710.8918116200875,0.34532831363106253,0.8921901012698912,0.9050415903329849,0.913252400457859,1.7486840979721716,1.7355711678644405,393.78671646118164,391.52345275878906,1.7486840979721716,1.7355711678644405,393.78671646118164,391.52345275878906,0.5640730286865939,0.37169081893485606,0.912644192300461,1.7365424960205686,169.21055603027344,478.84601630970366
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,16,0.9191257560420761,0.8578413114945094,0.5602805105845133,nan,1.959701651876623,11.855862798690795,1000.0,0.0,nan,0,7,0,30995,6358.0804619959,668.8407657520594,0.35574151165268425,0.9060809616980139,0.9248567819595337,0.9033818244934082,1.691475219894766,1.7252608196109134,382.0017256303267,389.2138830566406,1.691475219894766,1.7252608196109134,382.0017256303267,389.2138830566406,0.575877291670816,0.37473027697885664,0.9045013720390356,1.723499485028555,164.08959118652345,407.41407646473357
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,17,0.9367264375405181,0.8599803123871486,0.5446151761213939,nan,1.4318541511893272,12.114436192512512,1000.0,0.0,nan,0,74,0,30980,6713.656782127949,634.182802181623,0.3778288028804291,0.920385258077935,0.9016787670552731,0.8910703501105308,1.7022144869396487,1.7186557615551101,384.2644958496094,387.69323440551756,1.7022144869396487,1.7186557615551101,384.2644958496094,387.69323440551756,0.5948513849594315,0.3735317844127339,0.8918561587731043,1.7174378893613722,167.37375762939453,468.51013790074353
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,18,0.9588473638236156,0.8619933110475541,0.5308572596311569,nan,1.5870528556406498,12.362935442924499,1000.0,0.0,nan,0,104,0,30754,7097.773192445585,603.7064984688018,0.39873511866180583,0.9351855392282118,0.880194328725338,0.8803350293636322,1.7096733741863839,1.7094585582221558,385.43035888671875,385.5898155212402,1.7096733741863839,1.7094585582221558,385.43035888671875,385.5898155212402,0.6133152868883683,0.37290922726843656,0.880324607094129,1.7094744705158023,166.5696976928711,468.6113415457794
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,19,0.9851819213751197,0.8636183140675227,0.5187982081373532,nan,1.750765697522597,12.551188716888428,1000.0,0.0,nan,0,17,0,31003,7140.726512190845,576.5347899676088,0.4142903536241756,0.9506892838000109,0.9072591120546515,0.8674497869610787,1.6435134480250426,1.7033878078754447,370.82189386541194,384.1954040527344,1.6435134480250426,1.7033878078754447,370.82189386541194,384.1954040527344,0.6288499256945097,0.3740982403277913,0.8695251546199853,1.700266395750542,161.8362432861328,387.7098992552421
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,20,1.0132946915618355,0.8650873120625814,0.5079261381427447,nan,1.4566933115323384,12.783392267227173,1000.0,0.0,nan,0,50,0,30682,7402.990675586755,551.6217703560569,0.4313529603699638,0.9672249716334841,0.9021830201148987,0.8594789311289788,1.6265656433453157,1.689837577782082,366.47597045898436,381.1304693603516,1.6265656433453157,1.689837577782082,366.47597045898436,381.1304693603516,0.6457017648753719,0.3758080451469523,0.862458286174508,1.6854232567748657,163.44646685791017,442.73842841002545
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,21,1.0336186735899062,0.8663789790868759,0.49829827109972635,nan,1.752703348795573,12.934035215377808,1000.0,0.0,nan,0,28,0,30782,7776.272299779083,530.2564784091845,0.44331035275383385,0.984368595992225,0.8656869133313497,0.8477239426970482,1.655618141177147,1.6818364934126169,373.3873240152995,379.40296310424804,1.655618141177147,1.6818364934126169,373.3873240152995,379.40296310424804,0.6597336500491904,0.37908398396796666,0.8487407146197445,1.6803524357389108,160.72248101806642,398.73312655837174
