algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_kept_honest,balance_kept_attacker,balance_local_norm_honest,balance_local_norm_attacker,balance_threshold_honest,balance_threshold_attacker
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,0,0.0,0.38017298916975656,2.0955872495969134,nan,0.1751359083255132,0.17505748324096204,,nan,nan,0,0,0,30800,65.85714285714286,151.695,4.983853203909738,4.983839049339294,9.901476044941065,9.901447923900088
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,1,0.0,0.5547793200612068,1.8903739953041077,nan,0.17950089951356252,0.1801270044595003,,nan,nan,0,0,0,31168,43.625,152.35,5.000520586967468,4.999791877269745,9.868579001826594,9.86714088571522
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,2,0.0,0.6512259842952093,1.679781951904297,nan,0.18130752642949421,0.1823176334798336,,nan,nan,0,0,0,31306,50.13333333333333,152.77,5.026571528116862,5.025347037315369,9.854077486283312,9.851676997765114
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,3,0.0,0.7101003148158391,1.4799018442630767,nan,0.17619780952731767,0.17759077288210393,,nan,nan,0,0,0,31382,42.2,152.69,5.060848259925843,5.05839744091034,9.855351660656906,9.85057900555763
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,4,0.0,0.7511883163452149,1.299669655561447,nan,0.16707753509283066,0.16884942434728145,,nan,nan,0,0,0,31208,49.357142857142854,152.585,5.099101305007935,5.096436991691589,9.863865760384964,9.85871182691237
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,5,0.0,0.779563980102539,1.1454518298308054,nan,0.15469505901137987,0.15638880133628846,,nan,nan,0,0,0,30866,55.333333333333336,151.84,5.141229735480414,5.136920821666718,9.879278468210948,9.870998550438113
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,6,0.0,0.7999363134304682,1.0189741027355195,nan,0.14036208088199298,0.14210128091275692,,nan,nan,0,0,0,31172,45.93333333333333,152.415,5.181756083170573,5.1777263617515565,9.890992800842305,9.883300824434086
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,7,0.0,0.8141313127676646,0.9180723631381988,nan,0.1260968862225612,0.12762850701808928,,nan,nan,0,0,0,31048,36.94444444444444,151.915,5.223214970694648,5.217434499263764,9.903883513428868,9.892923000406642
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,8,0.0,0.8245083127419154,0.838287489215533,nan,0.11316544733941555,0.11460142862051725,,nan,nan,0,0,0,31914,49.608695652173914,153.865,5.261521754057511,5.255259017944336,9.9102291613067,9.898433115797529
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,9,0.0,0.8324696451425553,0.7745817246039709,nan,0.10184065627555053,0.10334776900708675,,nan,nan,0,0,0,31738,54.94444444444444,153.745,5.297224124272664,5.290902523994446,9.911180339070144,9.899352536636442
