algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,balance_threshold_honest,balance_threshold_attacker,sigma_dp_honest,sigma_dp_attacker,balance_kept_honest,balance_kept_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,sigma_n_honest,sigma_n_attacker,balance_local_norm_honest,balance_local_norm_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,7,2.5677819724527606,0.7100979837775231,0.9577536031603813,nan,0.5730770400592259,3.569189574718475,1000.0,nan,nan,0,0,0,51486,2272.40281956261,2067.7868314854404,216.40803745814733,222.8810791015625,9.86099387481496,16.30236318909585,0.9602642152048421,0.9881218757036437,61.42857142857143,168.75333333333333,216.40803745814733,222.8810791015625,0.6595432481287148,2.5304145906269344,0.9602642152048421,0.9881218757036437,5.200595378875732,8.597712942759197,0.9701087730271476,0.9402312042315801,1.7820660536276467,1.1006759122708958,0.9415633251332933,0.986879814407519,139.7880725097656,1304.2993778390176
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,8,2.625172152988488,0.7164244818687439,0.9147552397847175,nan,0.6584712465604147,3.879192389647166,1000.0,nan,nan,0,0,0,51670,2492.192431703233,2173.5551943864853,214.67058512369792,222.7189483642578,9.853015159829773,19.011563047718973,0.9522378776013307,0.9875401262583273,64.0,169.03333333333333,214.67058512369792,222.7189483642578,0.7870881509660106,2.5731254925031446,0.9522378776013307,0.9875401262583273,5.231145795186361,10.093586225509643,0.9684530218442281,0.9302105524142583,1.8587105558882908,1.0869876454197231,0.932031622387114,0.9858590667984702,140.07148657226563,1378.898889582988
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,9,2.685578019082407,0.7224479812383652,0.8798737391829491,nan,0.6987993170817693,4.171389314333598,1000.0,nan,nan,0,0,0,51628,2955.099947553159,2237.7014899702626,232.58192698160806,222.34802810668944,9.829889469883609,22.096815193776614,1.0316496753929538,0.9854684799017805,75.16666666666667,169.08666666666667,232.58192698160806,222.34802810668944,0.8476701569045316,2.6174299354355823,1.0316496753929538,0.9854684799017805,5.253776629765828,11.810074936548869,0.8711954553922018,0.9217257318894069,1.9095260240231622,1.089287412868999,0.9197822597164375,0.987244679728364,138.99078311157226,1413.543292723433
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,10,2.750962252934856,0.7274534806609154,0.8504823648929596,nan,0.586167958649722,4.434557058016459,1000.0,nan,nan,0,0,0,51156,2838.1988071397836,2256.8913034637517,208.0155722878196,222.09816701253254,9.805325654375702,25.503698214580613,0.9217604599870358,0.9846011179393263,60.90909090909091,168.28666666666666,208.0155722878196,222.09816701253254,0.9561054006012337,2.663088277407217,0.9217604599870358,0.9846011179393263,5.2757023898038,13.722126766840617,0.9812971461902965,0.9118474785486858,1.9802951266848237,1.0772839089075543,0.9143038976614115,0.9823784580117532,137.83524279785155,1416.5751558353263
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,11,2.799837209521332,0.7321504831314087,0.825394775569439,nan,0.7712104274676397,4.6726183366775516,1000.0,nan,nan,0,0,0,51594,3170.20277534727,2233.961202291826,218.1439936711238,222.0422477722168,9.804062507616988,29.1763178890795,0.9670517548908151,0.9842012728359572,69.15384615384616,168.98333333333332,218.1439936711238,222.0422477722168,1.031211732301341,2.710260100923525,0.9670517548908151,0.9842012728359572,5.310307062589205,15.80316392580668,0.9205013330166156,0.9013577022155126,2.038640753474651,1.0738445139150714,0.9021528050922357,0.9834889925379162,138.8970924987793,1422.801993534125
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,12,2.878105908989876,0.7363259810209274,0.8041085109114647,nan,0.9054795168340206,4.908407688140869,1000.0,nan,nan,0,0,0,50592,3395.308834815781,2184.398932638299,222.28667068481445,221.21992335001627,9.838937720924395,33.068542895222436,0.9854737673224521,0.9806986125874224,46.125,167.41,222.28667068481445,221.21992335001627,1.0702994811910904,2.760526998143135,0.9854737673224521,0.9806986125874224,5.364843666553497,18.031170431772868,0.8888814300298691,0.8942654019594193,2.0844359913623167,1.0816018569056542,0.8941255585326777,0.9808226425805402,136.2885407409668,1364.9643009400322
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,13,2.9666065400532715,0.7399739819765091,0.7852976185083389,nan,0.6497004002332687,5.138664933045705,1000.0,nan,nan,0,0,0,50896,3564.5020353535147,2099.7037832637343,219.95856323242188,219.95208170572917,9.733092826845956,37.16079172375373,0.9766730059534791,0.9752926389007452,53.8,167.86,219.95856323242188,219.95208170572917,1.1334468009810224,2.8150602709587336,0.9766730059534791,0.9752926389007452,5.342629051208496,20.3980717086792,0.8877370595932007,0.88930906077226,2.1424148829676493,1.0823277253892436,0.8892583510568065,0.9753371668701883,136.37042028808594,1331.1123106653108
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,14,3.0725239600256726,0.7430834805965424,0.7693008384108544,nan,0.775786212512425,5.395898888905843,1000.0,nan,nan,0,0,0,50650,3593.3018535082897,1985.352140453872,211.26605660574776,217.42680760701498,9.759348314715123,41.43405969825863,0.936505295469136,0.963773441683652,55.714285714285715,167.53333333333333,211.26605660574776,217.42680760701498,1.1851532316958926,2.875922284407183,0.936505295469136,0.963773441683652,5.392873968396868,22.895858898162842,0.9227624961308071,0.8913966619968414,2.1996146633226665,1.088512715808724,0.8921118438826322,0.9631516924214316,133.41380935668946,1241.5175102214391
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,15,3.194073186748348,0.7461719807982444,0.7549684736132621,nan,0.7931269109249115,5.566616141001384,1000.0,nan,nan,0,0,0,50698,3968.1610758785982,1877.1770792216194,220.70215861002603,217.12550064086915,9.728145351983118,45.90155457736536,0.9782087640327464,0.9626609720181515,47.77777777777778,167.56,220.70215861002603,217.12550064086915,1.2374574253853408,2.942327678423775,0.9782087640327464,0.9626609720181515,5.411588933732775,25.534193394978843,0.8634835614098443,0.8815475185712178,2.2603795772084014,1.0961242505477735,0.8810213838966148,0.9631138203292564,134.24793923950196,1197.7331468987866
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,16,3.3059482581780153,0.748837979733944,0.7421593257784843,nan,0.9775516510009765,5.731766427357991,1000.0,nan,nan,0,0,0,51270,4000.360397271578,1773.69454461598,212.58497009277343,216.58180638631185,9.703466919398922,50.478353933115216,0.9422872917243394,0.9600537523841581,71.6,168.51333333333332,212.58497009277343,216.58180638631185,1.2816810738387268,3.0123696064163745,0.9422872917243394,0.9600537523841581,5.433966732025146,28.268009592692056,0.8942156195640564,0.873366484840711,2.320094193385315,1.1089391555985388,0.8740390375737221,0.9594806407499704,134.20078323364257,1144.2239347150196
