algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,eps_n_honest,eps_n_attacker,balance_kept_honest,balance_kept_attacker,trust_honest,trust_attacker,balance_threshold_honest,balance_threshold_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,balance_local_norm_honest,balance_local_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,2.969313182636736,0.38001765598853426,2.0955926060676573,nan,0.4509097252573286,0.4510901203751564,1000.0,nan,nan,0,0,0,30800,0.06928397426152384,2.9693131826367365,65.85714285714286,151.695,1.0,1.0,9.901476044941065,9.901447923900088,180.36399841308594,180.43596893310547,0.7999999999999999,0.8,180.36399841308594,180.43596893310547,0.7999999999999999,0.8,1030.4799987585318,1031.1836083751948,4.983853203909738,4.983839049339294,1.2292956576116087,1.4625306792274435,1.0,0.7999999999999998,74.6994835510254,426.90016333269733
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,3.2739635349746607,0.554058986902237,1.890446866353353,nan,0.4940685238689184,0.8185286438465118,1000.0,nan,nan,0,0,0,31168,0.21343262960802117,3.2628028107682643,43.625,152.35,0.9927787482738495,0.930539733171463,9.869839234922004,9.87810675691337,179.75046825408936,191.10507713317872,0.7977593862560834,0.8470551674999472,179.75046825408936,191.10507713317872,0.7977593862560834,0.8470551674999472,996.0927227204255,1066.2374424561335,5.001159161329269,5.005348408222199,1.4331807020721183,1.610923951537486,0.9351500305864546,0.8434036281485499,82.19404583740234,458.369944109507
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,3.37432806887526,0.6505753167470296,1.679897655248642,nan,0.49579058289527894,1.2470211505889892,1000.0,nan,nan,0,0,0,31306,0.3596292888606333,3.3647375564481723,50.13333333333333,152.77,0.9979555130004882,0.9691361981630325,9.859441749258512,9.932375574758318,177.22576802571615,182.31615882873535,0.7857621414010157,0.8083610647364426,177.22576802571615,182.31615882873535,0.7857621414010157,0.8083610647364426,972.1842478554905,1004.2041203668658,5.029307842254639,5.066511435508728,1.5616725958956488,1.6599305704602878,0.9711468480354132,0.806784395666529,78.24323657226563,430.84717558241107
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,3.5034078102098145,0.7096176477273305,1.4800956797599794,nan,0.4783295005559921,1.6310852229595185,1000.0,nan,nan,0,0,0,31382,0.5536958818215555,3.4883580591272403,42.2,152.69,0.9975685685873031,0.9746605861186981,9.856676835878257,10.155262157726678,175.57813568115233,179.60216178894044,0.7782440842424714,0.7960288436578838,175.57813568115233,179.60216178894044,0.7782440842424714,0.7960288436578838,998.0999946303178,1011.5093838428843,5.061528754234314,5.214856109619141,1.7275607527438295,1.710342990881843,0.9767431299794804,0.7944120473473917,78.86399014282226,444.5277533223664
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,3.659238231515276,0.7507719826698304,1.2999602536360422,nan,0.4612051546573639,1.9956254363059998,1000.0,nan,nan,0,0,0,31208,0.6966769393186544,3.6351398725551847,49.357142857142854,152.585,0.9981986624853951,0.9778156170248985,9.864589588024945,10.650851510819296,173.51188005719865,177.33618202209473,0.7700161161701635,0.7856831680231289,173.51188005719865,177.33618202209473,0.7700161161701635,0.7856831680231289,1042.2476161240004,1043.704761474413,5.099475485937936,5.50593166589737,1.8720621126132664,1.7625149744809168,0.9791490872886693,0.7846582207056454,75.79280545043946,446.66483784123733
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,3.8391683521944158,0.7792006468772888,1.1458886170387268,nan,0.6482821603616079,2.3387594842910766,1000.0,nan,nan,0,0,0,30866,0.7541464935379962,3.804741478201885,55.333333333333336,151.84,0.9874778654840257,0.9785824221372604,9.893584656581302,11.51159039845004,173.75278896755643,175.38502326965332,0.7705126778478919,0.7772819638122296,173.75278896755643,175.38502326965332,0.7705126778478919,0.7772819638122296,1119.0344903611763,1100.4553578679377,5.1486747529771595,5.990693657398224,1.9743844874035519,1.8266134079169645,0.9789654795062599,0.7769904634596984,73.28155950927734,460.3247639736762
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,4.042529439297351,0.7995649802684784,1.0194611394405364,nan,0.5434143344561259,2.658943058252335,1000.0,nan,nan,0,0,0,31172,0.8788068660236079,3.995120910867736,45.93333333333333,152.415,0.9765617966651916,0.9769985699653625,9.898626823809312,12.789952863424018,174.1231424967448,173.875142288208,0.7710702417727258,0.770741171690072,174.1231424967448,173.875142288208,0.7710702417727258,0.770741171690072,1242.0723255175997,1178.7698241729324,5.185755443572998,6.7004816794395445,2.1253324839612593,1.8883510528643221,0.9769680974095367,0.7707641300679315,74.77375119018555,508.77009943470097
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,4.268518194198822,0.8138656467199326,0.9185994269450506,nan,0.49595731165673995,2.955668317079544,1000.0,nan,nan,0,0,0,31048,1.0390441172535705,4.203199456576843,36.94444444444444,151.915,0.9759414792060852,0.9733599182963372,9.906885021116153,14.490507554704658,172.39478980170355,172.74165489196778,0.7638606688082186,0.7657862939585866,172.39478980170355,172.74165489196778,0.7638606688082186,0.7657862939585866,1374.0663225619485,1272.6428434668273,5.224797937605116,7.642157330513,2.304706252982879,1.9451630989365434,0.9735730747017292,0.7656272973865379,75.30287438964844,558.5235249989611
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,4.525701661307294,0.8241703120867411,0.8389067264397939,nan,0.5814710790696351,3.234111715555191,1000.0,nan,nan,0,0,0,31914,1.1936781785621917,4.430152804575877,49.608695652173914,153.865,0.955639344194661,0.9695103791356087,9.919299794757423,16.582896946142135,174.0495074728261,171.60310501098633,0.7712531143175805,0.7610094510413492,174.0495074728261,171.60310501098633,0.7712531143175805,0.7610094510413492,1539.6924437570278,1363.3521720787226,5.266337519106657,8.804163012504578,2.4882680289676653,2.0046027135956006,0.9680797342762284,0.7620659723658036,76.64751934814453,616.1667212443124
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,4.821968881199189,0.8321089790264765,0.7752496276299159,nan,0.6180521349112192,3.4842900323867796,1000.0,nan,nan,0,0,0,31738,1.292079099150239,4.668767522387055,54.94444444444444,153.745,0.9307740132013956,0.9624845120310783,9.922640943584529,19.02388173709993,176.22633277045355,171.08566352844238,0.7817591787501178,0.7585742077253548,176.22633277045355,171.08566352844238,0.7817591787501178,0.7585742077253548,1734.1102538482553,1444.6468686019352,5.303349468443129,10.167685565948487,2.642754468444966,2.076423149717039,0.9598662139625724,0.7604885631310692,74.77841339111328,640.2867165793112
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,10,5.141707667761443,0.838292979200681,0.7243760412931443,nan,0.6170870724477266,3.719945412874222,1000.0,nan,nan,0,0,0,32034,1.4487859716326503,4.922200539866958,60.10526315789474,154.46,0.9759376300008673,0.956238257586956,9.944281310181456,21.759494267105982,167.32459058259664,170.39252471923828,0.7412879606222406,0.7555477440397865,167.32459058259664,170.39252471923828,0.7412879606222406,0.7555477440397865,1806.9435525241693,1504.3785140720904,5.350466728210449,11.707578101158141,2.8381517989263734,2.1340434980756826,0.9579473355589392,0.7543105938802733,74.51534432983398,670.4152606247546
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,11,5.249696197164824,0.8436436458428701,0.6826675573984782,nan,0.7075526234176424,3.9422114861011504,1000.0,nan,nan,0,0,0,31680,1.55209819542645,5.164232546300609,53.5,153.585,0.959563864601983,0.9506723093986511,9.956167860513258,24.74918430795385,168.20157962375217,169.64720458984374,0.7456465645484354,0.7520188514820498,168.20157962375217,169.64720458984374,0.7456465645484354,0.7520188514820498,2002.5459987396284,1535.858772558159,5.3926939434475365,13.405235648155212,2.9969519357761136,2.2004881608978213,0.9514064745071831,0.7514926993499165,73.91413870239258,686.4351649778902
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,12,5.303850574427973,0.8478753129641216,0.6484314632415772,nan,0.7281235917048021,4.151717616319656,1000.0,nan,nan,0,0,0,30700,1.617019737550917,5.267852564600944,39.0,151.355,0.9502892385829579,0.9456097114086152,9.934386219464672,27.958759090946106,167.84183432839134,168.70598304748535,0.7448079415541624,0.7481282361822406,167.84183432839134,168.70598304748535,0.7448079415541624,0.7481282361822406,2159.23469130539,1538.5692080167937,5.41688854044134,15.244976224899291,3.0773528683709284,2.2212869591162567,0.9458536678015903,0.7479551402537626,71.17491357421875,662.930846415436
