algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,balance_kept_honest,balance_kept_attacker,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,balance_threshold_honest,balance_threshold_attacker,noise_norm_honest,noise_norm_attacker,balance_local_norm_honest,balance_local_norm_attacker,sigma_n_honest,sigma_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,10,2.5707577893977045,0.8382839810848236,0.7244602270921071,nan,0.8225520880598771,4.63614049911499,1000.0,nan,nan,0,0,0,32034,2495.8512077260298,1935.321716269826,1.024289448010294,1.0465976458787918,60.10526315789474,154.46,0.9757105519897059,0.9534023541212082,231.2040477551912,236.03070739746093,0.8347173070370576,2.5540826036225552,9.964720499169474,26.128190536669862,231.2040477551912,236.03070739746093,5.361463923203318,14.05813148021698,1.024289448010294,1.0465976458787918,1.5224634256712566,1.1209909855220277,0.9553377685481554,1.0446622314518446,103.19803677368164,868.9710324015196
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,11,2.595629431001811,0.8436116460959117,0.6827823086579641,nan,0.9460951122972701,4.916089735031128,1000.0,nan,nan,0,0,0,31680,2791.900149262209,1947.0897649058347,1.0406950910886128,1.0515800434350968,53.5,153.585,0.9593049089113871,0.9484199565649033,234.7584720187717,237.22498985290528,0.8873657384603143,2.5775733975929676,9.987744729892421,29.982982658568094,234.7584720187717,237.22498985290528,5.409797350565593,16.240088682174683,1.0406950910886128,1.0515800434350968,1.5634488021133757,1.113917522650385,0.9493187140980992,1.0506812859019008,103.34130093383789,879.3443113357736
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,12,2.6223102492383124,0.847834979891777,0.6485436038176219,nan,0.9695739041675221,5.1806138920784,1000.0,nan,nan,0,0,0,30700,3040.5966351252323,1917.8990242226637,1.0500568530776284,1.056036137342453,39.0,151.355,0.9499431469223716,0.943963862657547,236.6294305974787,238.14049911499023,0.9199966280533344,2.60039521167104,9.96269681838793,34.0923322782525,236.6294305974787,238.14049911499023,5.43232536315918,18.589408540725707,1.0500568530776284,1.056036137342453,1.5921560615004167,1.111699209549859,0.9442755788988412,1.055724421101159,100.46204711914062,834.0527356618205
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,13,2.645432998386425,0.8513416449228922,0.6199170362949371,nan,0.9364198902074028,5.43633816242218,1000.0,nan,nan,0,0,0,30976,3352.074250306836,1852.6787665068707,1.0734980211538427,1.0590662670135498,37.0,151.735,0.9265019788461573,0.9409337329864502,242.05866735121782,239.00523818969725,0.9597355728537567,2.622809249108136,10.025737690258754,38.42484282579126,242.05866735121782,239.00523818969725,5.503265857696533,21.09192681312561,1.0734980211538427,1.0590662670135498,1.6249650433555085,1.1066216748354973,0.9398031347358282,1.0601968652641718,103.83208996582032,855.0420311131808
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,14,2.671903861382516,0.8547059794267019,0.5954320438702901,nan,1.0103841225306194,5.67137464761734,1000.0,nan,nan,0,0,0,30632,3561.894075303223,1768.4131058471662,1.0577164226108127,1.0629791948199272,42.55555555555556,151.245,0.9422835773891873,0.9370208051800728,239.13058132595486,239.73199615478515,0.9858229484950842,2.644630172884593,9.946046100764113,42.95804579859679,239.13058132595486,239.73199615478515,5.496040450202094,23.737991456985473,1.0577164226108127,1.0629791948199272,1.6493458382508879,1.105180341862705,0.9372474317345323,1.0627525682654677,100.19714892578125,771.4793356943245
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,15,2.6978269471639913,0.8574886445204417,0.574607439438502,nan,1.0033065900206566,5.902775611877441,1000.0,nan,nan,0,0,0,31250,3864.6177309923287,1668.365667615211,1.0822849795222282,1.0651042330265046,45.8125,152.585,0.9177150204777718,0.9348957669734955,243.71237564086914,240.2744548034668,1.025310236129086,2.6661931303259068,9.930744074945501,47.66286953155807,243.71237564086914,240.2744548034668,5.524290889501572,26.513980617523192,1.0822849795222282,1.0651042330265046,1.6816633938078143,1.0983646200351858,0.9336231190849233,1.0663768809150767,103.90857794189454,791.0140344378391
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,16,2.7226404212881783,0.859901978969574,0.5564656223853429,nan,1.0845805352384394,6.092324109077453,1000.0,nan,nan,0,0,0,31002,4061.4309804338395,1584.7335450630217,1.0702982219782742,1.0715767127275466,53.09090909090909,152.09,0.9297017780217257,0.9284232872724533,241.7174835205078,241.74102249145508,1.0453389136682456,2.6870430894069752,9.89460959632436,52.52663930310333,241.7174835205078,241.74102249145508,5.541007128628817,29.41505473136902,1.0702982219782742,1.0715767127275466,1.7020205839637375,1.0982902166848911,0.9284899384489557,1.0715100615510444,102.0141936340332,723.2448995947532
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,17,2.7447454680140515,0.8619236459334692,0.5408063582579294,nan,0.8468117043375969,6.278100001811981,1000.0,nan,nan,0,0,0,31054,4358.54239814808,1494.6684971242378,1.0876790098845959,1.0764469981193543,40.125,152.06,0.9123209901154041,0.9235530018806457,245.53324031829834,242.82563888549805,1.096836941222154,2.7072703729448153,9.840865188668003,57.505851650382596,245.53324031829834,242.82563888549805,5.547772258520126,32.418833341598514,1.0876790098845959,1.0764469981193543,1.7410103139112185,1.0841376778658045,0.9227210010091463,1.0772789989908536,104.98731924438476,737.3407555904337
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,18,2.7668195668148066,0.864001978635788,0.5269268896182379,nan,0.9031601957976818,6.482159073352814,1000.0,nan,nan,0,0,0,30858,4670.295647956098,1416.8398223335619,1.1145263239741325,1.076842449903488,35.0,151.49,0.8854736760258675,0.9231575500965118,251.25986003875732,242.89501434326172,1.1419800220171188,2.7274510158143697,9.833896168469261,62.591140631702245,251.25986003875732,242.89501434326172,5.580925911664963,35.52168058395386,1.1145263239741325,1.076842449903488,1.7761684195360192,1.0714542856280374,0.9203661520172048,1.0796338479827952,105.19832125854492,716.1853896680199
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,19,2.7923344468121587,0.8656013135115306,0.5147738257050514,nan,1.0416483824903315,6.642289679050446,1000.0,nan,nan,0,0,0,31020,4801.912561355097,1348.8932733414558,1.0798260677944531,1.0818562111258507,53.81818181818182,152.14,0.920173932205547,0.9181437888741493,243.6398689963601,244.01174865722658,1.1743004548786855,2.7471009764847283,9.853727996499252,67.79364421817185,243.6398689963601,244.01174865722658,5.629586609927091,38.731553363800046,1.0798260677944531,1.0818562111258507,1.8034206635211025,1.063558241394159,0.9182496257302886,1.0817503742697114,102.96477658081055,645.1993856863945
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,20,2.8136168903969683,0.8671433101097743,0.5038652190566063,nan,0.879799489180247,6.799908215999603,1000.0,nan,nan,0,0,0,30732,5025.64574827361,1288.0013654485522,1.0905389428138732,1.0856163644790648,32.333333333333336,151.235,0.9094610571861267,0.914383635520935,245.70486246744792,244.85441246032715,1.2071430476381544,2.766335385543862,9.756191149849899,73.07057564556403,245.70486246744792,244.85441246032715,5.611145528157552,42.02558431625366,1.0905389428138732,1.0856163644790648,1.8308199828004377,1.0549092336243588,0.9140401998231578,1.0859598001768422,105.3129108581543,665.9699186276292
