algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_local_norm_honest,balance_local_norm_attacker,balance_threshold_honest,balance_threshold_attacker,balance_kept_honest,balance_kept_attacker
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,67,0.0,0.8864715765714646,0.3795095435380936,nan,0.021879927195608617,0.0,,nan,nan,0,0,0,336,6.2047287349043225,0.0,7.886287941200258,0.0,11.586206896551724,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,68,0.0,0.8865379775762559,0.3790990112423897,nan,0.021769104067236186,0.0,,nan,nan,0,0,0,444,6.2070740952211265,0.0,7.836848725525594,0.0,13.058823529411764,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,69,0.0,0.8866127767562866,0.37879387640953066,nan,0.021520925223827363,0.0,,nan,nan,0,0,0,112,6.216949036246852,0.0,7.797161768658493,0.0,5.894736842105263,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,70,0.0,0.8866517786979675,0.37847812747955323,nan,0.021343437235802412,0.0,,nan,nan,0,0,0,88,6.231535116831462,0.0,7.763525568583431,0.0,5.866666666666666,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,71,0.0,0.8867197778224946,0.3782513660788536,nan,0.021130175970494748,0.0,,nan,nan,0,0,0,178,6.24322999607433,0.0,7.726414065593426,0.0,8.090909090909092,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,72,0.0,0.8868167793750763,0.37793663728237153,nan,0.02094725613296032,0.0,,nan,nan,0,0,0,222,6.256188888549804,0.0,7.691006889509212,0.0,8.88,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,73,0.0,0.8868793783187866,0.3776627234220505,nan,0.020702284768223764,0.0,,nan,nan,0,0,0,396,6.262751206755638,0.0,7.647917783976821,0.0,12.375,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,74,0.0,0.8868821775913238,0.3774177458882332,nan,0.020483051184564827,0.0,,nan,nan,0,0,0,242,6.273507038752238,0.0,7.610148725852489,0.0,10.083333333333334,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,75,0.0,0.8869377775192261,0.37726980382204056,nan,0.020285739842802287,0.0,,nan,nan,0,0,0,258,6.280306797761184,0.0,7.567776857610125,0.0,9.923076923076923,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,76,0.0,0.8869933769702911,0.37706377387046813,nan,0.02007270969450474,0.0,,nan,nan,0,0,0,164,6.289235046931675,0.0,7.528179876933603,0.0,7.809523809523809,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,77,0.0,0.8870291777849197,0.37694621324539185,nan,0.019877388026565312,0.0,,nan,nan,0,0,0,236,6.297130624453227,0.0,7.4875470989796495,0.0,9.833333333333334,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,78,0.0,0.8870613781213761,0.37676003313064577,nan,0.019730875320732595,0.0,,nan,nan,0,0,0,132,6.308642312100059,0.0,7.451393059846481,0.0,6.947368421052632,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,79,0.0,0.8870795782804489,0.376638651907444,nan,0.019527141097933055,0.0,,nan,nan,0,0,0,198,6.317271124232899,0.0,7.412006445302239,0.0,9.0,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,80,0.0,0.8871507791280746,0.3765162740945816,nan,0.019411016337573528,0.0,,nan,nan,0,0,0,314,6.3241047859191895,0.0,7.370722023648782,0.0,11.214285714285714,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,81,0.0,0.8871267777681351,0.3764109683036804,nan,0.01925481818988919,0.0,,nan,nan,0,0,0,230,6.33065860748291,0.0,7.329335009718083,0.0,9.2,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,82,0.0,0.8871845762729644,0.3763619158864021,nan,0.018954755712300538,0.0,,nan,nan,0,0,0,40,6.344925490292636,0.0,7.297043055943038,0.0,3.6363636363636362,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,83,0.0,0.8872041773796081,0.376270800948143,nan,0.01891113667562604,0.0,,nan,nan,0,0,0,154,6.349544095993042,0.0,7.253834277877911,0.0,7.7,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,84,0.0,0.8872803779840469,0.3761977519392967,nan,0.01870371175184846,0.0,,nan,nan,0,0,0,434,6.363358527421951,0.0,7.221313215830378,0.0,13.5625,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,85,0.0,0.8872731773853302,0.37615807539224627,nan,0.01848966457694769,0.0,,nan,nan,0,0,0,186,6.360466436906294,0.0,7.170071029341212,0.0,8.454545454545455,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,86,0.0,0.8872941781282425,0.3761432446241379,nan,0.018365617752075195,0.0,,nan,nan,0,0,0,204,6.373082845107369,0.0,7.136557349923202,0.0,8.869565217391305,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,87,0.0,0.8873161771297455,0.37611819899082183,nan,0.018218113074079157,0.0,,nan,nan,0,0,0,86,6.381976842880249,0.0,7.099031833267797,0.0,5.375,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,88,0.0,0.8873261785507203,0.3760971469283104,nan,0.018047558246180415,0.0,,nan,nan,0,0,0,226,6.388371050357819,0.0,7.0589277374427795,0.0,9.416666666666666,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,89,0.0,0.8873957791328431,0.376087256193161,nan,0.01787329329177737,0.0,,nan,nan,0,0,0,116,6.4026252428690595,0.0,7.0276704696717625,0.0,6.444444444444445,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,90,0.0,0.8873553764820099,0.37610815501213074,nan,0.0177333971131593,0.0,,nan,nan,0,0,0,542,6.408146331184788,0.0,6.986994966086917,0.0,14.263157894736842,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,91,0.0,0.8873967777490616,0.376136023402214,nan,0.017518911948427557,0.0,,nan,nan,0,0,0,194,6.417677900065547,0.0,6.950893425114158,0.0,8.434782608695652,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,92,0.0,0.8873997772932053,0.3761483694911003,nan,0.017380587512627246,0.0,,nan,nan,0,0,0,222,6.429113845030467,0.0,6.9170120631940994,0.0,9.25,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,93,0.0,0.887421377658844,0.37615885919332503,nan,0.01720371939614415,0.0,,nan,nan,0,0,0,254,6.4270606224353495,0.0,6.868857658406112,0.0,9.76923076923077,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,94,0.0,0.8874637777805329,0.37618322390317915,nan,0.01707595076225698,0.0,,nan,nan,0,0,0,146,6.444389033317566,0.0,6.841614091746997,0.0,7.3,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,95,0.0,0.887510977268219,0.37627790242433545,nan,0.016947450404986738,0.0,,nan,nan,0,0,0,330,6.447813165598903,0.0,6.799766067730655,0.0,11.379310344827585,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,96,0.0,0.8874541774988175,0.37639179795980454,nan,0.016753715518862008,0.0,,nan,nan,0,0,0,514,6.461379323686872,0.0,6.768796668848153,0.0,14.685714285714285,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,97,0.0,0.8874669777154922,0.3764119163751602,nan,0.01664596658758819,0.0,,nan,nan,0,0,0,292,6.466989432062421,0.0,6.729659416106425,0.0,10.428571428571429,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,98,0.0,0.887521378159523,0.37654028660058975,nan,0.016503885427489876,0.0,,nan,nan,0,0,0,82,6.48430517741612,0.0,6.7028435683979115,0.0,5.857142857142857,0.0
