algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.45879548877477644,1.972606943845749,nan,0.5606621503829956,0.5639237318436304,1000.0,nan,nan,0,0,0,50158,224.26490783691406,225.56935465494792,0.019060445256894678,1.906044525689468,1.0,1.0,1.0,1.0,959.345279670674,959.3728678985516,224.26490783691406,225.56935465494792,1.0,1.0,1.1512508935164383,0.9321785469853499,1.0,1.0,136.2386724243164,579.4611018578137
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,1,1.9455640088267214,0.5724554854631424,1.7058615881204604,nan,0.5589944322903951,0.9657203676303228,1000.0,0.0,nan,0,12,0,51198,223.59742863972983,250.4936609395345,0.13510979829435782,1.937322577348106,1.0,0.8782090588410696,0.9900498337491682,1.110628934795722,1085.8499594767363,1223.037789026548,223.59742863972983,250.4936609395345,0.9900498337491682,1.110628934795722,1.2164374657266066,0.936232858617627,0.8828933258087207,1.1059912770631621,155.6625348510742,759.8830724433706
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,2,2.054804216488522,0.6223174840211868,1.4814791494607926,nan,0.5533000032107035,1.5320956194400788,1000.0,nan,nan,0,0,0,51100,221.31918674045139,231.66731948852538,0.22363997897057375,2.0285947264210136,1.0,0.9524450546503067,0.9801986733067553,1.0268119676476999,1180.6086736844545,1221.4989967676543,221.31918674045139,231.66731948852538,0.9801986733067553,1.0268119676476999,1.3066128274408375,0.9674278088425533,0.9538301501459289,1.025454298880488,142.98413705444335,754.1503541869129
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,3,2.1999899930986886,0.6509829840064049,1.3054122239351273,nan,0.5836300381592342,2.013120108048121,1000.0,0.0,nan,0,139,0,51103,219.52968379429407,227.2658368428548,0.35477156616375294,2.1568486076930524,0.9979905784130096,0.9622521203756332,0.9723955677526188,1.0070777947309015,1322.871778497931,1318.8039180531023,219.52968379429407,227.2658368428548,0.9723955677526188,1.0070777947309015,1.436017791081333,1.0045327857223458,0.9638455548104207,1.0055314534006596,142.50633325195312,828.3227606298034
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,4,2.3745962280820767,0.6733224835991859,1.1758885657787324,nan,0.5942830178472731,2.448995438416799,1000.0,nan,nan,0,0,0,50968,217.6535356309679,225.47867833455405,0.43735997699829854,2.304386026745901,0.994214137395223,0.9598585170507431,0.9663484348393793,0.9993569520418822,1522.04012676669,1457.46985895755,217.6535356309679,225.47867833455405,0.9663484348393793,0.9993569520418822,1.55757560684686,1.0529061742046881,0.9608591661869901,0.9983955389194792,139.20497064208985,901.8786376563306
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,5,2.4553852114149324,0.6906049832701683,1.0818157440423966,nan,0.7693233688672384,2.843933146794637,1000.0,nan,nan,0,0,0,50564,219.65291341145834,224.869975789388,0.4711827520263454,2.430893286263668,0.9731738766034445,0.9518617991606394,0.9767472224208048,0.9970198975816387,1741.517728951583,1591.7581004817423,219.65291341145834,224.869975789388,0.9767472224208048,0.9970198975816387,1.6470090725687392,1.1007517389292127,0.952279683032067,0.9966223941471125,137.55782043457032,975.9530730364644
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,6,2.5027469096896486,0.7020879825949669,1.0116738206148148,nan,0.6591625383922032,3.2048497788111368,1000.0,0.0,nan,0,10,0,50636,218.15820966448103,224.7130965677897,0.5262532272369372,2.476081873546736,0.9759460347039359,0.9419708242019017,0.9644177049921483,0.9964143532640231,2023.0580304764385,1689.9713815792193,218.15820966448103,224.7130965677897,0.9644177049921483,0.9964143532640231,1.6961504150228166,1.1084404769514107,0.9427455032687234,0.9956847879939803,137.88207287597658,1042.3056413742017
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,7,2.5494030877626073,0.7099554818868637,0.9578725814819335,nan,0.5731396930558341,3.5438230125109356,1000.0,0.0,nan,0,60,0,51426,216.39601571219308,224.28649841308595,0.659320625684745,2.515001372079115,0.9701660105160305,0.933548534711202,0.9602108473239407,0.9943527554649182,2272.537044153648,1719.4545739525156,216.39601571219308,224.28649841308595,0.9602108473239407,0.9943527554649182,1.7727290735213672,1.0943400706896107,0.9351811610209714,0.9928305047834733,140.63098748779296,1095.3037816078113
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,8,2.597945115630111,0.7162984839081764,0.9149510607123374,nan,0.6579979022343954,3.871154721577962,1000.0,0.0,nan,0,84,0,51586,214.7667266845703,223.1198413594564,0.7868463602486195,2.55633120850772,0.967991054058075,0.9282832326491673,0.9526643276162328,0.9893192666381968,2489.754348938365,1678.8005242782303,214.7667266845703,223.1198413594564,0.9526643276162328,0.9893192666381968,1.8485372692040796,1.0803073301950232,0.9301740812876867,0.9875737933514367,140.31490661621095,1081.972945035089
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,9,2.6663022090823874,0.7222484797239304,0.8801435115933418,nan,0.6979354918003082,4.182359672387441,1000.0,0.0,nan,0,41,0,51587,232.74992243448892,221.84780212402345,0.8474070871420983,2.6008930229803653,0.8703795075416565,0.9241515306631723,1.0323953955791223,0.9832514667532435,2958.1648312138927,1581.4301893679017,232.74992243448892,221.84780212402345,1.0323953955791223,0.9832514667532435,1.8994986486450587,1.0827720903642588,0.9220833759277295,0.9851416178619311,138.6946794128418,1019.8540695698745
