algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,26,3.796536395787501,0.7682084813714027,0.6644111777842044,nan,0.7386485566111172,6.375781917572022,1000.0,0.0,nan,0,53,0,10373,0.9811348782832634,0.9608066359670048,221.65528061810662,216.7165966796875,1.777320780533263,3.6282197341986437,0.7275366572772756,0.7539009663462639,5325.060001232162,610.092077738059,221.65528061810662,216.7165966796875,0.9811348782832634,0.9608066359670048,2.1475005712663386,1.2405824839871997,0.7500702547721374,0.9637603122009912,50.879598876953125,303.0704555895054
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,27,3.825574911809391,0.769688481837511,0.6596487045288086,nan,0.7899192869663239,6.261694970130921,1000.0,0.0,nan,0,176,0,10524,0.9467271009533431,0.9708237610018348,213.4567473038383,219.0490022277832,1.8294692462541644,3.6581351910074242,0.759821153205374,0.7282553851604462,5312.945610090961,603.2064036991427,213.4567473038383,219.0490022277832,0.9467271009533431,0.9708237610018348,2.1952024352048167,1.2312739638760806,0.7341579271525871,0.9663178814805721,53.6288108215332,365.0367788040127
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,28,3.875246445657506,0.7709652300179005,0.6549957928061485,nan,0.7409797952725337,6.229541726112366,1000.0,0.0,nan,0,608,0,11038,0.9211292376097523,0.972407172529426,207.74008824275091,219.2545265197754,1.8932694038688442,3.6850987480192394,0.781226444702882,0.7133790802955627,5142.074409741981,592.5783041717974,207.74008824275091,219.2545265197754,0.9211292376097523,0.972407172529426,2.2516352726989233,1.218242594187205,0.7273793300938984,0.9618260113555254,54.653389892578126,385.90353014094256
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,29,3.923254757705527,0.7721372298896313,0.6507147747278214,nan,0.7142371071709527,6.102503991127014,1000.0,0.0,nan,0,84,0,10700,0.9474571813171343,0.9811282035519123,214.00854661729602,221.30582580566406,1.9232756698883897,3.7103703049123156,0.7337921791606479,0.6887932994961738,5443.9265749795195,590.5057209619873,214.00854661729602,221.30582580566406,0.9474571813171343,0.9811282035519123,2.280694596893175,1.2151932577844182,0.6956575353771953,0.9759919459228783,51.96547283935547,314.08250089166023
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,30,3.970953852173814,0.7732972300052643,0.6466875772178173,nan,0.7758008528214234,6.149317262172699,1000.0,0.0,nan,0,351,0,10755,0.9320111786416235,0.9744083744043789,210.16242276705228,219.9689971923828,1.9828755960335767,3.7357761354588894,0.7419165017513129,0.6846862736344338,5487.716981642951,583.2567788042882,210.16242276705228,219.9689971923828,0.9320111786416235,0.9744083744043789,2.333455703918639,1.201910235921092,0.6964956857855358,0.9656597467073023,54.92224542236328,402.012638806291
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,31,4.002252123678528,0.7744447292387485,0.6427557672560215,nan,0.9980727013419656,6.052781755924225,1000.0,0.0,nan,0,827,0,10011,0.9308540574779635,0.9788786989048716,210.0635196461397,220.7689665222168,2.0067029085308774,3.759472563493921,0.7308502004427069,0.6653721982240677,5396.124500178871,569.9507407935655,210.0635196461397,220.7689665222168,0.9308540574779635,0.9788786989048716,2.3572568395234863,1.200888883523118,0.6748860959823315,0.971900759552244,51.29595297241211,297.45838116479473
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,32,4.031510443719452,0.7753749811649322,0.6393805493414402,nan,0.8533678188920021,5.915564730167389,1000.0,0.0,nan,0,1254,0,10186,0.9115712751425814,0.9856581431387904,205.6672264099121,222.31676025390624,2.057625345447092,3.7814205954115847,0.744649887830019,0.6426228049397469,5386.365589541218,569.7024179698325,205.6672264099121,222.31676025390624,0.9115712751425814,0.9856581431387904,2.402384395439991,1.1885624224176508,0.6596273187547922,0.9733103318060888,52.690041107177734,329.3951071756153
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,33,4.080655347086389,0.7763999797403812,0.6360358126461506,nan,0.9244515345328383,5.778679749965668,1000.0,0.0,nan,0,1125,0,9677,0.9285962992270096,0.9915598919539711,209.24460771348743,223.68304321289062,2.089494191442556,3.802213034155236,0.7083521435658137,0.6207717928290367,5597.900044219097,567.6536969997563,209.24460771348743,223.68304321289062,0.9285962992270096,0.9915598919539711,2.432037959985092,1.182159635288029,0.6341315073482061,0.981955276114265,52.26941452026367,315.05514099183875
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,34,4.118755583455976,0.7773257303237915,0.6328952488303184,nan,0.9288369900193708,5.877536087036133,1000.0,0.0,nan,0,1532,0,10394,0.9321158057249646,0.9788654087539203,210.5376897351495,220.72527099609374,2.125911169417518,3.8253562420423295,0.6904261446204679,0.6247454024851322,5604.221377257461,557.4474638858524,210.5376897351495,220.72527099609374,0.9321158057249646,0.9788654087539203,2.4658001839424806,1.1775392719450475,0.6395108406395875,0.9683558080729923,56.356240203857425,436.5343326581033
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,35,4.140392334305314,0.7781737285852433,0.6299829015135765,nan,0.9245744682848454,5.6962964987754825,1000.0,0.0,nan,0,1349,0,9757,0.9209467353845093,0.9868870037437886,207.69686603546143,222.5364128112793,2.1602017895161656,3.8475593385271996,0.693114373832941,0.5995406788587571,5596.891892775062,553.7199632646622,207.69686603546143,222.5364128112793,0.9209467353845093,0.9868870037437886,2.4976732993183726,1.1712142724500667,0.6124473954069203,0.9777917943149226,51.153582275390626,289.8445332217345
