algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_local_norm_honest,balance_local_norm_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,sigma_dp_honest,sigma_dp_attacker,sigma_n_honest,sigma_n_attacker,balance_kept_honest,balance_kept_attacker,balance_threshold_honest,balance_threshold_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,10,2.4111788129895197,0.7276905815601349,0.8504082674980163,nan,0.7399014926725819,0.0,1000.0,nan,nan,0,0,0,358,5.291604688090663,0.0,0.9071692164139852,0.0,0.93303178683404,0.0,222.15535711473035,0.0,3039.283888759417,0.0,222.15535711473035,0.0,0.9849357986484379,0.0,0.9849357986484379,0.0,11.548387096774194,0.0,10.202186473327561,0.0,0.9071692164139852,1.0351333631895197,0.93303178683404,0.9849357986484379,13.773632141113282,188.43560110308383
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,11,2.4111788129895197,0.7321933816671371,0.8254052096605301,nan,0.7990947226683299,0.0,1000.0,nan,nan,0,0,0,342,5.323292191823324,0.0,0.9796872604186683,0.0,0.9202691972255707,0.0,223.02467346191406,0.0,3262.5271014068776,0.0,223.02467346191406,0.0,0.9887752265738915,0.0,0.9887752265738915,0.0,11.4,0.0,10.229125838851745,0.0,0.9796872604186683,1.0531698324280045,0.9202691972255707,0.9887752265738915,13.381480407714843,195.75162608441264
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,12,2.4111788129895197,0.7362769799232483,0.8041390123367309,nan,0.784183089931806,0.0,1000.0,nan,nan,0,0,0,392,5.337161620457967,0.0,1.0487495829797655,0.0,0.8882506390412649,0.0,227.82050577799478,0.0,3525.268686976218,0.0,227.82050577799478,0.0,1.0099842893183901,0.0,1.0099842893183901,0.0,13.066666666666666,0.0,10.221648029788229,0.0,1.0487495829797655,1.0668963849121906,0.8882506390412649,1.0099842893183901,13.669230346679688,211.51612121857306
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,13,2.4114481422658627,0.7401405812501908,0.7853887825012207,nan,0.7679490546385447,0.0,1000.0,nan,nan,0,0,0,286,5.384427582776105,0.0,1.0984937660868364,0.0,0.8561169251247689,0.0,232.6696585196036,0.0,3767.515474585933,0.0,232.6696585196036,0.0,1.0308963643695124,0.0,1.0308963643695124,0.0,10.592592592592593,0.0,10.277854380461017,0.0,1.0984937660868364,1.0744557194777498,0.8561169251247689,1.0308963643695124,12.564161560058594,203.44583562764043
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,14,2.4114481422658627,0.7435311813354493,0.7691435521841049,nan,0.773062033785714,0.0,1000.0,nan,nan,0,0,0,120,5.37803758515252,0.0,1.1531120432299795,0.0,0.9331284198496077,0.0,215.26746283637152,0.0,3726.138454662405,0.0,215.26746283637152,0.0,0.9538304097237904,0.0,0.9538304097237904,0.0,6.666666666666667,0.0,10.231495194135682,0.0,1.1531120432299795,1.0798651158958434,0.9331284198496077,0.9538304097237904,7.749628662109375,134.14098436784656
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,15,2.428210224755968,0.7463033810853958,0.7551172051429749,nan,0.8435917017252549,0.0,1000.0,nan,nan,0,0,0,200,5.402377481045931,0.0,1.1988882058775705,0.0,0.8667100940061652,0.0,226.72353595236072,0.0,4066.8684304260078,0.0,226.72353595236072,0.0,1.0051379783511984,0.0,1.0051379783511984,0.0,8.695652173913043,0.0,10.24359854381687,0.0,1.1988882058775705,1.0833505896493227,0.8667100940061652,1.0051379783511984,10.429282653808594,187.07594779959638
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,16,2.4517629332260946,0.7491547801494598,0.7423957269191742,nan,0.9895230109492937,0.0,1000.0,nan,nan,0,0,0,234,5.419714570045471,0.0,1.2277770904856753,0.0,0.8647964919606844,0.0,225.14564069112143,0.0,4191.825006914838,0.0,225.14564069112143,0.0,0.9988126425652456,0.0,0.9988126425652456,0.0,9.75,0.0,10.242274003431051,0.0,1.2277770904856753,1.087474480121655,0.8647964919606844,0.9988126425652456,10.806990753173828,201.20760033191223
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,17,2.478290074703557,0.7519179794788361,0.730630965590477,nan,0.7682893208482049,0.0,1000.0,nan,nan,0,0,0,178,5.429499647834084,0.0,1.2789666941822098,0.0,0.8677650229497389,0.0,222.84119831431997,0.0,4281.324388153652,0.0,222.84119831431997,0.0,0.9882629579643546,0.0,0.9882629579643546,0.0,8.090909090909092,0.0,10.226620406876618,0.0,1.2789666941822098,1.088329190614086,0.8677650229497389,0.9882629579643546,9.805012725830078,188.37827307876066
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,18,2.5079486589668023,0.7542469811439514,0.7207334723472595,nan,0.8593675118425618,0.0,1000.0,nan,nan,0,0,0,222,5.459561721138332,0.0,1.3213125879837537,0.0,0.8414539992809296,0.0,226.18378149944803,0.0,4558.492695527823,0.0,226.18378149944803,0.0,1.0031707875856342,0.0,1.0031707875856342,0.0,9.652173913043478,0.0,10.249022784150222,0.0,1.3213125879837537,1.0884804997732527,0.8414539992809296,1.0031707875856342,10.40445394897461,209.69066399427987
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,19,2.540847004632836,0.7565423789024353,0.7111165241003037,nan,0.8430749015374617,0.0,1000.0,nan,nan,0,0,0,194,5.490189769051292,0.0,1.3732082581882394,0.0,0.8678320754658092,0.0,219.341777454723,0.0,4572.3344274594065,0.0,219.341777454723,0.0,0.9725189790058704,0.0,0.9725189790058704,0.0,8.818181818181818,0.0,10.272221756193213,0.0,1.3732082581882394,1.085837246641225,0.8678320754658092,0.9725189790058704,9.651038208007812,201.18271480821392
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,20,2.5902017163412694,0.7585959804058074,0.7026993463039398,nan,0.7106484600475856,0.0,1000.0,nan,nan,0,0,0,296,5.468841092927115,0.0,1.4322231146186113,0.0,0.8465780104909625,0.0,221.64558737618583,0.0,4679.633538042533,0.0,221.64558737618583,0.0,0.982881384417177,0.0,0.982881384417177,0.0,10.571428571428571,0.0,10.198227274185868,0.0,1.4322231146186113,1.0816626543930254,0.8465780104909625,0.982881384417177,12.412152893066406,262.0594781303818
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,21,2.61651991113298,0.7605449792146682,0.694952375292778,nan,0.7574111067113423,0.0,1000.0,nan,nan,0,0,0,160,5.494167237054734,0.0,1.4652910566657875,0.0,0.7899722456932068,0.0,230.75006539481026,0.0,5063.041725055156,0.0,230.75006539481026,0.0,1.0229016021781139,0.0,1.0229016021781139,0.0,7.619047619047619,0.0,10.21136049354117,0.0,1.4652910566657875,1.0787653031455515,0.7899722456932068,1.0229016021781139,9.691502746582032,212.64775245231658
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,22,2.65923430233491,0.7624189811944961,0.687536615729332,nan,0.9416300271238599,0.0,1000.0,nan,nan,0,0,0,300,5.545444130897522,0.0,1.500158979464487,0.0,0.7803529373237065,0.0,230.59204374040877,0.0,5123.366194411165,0.0,230.59204374040877,0.0,1.0228179600845793,0.0,1.0228179600845793,0.0,10.714285714285714,0.0,10.272364459942546,0.0,1.500158979464487,1.0763642109504272,0.7803529373237065,1.0228179600845793,12.91315444946289,286.9085068870253
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,23,2.705078380872678,0.7641755803823471,0.6811536601781845,nan,0.8494279029823485,0.0,1000.0,nan,nan,0,0,0,152,5.560755071185884,0.0,1.5510480510962512,0.0,0.8472864514305478,0.0,216.20027596609933,0.0,5001.487202611335,0.0,216.20027596609933,0.0,0.9589836726110225,0.0,0.9589836726110225,0.0,7.238095238095238,0.0,10.26644780892814,0.0,1.5510480510962512,1.0699880577454128,0.8472864514305478,0.9589836726110225,9.080411590576173,210.06246250967607
