algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,trust_honest,trust_attacker,nsr_honest,nsr_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,65,5.435494057709865,0.6263349826385578,88992295252132.11,0.05579865079252614,0.49544255827602585,19701255.8,1000.0,0.16611721611721614,0.03312961318310322,1492,853,29142,61,0.9162317719355642,0.0,206.38598070646586,0.0,3.238295142240871,0.0,206.38598070646586,0.0,0.9162317719355642,0.0,0.24492063201767833,0.0,3334.6693284126413,0.0,3.238295142240871,1.045339217666172,0.24492063201767833,0.9162317719355642,13.071112111409505,211.1957241328006
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,66,5.435494057709865,0.6197036509712537,971204120647091.0,0.17417116308879932,0.6723986210417934,75258452.0,1000.0,0.2708874458874459,0.14264585221144033,4540,628,25914,64,0.8420805442862549,0.0,189.9346752166748,0.0,3.256910839763306,0.0,189.9346752166748,0.0,0.8420805442862549,0.0,0.37074901796586346,0.0,3872.3076888228425,0.0,3.256910839763306,1.057201880067749,0.37074901796586346,0.8420805442862549,10.129849344889323,206.52307673721828
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,67,5.435494057709865,0.6112009838223458,1.6305625085969866e+16,0.18449181116566282,0.7858200117945671,320365047.52,1000.0,0.298475135975136,0.14323531934164122,1895,649,28559,127,0.7673563437014622,0.0,173.07024536132812,0.0,3.3410732751519974,0.0,173.07024536132812,0.0,0.7673563437014622,0.0,0.5305724739097059,0.0,4453.726137930176,0.0,3.3410732751519974,1.0297022738608956,0.5305724739097059,0.7673563437014622,11.538016357421874,296.91507586201175
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,68,5.435494057709865,0.5943869846810897,3.300801529889071e+17,0.20242982329492806,0.9118238605913662,1214794011.52,1000.0,0.29863723267084613,0.17879925603608066,5414,926,25284,92,0.7994350201420662,0.0,180.3074202764602,0.0,3.384007794937904,0.0,180.3074202764602,0.0,0.7994350201420662,0.0,0.4308120058405967,0.0,4290.966629235908,0.0,3.384007794937904,1.0177805189105193,0.4308120058405967,0.7994350201420662,12.621519419352213,300.3676640465136
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,69,5.535000063865907,0.5985676498959461,2.146590011734864e+18,0.08637253729558432,0.5656343930297427,5184522147.84,1000.0,0.3145833333333333,0.04640725653656688,1793,328,28424,17,0.7883591237782546,0.0,177.99935234917535,0.0,3.4136555872883596,0.0,177.99935234917535,0.0,0.7883591237782546,0.0,0.4549009218398068,0.0,3516.0868999633344,0.0,3.4136555872883596,1.0171980791029125,0.4549009218398068,0.7883591237782546,5.3399805704752605,105.48260699890004
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,70,5.535000063865907,0.6063999841858944,2.100054589925642e+19,0.08115942028985507,0.8619086391991004,19658923898.88,1000.0,0.125,0.04713804713804714,6168,163,23879,22,0.8255384267380094,0.0,186.5920238494873,0.0,3.435781015616394,0.0,186.5920238494873,0.0,0.8255384267380094,0.0,0.33999135860358365,0.0,3589.597133926127,0.0,3.435781015616394,1.0178167454279294,0.33999135860358365,0.8255384267380094,4.975787302652995,95.72259023803005
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,71,5.535000063865907,0.6028086517751217,7.440662905843164e+20,0.23648963106294457,0.70548275122419,84370142085.12,1000.0,0.3611111111111111,0.28732917785529705,1671,317,28510,22,0.7695560254366491,0.0,173.30763092041016,0.0,3.457718120244394,0.0,173.30763092041016,0.0,0.7695560254366491,0.0,0.4347297712229192,0.0,4241.502928131527,0.0,3.457718120244394,1.0282466808287618,0.4347297712229192,0.7695560254366491,5.776921030680339,141.38343093771758
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,72,5.535000063865907,0.592872984384497,1.4925854108502316e+22,0.1830564486465997,1.1038555880387624,322309148999.68,1000.0,0.3520604395604396,0.09452769345263218,4976,584,25465,65,0.6982586699582964,0.0,157.68639729817707,0.0,3.516868214588414,0.0,157.68639729817707,0.0,0.6982586699582964,0.0,0.5723725281655788,0.0,4475.194968481122,0.0,3.516868214588414,1.0530048654388333,0.5723725281655788,0.6982586699582964,7.884319864908854,223.75974842405606
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,73,5.535000063865907,0.5814306506514549,3.733846624466541e+23,0.04114088359980523,0.8685444520786405,1381416517632.0,1000.0,0.08450854700854701,0.025581383612659048,2841,741,27677,83,0.7912460322741696,0.0,178.40219497680664,0.0,3.5591321770829185,0.0,178.40219497680664,0.0,0.7912460322741696,0.0,0.3595759361982346,0.0,3664.1109248676635,0.0,3.5591321770829185,1.058950729429075,0.3595759361982346,0.7912460322741696,11.893479665120443,244.2740616578443
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,74,5.535000063865907,0.5790933188796044,5.239269025604512e+24,0.1676145438352622,0.44991316969196,5245776615178.24,1000.0,0.3934731934731935,0.08744314689863587,6148,727,24398,47,0.8222246994917799,0.0,185.44136555989584,0.0,3.5988297158222524,0.0,185.44136555989584,0.0,0.8222246994917799,0.0,0.2938728133837382,0.0,1979.0386982220123,0.0,3.5988297158222524,1.0433414016198286,0.2938728133837382,0.8222246994917799,9.272068277994792,98.95193491110062
