algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,1.801313002016974,0.3799659892916679,2.0955998420715334,nan,0.5636371799877712,0.5638625544309616,1000.0,nan,nan,0,0,0,30800,1.0,1.0,1.0,1.0,1288.099957924811,1288.9794921870032,225.45499093191964,225.54495796203614,0.04203063671372939,1.8013130020169743,1.0,1.0,225.45499093191964,225.54495796203614,0.7457435828350274,0.8872339717300244,1.0,1.0,93.37435305786133,533.6251962857486
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,1.825748603615225,0.5538036535183589,1.8905380769570668,nan,0.6175006031990051,1.0205972015857696,1000.0,0.0,nan,0,17,0,31151,0.9972757118130754,1.0611274810234037,0.9972757118130754,1.0611274810234037,1244.460313145775,1333.6903992695195,224.70505905151367,239.40231185913086,0.12651903083634272,1.8226104967788062,0.9927015006542206,0.928208010494709,224.70505905151367,239.40231185913086,0.8049556172133281,0.9044421368654905,0.9329853060620802,1.056397720341157,102.95148663330077,573.2988897284725
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,1.8587363930243634,0.650318317214648,1.6800608110427857,nan,0.6193262497584026,1.5500242865085603,1000.0,0.0,nan,0,2,0,31304,0.9824535082533985,1.0157850997703135,0.9824535082533985,1.0157850997703135,1214.333425755514,1250.1047791602164,221.5888671875,229.0981859588623,0.21129499091427748,1.8551361817485807,0.9976996143658956,0.9636946800351143,221.5888671875,229.0981859588623,0.868831467247999,0.9226902878803956,0.966067117314006,1.0134596398970406,98.28694039916992,536.471914436752
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,1.8999179577265954,0.7094399817784627,1.4803069202105203,nan,0.5976694256067276,2.022473206520081,1000.0,0.0,nan,0,126,0,31256,0.9730229740856323,1.002636306303228,0.9730229740856323,1.002636306303228,1247.7673385929863,1236.7560609198417,219.52178115844725,226.21750030517578,0.32096593778987226,1.8933111788281531,0.9973440647125245,0.9668288722634315,219.52178115844725,226.21750030517578,0.9499040342051845,0.9388444419087393,0.9696029806678945,0.9999441851925378,99.26787136840821,544.6131179116561
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,1.9476385411151254,0.7506399838129679,1.3001197838783265,nan,0.5765019272054944,2.4732165610790253,1000.0,0.0,nan,0,1,0,31207,0.96252422756829,0.990131383872436,0.96252422756829,0.990131383872436,1302.483699632385,1242.1452020707447,216.89076450892858,223.48192489624023,0.400621931926233,1.9385622595284344,0.9981944135257176,0.9694605877995491,216.89076450892858,223.48192489624023,1.0157980629671135,0.9534777875394711,0.9713403707909807,0.9883253082263703,95.4657113647461,533.3276244180047
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,2.0068148491743694,0.7791256469488144,1.1461238296826681,nan,0.8088227311770121,2.894943438768387,1000.0,0.0,nan,0,2,0,30864,0.9643501271824336,0.980678210517427,0.9643501271824336,0.980678210517427,1397.4578478730973,1269.939686512607,217.4638417561849,221.27893180847167,0.4321271310976005,1.9908015335995999,0.9862065845065646,0.9690413424372673,217.4638417561849,221.27893180847167,1.0555968920984002,0.9718665331569115,0.9697805155407299,0.9799750873116138,92.425921875,533.1301158667586
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,2.068048636635035,0.7993749801317851,1.0197083121538162,nan,0.6790088574091594,3.282575775384903,1000.0,0.0,nan,0,38,0,31134,0.9640065022162487,0.974804455969483,0.9640065022162487,0.974804455969483,1552.7170568353356,1311.2848731460704,217.69206848144532,219.91089530944825,0.5010578091637735,2.0484327368236355,0.9763826648394267,0.9649170029163361,217.69206848144532,219.91089530944825,1.1200077802277182,0.9875540515375578,0.965716932817947,0.9740511103587923,94.49512017822266,571.0954609634882
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,2.1444104461133047,0.8137533140182495,0.9188337157169978,nan,0.6198038425710466,3.6389191949367525,1000.0,0.0,nan,0,95,0,30953,0.9549542019158773,0.9709068144742028,0.9549542019158773,0.9709068144742028,1717.6035522132083,1342.6011450689134,215.5226821899414,219.01135925292968,0.5896953602682486,2.1101227922613233,0.9758038057221307,0.9586944982409478,215.5226821899414,219.01135925292968,1.1978663330654784,0.9992311984333122,0.9601071933540729,0.9695896262813137,95.36336026000977,598.874185907241
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,2.2330108034119545,0.8240279787778855,0.8392609916130702,nan,0.7259213017380756,3.97866472363472,1000.0,0.0,nan,0,127,0,31787,0.9648027956769463,0.9654241075420543,0.9648027956769463,0.9654241075420543,1923.8038560541543,1323.6328948457783,217.72777855914572,217.6970704650879,0.6747251655164109,2.1782587146214754,0.9548416085865187,0.9541685494780541,217.72777855914572,217.6970704650879,1.2761385851584368,1.0108468390064531,0.9542379681304965,0.9653600260492405,97.09430599975586,617.9481353168024
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,2.3388305353158705,0.831934645374616,0.7756707670291265,nan,0.7717195616828071,4.299178016185761,1000.0,0.0,nan,0,40,0,31698,0.9777644282797959,0.9595615620498489,0.9777644282797959,0.9595615620498489,2165.7943409517475,1253.14520821948,220.41011725531683,216.41481384277344,0.7282063508418202,2.2548982075392674,0.9301553070545197,0.9500724151730537,220.41011725531683,216.41481384277344,1.338883093520799,1.0286101724519403,0.9484278833100556,0.9610645510046152,94.50068975830078,579.2266795620551
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,10,2.4647270214884465,0.8381066459417343,0.7248687388499578,nan,0.7684316384164911,4.615914323329926,1000.0,0.0,nan,0,48,0,31986,0.9282058592508176,0.9507633646165456,0.9282058592508176,0.9507633646165456,2258.9220046190107,1150.0686595796378,209.51570290013365,214.41844612121582,0.8157174010286444,2.34598022586005,0.9741738783685785,0.9492439794540405,209.51570290013365,214.41844612121582,1.4278225309612067,1.0420771410777447,0.9514068473963977,0.9488063207720304,93.72897515869141,545.8665000073777
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,11,2.5360926715950654,0.8433553123474121,0.6833761199315389,nan,0.8794898125860426,4.921644060611725,1000.0,0.0,nan,0,4,0,31676,0.9339643998740653,0.9410824395362809,0.9339643998740653,0.9410824395362809,2492.6965302432636,1037.7232967962439,210.6845711602105,212.2981679534912,0.8726468108705441,2.453294164771398,0.9574360218313005,0.9494903102517128,210.6845711602105,212.2981679534912,1.5049057524308858,1.0671732305106014,0.9501463781803026,0.9404947114907768,92.50391174316407,504.8263938072551
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,12,2.579350508492304,0.8475653131802877,0.6491395688056946,nan,0.9055332812395963,5.196846139431,1000.0,0.0,nan,0,12,0,30688,0.9332575029052509,0.9339951451359757,0.9332575029052509,0.9339951451359757,2687.8935261318243,938.9076269180689,210.3090293190696,210.62038055419922,0.9088120426083622,2.5358577559634967,0.9477551037614996,0.9469234144687653,210.3090293190696,210.62038055419922,1.5596303279504162,1.087181886215872,0.9469667726783391,0.9339566898538053,88.87495086669922,434.69670834212764
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,13,2.6245158528411827,0.8510159772634506,0.62062799791495,nan,0.8661578297615051,5.451121633052826,1000.0,0.0,nan,0,103,0,30873,0.9437984591667518,0.9277148743949409,0.9437984591667518,0.9277148743949409,2928.544576591538,853.7618595686039,212.81298738367417,209.36268173217775,0.9550405092490818,2.5816145148662972,0.9251755265628591,0.9434919694066047,212.81298738367417,209.36268173217775,1.6056701114959677,1.0922468178652938,0.9420570407045602,0.9289748787319031,90.98071426391601,441.0752594315538
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,14,2.678259665027121,0.8543559781710307,0.5961221319437027,nan,0.950057221783532,5.679799592494964,1000.0,0.0,nan,0,3,0,30629,0.9207318651468168,0.922899852800573,0.9207318651468168,0.922899852800573,3084.8699036776857,783.4008361808951,208.1606699625651,208.13984367370605,0.9860152268594391,2.621182861119209,0.9409062597486708,0.9384124803543091,208.1606699625651,208.13984367370605,1.640082280563347,1.0982609857640546,0.9385198679837313,0.9228064944805549,87.00282952880859,368.8879927385564
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,15,2.7355232209996685,0.8570676453908285,0.5754059531291326,nan,0.9270838592201471,5.893068902492523,1000.0,0.0,nan,0,52,0,31198,0.9340163223374278,0.9180626979678307,0.9340163223374278,0.9180626979678307,3313.894406023356,725.8124867464305,210.3263454437256,207.1030595397949,1.035494090645205,2.6614974629352104,0.9148278534412384,0.9333633205294609,210.3263454437256,207.1030595397949,1.6858954395612076,1.1004499386377993,0.9319903229673704,0.9192444479211341,89.57166687011718,396.3696156913196
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,16,2.7846994157542997,0.8594749782482783,0.5572515255212784,nan,1.0169441564516588,6.073752248287201,1000.0,0.0,nan,0,5,0,30997,0.912630863451615,0.9155452852455126,0.912630863451615,0.9155452852455126,3453.999891838379,680.707312193035,206.10928483442828,206.54291442871093,1.062164336389099,2.7035639640021065,0.9290177605368874,0.9255976548790932,206.10928483442828,206.54291442871093,1.718724187434302,1.1091487377972407,0.925775954226182,0.9153933485643142,87.1515700378418,348.27092249765843
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,17,2.8176580320009887,0.8615353111426035,0.5415916726986567,nan,0.7655516769737005,6.231856918334961,1000.0,0.0,nan,0,74,0,30980,0.919711166560964,0.9138944963870269,0.919711166560964,0.9138944963870269,3671.081495982098,642.4019434429126,207.61681842803955,206.15604026794435,1.127751561641611,2.7471038691080834,0.9098618924617767,0.9167564198374748,207.61681842803955,206.15604026794435,1.7754924846281996,1.1057680410447552,0.9162457141059416,0.9143253608443556,89.106154296875,374.43538524859224
