algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,noise_norm_honest,noise_norm_attacker,balance_threshold_honest,balance_threshold_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,nsr_honest,nsr_attacker,balance_local_norm_honest,balance_local_norm_attacker,sigma_n_honest,sigma_n_attacker,balance_kept_honest,balance_kept_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.3800186559557915,2.095591790676117,nan,0.5636371799877712,0.5638625544309616,1000.0,nan,nan,0,0,0,30800,225.45499093191964,225.54495796203614,9.901476044941065,9.901447923900088,0.04447437226608758,1.9060445256894676,1.0,1.0,225.45499093191964,225.54495796203614,1288.099957924811,1288.9794921870032,4.983853203909738,4.983839049339294,1.0,1.0,65.85714285714286,151.695,1.0,1.0,0.7891024336354395,0.9388193239754351,1.0,1.0,93.37435305786133,533.6251962857486
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,1.9763242469400175,0.5540343201160431,1.8904570102691651,nan,0.6175785288214684,1.0229713463783263,1000.0,nan,nan,0,0,0,31168,224.68939113616943,238.919896774292,9.870525608199806,9.883771327937588,0.1351748919152973,1.962070054617453,0.9927724450826645,0.9303673622012139,224.68939113616943,238.919896774292,1245.0287333066929,1332.8565409353466,5.001506954431534,5.008218710422516,0.9972054732934891,1.0589896152253724,43.625,152.35,0.9972054732934891,1.0589896152253724,0.8659329569961596,0.9729797393738147,0.9349899609331731,1.054413012119307,102.75801922607423,572.9835358399528
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,2.096731787425664,0.6505336503187815,1.6799152608712513,nan,0.6197285334269206,1.5577172583341599,1000.0,nan,nan,0,0,0,31306,221.5334930419922,228.0407559967041,9.862402167818335,9.976287994092415,0.2273841004467654,2.0807086046068464,0.997949731349945,0.9684778732061387,221.5334930419922,228.0407559967041,1215.1379252137535,1254.694904403597,5.030817953745524,5.088911190032959,0.9822083439174617,1.0110966201699056,50.13333333333333,152.77,0.9822083439174617,1.0110966201699056,0.9687139021107978,1.0292389436748866,0.9705340493557065,1.0090811590360143,97.8623071899414,538.3320995178515
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,2.2608254008138156,0.7096036469936371,1.4801250322659811,nan,0.5978783577680588,2.0367329716682434,1000.0,nan,nan,0,0,0,31382,219.47941360473632,224.72496017456055,9.857309383955323,10.320504376341551,0.34880187432893467,2.235800392008872,0.9975377500057221,0.9736455011367798,219.47941360473632,224.72496017456055,1247.667068249697,1260.7643627433256,5.061853575706482,5.299710087776184,0.9728350130579348,0.9960211392592293,42.2,152.69,0.9728350130579348,0.9960211392592293,1.1036012814009097,1.093202218724469,0.9758175237612291,0.9939133096045665,98.66916061401368,554.2124278273182
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,2.4270918274893867,0.7507553160190582,1.2999800376097361,nan,0.5765125964369092,2.491774550676346,1000.0,nan,nan,0,0,0,31208,216.88858795166016,221.90452995300294,9.864989386506595,11.067745313611463,0.4382570143695013,2.418615853482891,0.9982044526508876,0.9767349940538407,216.88858795166016,221.90452995300294,1302.7965898091643,1295.4451806223578,5.09968216078622,5.721443898677826,0.9625145820828485,0.9831422111672091,49.357142857142854,152.585,0.9625145820828485,0.9831422111672091,1.2304005500148572,1.1620260294529192,0.9781395380742082,0.9817927401056155,94.83469244384766,554.6563767635997
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,2.477085756605018,0.7791783128182094,1.1459172042210897,nan,0.8101752797762553,2.9199251627922056,1000.0,nan,nan,0,0,0,30866,217.22472974989148,219.4843238067627,9.900727060830677,12.332807729255379,0.4760863937711087,2.4691357926108957,0.9873206814130148,0.9774032536149025,217.22472974989148,219.4843238067627,1398.5337038746084,1358.3179640817473,5.152391698625353,6.41805958032608,0.9632903654232732,0.9727241145601988,55.333333333333336,151.84,0.9632903654232732,0.9727241145601988,1.2733061533070233,1.1802836511212769,0.9778303198837207,0.9723178765590874,91.70377465820313,568.5007923024419
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,2.5328536847052807,0.799562646150589,1.019496167699496,nan,0.6792062997817994,3.318757303953171,1000.0,nan,nan,0,0,0,31172,217.6619893391927,217.65121795654298,9.902659520455533,14.155969453201909,0.5568556759113349,2.5217252012550304,0.9765238801638285,0.9755523574352264,217.6619893391927,217.65121795654298,1552.6275821557256,1445.6450796777685,5.187868118286133,7.416119120121002,0.9638735106321284,0.9647884562814971,45.93333333333333,152.415,0.9638735106321284,0.9647884562814971,1.3428034860488134,1.1928415652678857,0.9756201380907104,0.9647246228640992,93.59034686279297,624.8368593357791
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,2.595264920039434,0.8138553124666214,0.9186337055762609,nan,0.6199517349402109,3.687936794757843,1000.0,nan,nan,0,0,0,31048,215.49283599853516,216.2953742980957,9.908274540104578,16.510099210306674,0.6615882715415947,2.5785351163917745,0.975944976011912,0.9716085493564606,215.49283599853516,216.2953742980957,1717.6060568293317,1548.7622970498694,5.225530756844415,8.707270965576171,0.9548225756101307,0.9588658330241492,36.94444444444444,151.915,0.9548225756101307,0.9588658330241492,1.4283670094816667,1.201073742634736,0.9719666029335162,0.9585319860817073,94.27589181518555,681.3387368658036
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,2.6658845471939765,0.8241563129425049,0.8389564945300421,nan,0.7266884368398915,4.033287425041198,1000.0,nan,nan,0,0,0,31914,217.58834838867188,214.97055725097655,9.92371335539288,19.334028772347175,0.7657015375118879,2.6398206878072505,0.9555122515429622,0.9672678950428962,217.58834838867188,214.97055725097655,1924.4161045181738,1641.9822925430153,5.268680759098219,10.264789171218872,0.9641837142012643,0.9533318875241812,49.608695652173914,153.865,0.9641837142012643,0.9533318875241812,1.5153491976300328,1.2099207645646939,0.9660554295698089,0.9544511342218175,95.99728692626954,745.3160578250422
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,2.745099442494697,0.8320853122075399,0.7753113257884979,nan,0.7723836998144785,4.343128602504731,1000.0,nan,nan,0,0,0,31738,220.3144031100803,214.4139256286621,9.92824624305401,22.56312333387697,0.8318456889603574,2.703911283443,0.9306213061014811,0.9597821819782257,220.3144031100803,214.4139256286621,2167.3391974604615,1714.4581129387097,5.306345330344306,12.059302439689636,0.9773385372184712,0.950687503364891,54.94444444444444,153.745,0.9773385372184712,0.950687503364891,1.5806719267534146,1.2231696586446452,0.9573744032361092,0.9528880474445444,93.69688876342774,763.8074562840604
