algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_n_honest,sigma_n_attacker,balance_threshold_honest,balance_threshold_attacker,balance_local_norm_honest,balance_local_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,balance_kept_honest,balance_kept_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,10,2.81608616454453,0.838240229934454,0.7246023245155812,nan,0.766633448501428,4.639820117950439,1000.0,nan,nan,0,0,0,11542,0.9369844743606882,0.9466032354714443,9.9536471047863,26.15846131125987,5.35550594329834,14.074418506622315,211.41581281026205,213.50501007080078,211.41581281026205,213.50501007080078,2284.9989429599896,1752.7817566306226,0.9369844743606882,0.9466032354714443,38.75,106.12,0.9530158981839282,2.7714661411318375,0.9644720082481703,0.9538416332006454,1.31670594677351,1.2060188066205677,0.9558991251453277,0.9447415397725882,52.84896102905273,460.23630058820396
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,11,2.924851740038634,0.8436362302303314,0.6828307712078094,nan,0.8525136585036913,4.916648125648498,1000.0,nan,nan,0,0,0,11890,0.9452226524837032,0.9422301846792004,9.967440723454276,30.021311597672096,5.398799816767375,16.26084930419922,213.1418317159017,212.61238571166993,213.1418317159017,212.61238571166993,2529.2178564098526,1743.9294092774578,0.9452226524837032,0.9422301846792004,45.708333333333336,107.93,1.0231627017924314,2.8448492052686225,0.9448686813314756,0.9482091075181961,1.3875000024876694,1.219541827855912,0.9475625734175405,0.942809371996201,52.753285064697266,470.1883389631645
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,12,3.0338844501288516,0.847906228452921,0.6485757486522198,nan,0.7745190871798474,5.17449384689331,1000.0,nan,nan,0,0,0,12078,0.9437609177988229,0.937890943615235,9.927560510377,34.13544927422297,5.4131667095681895,18.612918796539308,212.83507239300272,211.64708648681642,212.83507239300272,211.64708648681642,2759.6522541390977,1702.358435275134,0.9437609177988229,0.937890943615235,52.08695652173913,108.8,1.0994731942295426,2.92348205194093,0.9359125365381655,0.9425309139490128,1.46427496577182,1.2301988849538414,0.9412933311811308,0.9389885810641987,52.11983062744141,467.41569074542537
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,13,3.142983617463576,0.8514447270333767,0.6198575550317764,nan,0.8854719012975693,5.448409509658814,1000.0,nan,nan,0,0,0,10552,0.9339261702299926,0.9284099454710851,9.999462964578429,38.46614669143344,5.488843297958374,21.114599075317383,210.5756965637207,209.42804824829102,210.5756965637207,209.42804824829102,2914.5755583243727,1626.631751132443,0.9339261702299926,0.9284099454710851,21.7,101.18,1.1460371558849376,3.0140787500905395,0.9364183694124222,0.9427004027366638,1.5196454747260582,1.2464931001096844,0.9416533971826235,0.9293293162642363,50.30863751220703,441.9093725594635
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,14,3.286882978539558,0.8547357292473317,0.5954122103750705,nan,0.8560757637023926,5.686342744827271,1000.0,nan,nan,0,0,0,10898,0.9139612054689293,0.922240667827468,9.916170000684351,43.01688696403713,5.47953135172526,23.770506229400635,206.33324584960937,208.0038233947754,206.33324584960937,208.0038233947754,3057.3437139954544,1535.5750639366306,0.9139612054689293,0.922240667827468,36.2,103.55,1.1992653617033406,3.11402159023701,0.948694372177124,0.9391707235574722,1.5822166074100745,1.262552100581268,0.9404129385948181,0.9211607379546151,47.79076205444336,398.83532420718984
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,15,3.451024918447998,0.8575569765269756,0.5744968177378178,nan,0.8921158356325967,5.910443096160889,1000.0,nan,nan,0,0,0,10968,0.9280493727978458,0.915970105363124,9.902240318861782,47.74077421004499,5.508434772491455,26.55731756210327,209.39981369745163,206.5161454772949,209.39981369745163,206.5161454772949,3330.336412444514,1430.2100245356373,0.9280493727978458,0.915970105363124,29.666666666666668,103.45,1.2538450739076945,3.2258407153431135,0.9217604597409567,0.9357945662736893,1.648244202194778,1.2807360105204355,0.9333588948919753,0.9180665071493154,50.09802127075195,425.9161342297971
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,16,3.5048096931921906,0.859946478009224,0.5563835212588311,nan,1.07316242903471,6.106093416213989,1000.0,nan,nan,0,0,0,11810,0.9209628038229377,0.9116247004709552,9.889249774186805,52.61767600009928,5.538005614280701,29.46603551864624,207.60526504516602,205.60855194091798,207.60526504516602,205.60855194091798,3510.8477037275434,1347.0473014624176,0.9209628038229377,0.9116247004709552,51.55,107.79,1.288903476156662,3.344163889606267,0.9192401379346847,0.9301985037326813,1.6999555588465831,1.307522937032318,0.9283721094330152,0.913181051029619,49.42592098999023,409.84336844158526
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,17,3.5422008291002567,0.8620434781908989,0.5407150894403457,nan,0.7900350391864777,6.277918767929077,1000.0,nan,nan,0,0,0,10802,0.912744278873988,0.9084532916977299,9.846906534971698,57.61325110626643,5.551178057988484,32.47937961578369,206.09276326497397,204.8546534729004,206.09276326497397,204.8546534729004,3664.5724988673264,1259.4354706235038,0.912744278873988,0.9084532916977299,28.88888888888889,102.82,1.3501590619589885,3.445065240547168,0.9181197782357534,0.9232059061527252,1.7691402976766246,1.3185808043840008,0.9224300561314922,0.9091078490636003,48.39027017211914,383.8117040839245
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,18,3.5839721278891705,0.8640314769744873,0.5268784864246845,nan,0.92852102574848,6.482128806114197,1000.0,nan,nan,0,0,0,11156,0.9367841189587225,0.8997252281637875,9.84998702217411,62.70508102378189,5.590057781764439,35.586343955993655,211.41878037225632,202.91581192016602,211.41878037225632,202.91581192016602,3932.4135517816053,1185.181132442749,0.9367841189587225,0.8997252281637875,34.476190476190474,104.32,1.4012757537191218,3.5168834560573026,0.8784657872858501,0.9228333348035812,1.8243972941867581,1.32499796389796,0.9151331819286032,0.9061569364835697,49.46275115966797,402.1975956633771
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,19,3.635323851832486,0.8656124795973301,0.5147183866053819,nan,0.9377525746822357,6.641760010719299,1000.0,nan,nan,0,0,0,11270,0.8959605184927038,0.8949743989751786,9.849529494073332,67.91345543353016,5.627187940809462,38.800003356933594,202.00239902072482,201.81685409545898,202.00239902072482,201.81685409545898,3924.4269325052364,1119.390368669765,0.8959605184927038,0.8949743989751786,41.72222222222222,105.19,1.4524552386730805,3.566530398595995,0.9165601034959158,0.9177525681257248,1.8752702706576634,1.3248493727873043,0.9175706667415167,0.8951248239863263,47.63545718383789,365.1574433041415
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,20,3.6839250492204894,0.8671639788150788,0.5038087229430676,nan,0.7856798564845865,6.813458561897278,1000.0,nan,nan,0,0,0,11266,0.8966065029335577,0.8875969452534522,9.751593255069976,73.19562259881174,5.608501109209928,42.09750343322754,202.30967504327947,200.28559143066406,202.30967504327947,200.28559143066406,4143.661362976749,1052.151414409482,0.8966065029335577,0.8875969452534522,35.40909090909091,104.87,1.513643272547655,3.6097276240544844,0.9048823443326083,0.9158866429328918,1.9328601428490213,1.3205021770719418,0.9139022612180866,0.8892216195892092,48.95874398803711,392.7513828528734
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,21,3.7366441417674157,0.8685752277076244,0.4939940232038498,nan,0.8885559995969137,6.941736817359924,1000.0,nan,nan,0,0,0,10734,0.9017745581363932,0.8838179122230307,9.737287136746511,78.55905722972062,5.637733014424642,45.48443363189697,203.07676696777344,199.28015411376953,203.07676696777344,199.28015411376953,4300.646591775996,1002.9235061631367,0.9017745581363932,0.8838179122230307,30.666666666666668,102.74,1.5473116886789062,3.6509358500768143,0.8875005125999451,0.9096532326936722,1.968036520958488,1.3234009627879,0.9067637474640556,0.8861600834291214,45.94833383178711,329.6040989859072
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,22,3.7942979287937026,0.8699027293920517,0.4851959816366434,nan,1.016106983889704,7.062583155632019,1000.0,nan,nan,0,0,0,11346,0.9033780332919604,0.8796688062704816,9.781428765804405,83.96423717395328,5.701171709143597,48.93912178039551,203.67623635996944,198.4425996398926,203.67623635996944,198.4425996398926,4452.0136152508485,959.9449884120781,0.9033780332919604,0.8796688062704816,36.04347826086956,105.17,1.5993277376586525,3.694209171094357,0.8743216537910959,0.9038651698827743,2.0183040243457935,1.322986339905624,0.8983407725648183,0.8841022389655548,49.05762680053711,396.78162398395466
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,23,3.853805786393691,0.8710044796764851,0.47721648089587687,nan,0.9434470799234178,7.137818117141723,1000.0,nan,nan,0,0,0,10944,0.8852177376711949,0.8790270023784943,9.75211084537074,89.40014667475633,5.722104046079847,52.45602199554443,199.73632642957898,198.34861404418945,199.73632642957898,198.34861404418945,4553.744779611847,925.9577086604555,0.8852177376711949,0.8790270023784943,32.22222222222222,103.64,1.6575183370139883,3.7380428571140527,0.8858649465772841,0.8936566060781479,2.073623241034001,1.318487268078832,0.8924680478492025,0.879971351829923,46.86023056030273,349.1263537981176
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,24,3.914169945937571,0.8719724786281585,0.47015768751502035,nan,0.9404006490581914,7.2356578063964845,1000.0,nan,nan,0,0,0,11032,0.8894921025734019,0.8750448702347922,9.71356582705302,94.82828790048474,5.737611067922492,56.013192672729495,200.52705704538445,197.47748245239256,200.52705704538445,197.47748245239256,4761.84690674845,894.2633566438428,0.8894921025734019,0.8750448702347922,33.36842105263158,103.98,1.7094719828700686,3.783743043801254,0.869233920385963,0.8875999522209167,2.124326195056306,1.3162328307834414,0.8846675605834031,0.8773515711964187,47.11552465820313,359.8028537852096
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,25,3.967641992702662,0.8730369792878627,0.46351592160761357,nan,0.7520250082015991,7.331804580688477,1000.0,nan,nan,0,0,0,10794,0.8327030320144315,0.870337979694294,9.600955375624958,100.26550807962512,5.709027903420584,59.62100238800049,187.76976231166296,196.2684701538086,187.76976231166296,196.2684701538086,4560.349599887418,862.7611495855854,0.8327030320144315,0.870337979694294,34.642857142857146,103.09,1.7701677513752625,3.8324630825845714,0.9307881423405239,0.8824639129638672,2.182626817617124,1.3112471929107499,0.8883984674487198,0.8657161440143109,44.51124737548828,300.24201871396485
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,26,4.032504830573144,0.8738989789783954,0.457410878688097,nan,0.859325680662604,7.403616662025452,1000.0,nan,nan,0,0,0,10426,0.9142618284836987,0.8670959885891514,9.643001883138208,105.70968027551636,5.7723846435546875,63.27873233795166,206.52943330652573,195.58252563476563,206.52943330652573,195.58252563476563,5129.21480377073,836.6475357878037,0.9142618284836987,0.8670959885891514,19.647058823529413,100.92,1.8167011408165183,3.8827733426825186,0.8142663275494295,0.8754371243715287,2.2299155811897187,1.3105310649587067,0.8665490598760099,0.8739491448131456,46.138505859375,341.7228104857656
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,27,4.102115693568239,0.8746529777348041,0.45209768049418925,nan,0.9076265848201254,7.475363669395446,1000.0,nan,nan,0,0,0,10700,0.8797791315656361,0.8630795367772116,9.554192516118546,111.14012802190369,5.757478112759798,66.97445686340332,198.35825712784478,194.73351150512696,198.35825712784478,194.73351150512696,5080.526706322308,809.8242774978448,0.8797791315656361,0.8630795367772116,23.782608695652176,101.53,1.8749640329552415,3.935682260510009,0.8475206131520479,0.8693964886665344,2.287107678466195,1.3073648239917302,0.8653058777979719,0.8662022252335837,48.07118212890625,395.66908399039517
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,28,4.166913376870167,0.875457979440689,0.44694710947573185,nan,0.8400916147690553,7.473273358345032,1000.0,nan,nan,0,0,0,11646,0.8663856201372828,0.8647582514745707,9.530400988126072,116.55451021253668,5.781556551273052,70.7070450592041,195.39472198486328,194.9796987915039,195.39472198486328,194.9796987915039,5136.667762470048,797.69026454456,0.8663856201372828,0.8647582514745707,38.88461538461539,106.35,1.9462387153613372,3.9894060202768924,0.8536593570159032,0.8558125770092011,2.3548721763444482,1.3016476108595096,0.8553682617724888,0.865094057706559,49.15646530151367,426.6447765573545
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,29,4.253885797979215,0.8761757276952267,0.44221016883850095,nan,0.815103809038798,7.52136775970459,1000.0,nan,nan,0,0,0,10784,0.8777565367081042,0.861303635412746,9.447890639784495,121.88942198447985,5.769839843114217,74.43803810119628,198.252444797092,194.27386764526366,198.252444797092,194.27386764526366,5388.489212352505,773.134510675687,0.8777565367081042,0.861303635412746,28.27777777777778,102.75,1.9814854695390458,4.045189623293074,0.8269420365492502,0.8489301460981369,2.3942263002898514,1.3070377719815613,0.8455760276923745,0.8638134000171226,45.991861541748044,348.6125137798276
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,30,4.333717374498202,0.8767899782955646,0.437960107550025,nan,0.9197426197620538,7.5861728525161745,1000.0,nan,nan,0,0,0,11106,0.864345842919476,0.8558734879068376,9.478607879456247,127.19079170956088,5.827318484966572,78.19515914916992,194.90948310265173,193.2143359375,194.90948310265173,193.2143359375,5310.781265422886,763.0476040474907,0.864345842919476,0.8558734879068376,29.115384615384617,103.49,2.0488263759417715,4.104483255622519,0.8332551511434408,0.8446916341781616,2.4599577518779205,1.3028310811132675,0.8423317249805208,0.8576217516396042,48.77816030883789,428.77014661148826
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,31,4.428099530201111,0.8772879782319069,0.4340087898075581,nan,1.1717648646410774,7.583936109542846,1000.0,nan,nan,0,0,0,10838,0.8431640666114695,0.8553556819199508,9.521034651118766,132.46955000635057,5.892554928274715,81.98521781921387,190.28728260713464,192.91177841186524,190.28728260713464,192.91177841186524,5346.597385052459,743.6909111954036,0.8431640666114695,0.8553556819199508,31.0,103.11,2.079847599548898,4.163608748804633,0.8504089362481061,0.8337865817546845,2.4965998294000458,1.3114402821782691,0.8362017956554381,0.8535842506358126,45.052123291015626,330.52249333086434
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,32,4.519590576853202,0.8778914776444435,0.43030639812350274,nan,0.9907426789402962,7.59332317352295,1000.0,nan,nan,0,0,0,11440,0.8404218523185213,0.8532776731216984,9.439272395615319,137.67205215560412,5.881028842926026,85.77497032165527,189.6368278503418,192.45022994995117,189.6368278503418,192.45022994995117,5407.64510712809,735.9863415189368,0.8404218523185213,0.8532776731216984,42.45,105.91,2.1380895070183357,4.225157270588285,0.842631733417511,0.824927625656128,2.5555030597323256,1.3086997419751867,0.827878310283025,0.8511350363211689,46.07551910400391,363.5030725889109
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,33,4.5886387977197955,0.8783482286334038,0.42697727963328364,nan,1.150579830010732,7.6013536596298215,1000.0,nan,nan,0,0,0,10802,0.8236790376909201,0.8507813988327757,9.48252979775733,142.8065574270413,5.947497977150811,89.5691054534912,185.5680686102973,191.929619140625,185.5680686102973,191.929619140625,5455.474997586821,721.4925688300839,0.8236790376909201,0.8507813988327757,28.88888888888889,102.82,2.1778539838357984,4.2915883079217965,0.8542887104882134,0.8165901899337769,2.6006008486529977,1.3144975767649518,0.8223408117132672,0.8466471403535096,45.0663742980957,340.6956136791423
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,34,4.699642697373776,0.8788762265443801,0.42384733133018015,nan,1.1581041545703494,7.535897450447083,1000.0,nan,nan,0,0,0,11926,0.8412467615055221,0.8533775832570809,9.515235048792606,147.87554749348368,6.007930558303307,93.3687939453125,190.02063724912446,192.4246696472168,190.02063724912446,192.4246696472168,5619.838408981553,710.1759685090417,0.8412467615055221,0.8533775832570809,40.827586206896555,107.42,2.2253583661782086,4.35536372935649,0.8180923893533903,0.8010492205619812,2.6513594388138646,1.319066595675841,0.80488063060036,0.8506504992974283,49.50613088989258,467.98582142273835
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,35,4.855178674966804,0.8793937276303768,0.4208586812764406,nan,1.1517266612499952,7.500853333473206,1000.0,nan,nan,0,0,0,11106,0.8296659055744868,0.853052177729008,9.480185360675488,152.81769188423667,6.025838792324066,97.13468048095703,187.13176822662354,192.36006484985353,187.13176822662354,192.36006484985353,5710.088046078696,705.3121513989411,0.8296659055744868,0.853052177729008,40.875,104.52,2.2638521274863943,4.420913590781172,0.822648037225008,0.7894613373279572,2.69526442014535,1.3231594564956175,0.7940388131758263,0.8498264850180395,44.46022955322265,323.7852477543064
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,36,4.981384844584453,0.8797682279348373,0.41808319531381133,nan,0.8755488178946755,7.458735527992249,1000.0,nan,nan,0,0,0,11030,0.806691446484484,0.8527431688144511,9.249565527669832,157.6623915211976,5.918577107516202,100.88441650390625,181.9993133544922,192.29391387939452,181.9993133544922,192.29391387939452,5688.866459760391,695.443019479216,0.806691446484484,0.8527431688144511,31.272727272727273,103.42,2.3350519318687626,4.485071649684746,0.8437454212795604,0.7777381330728531,2.765055875431959,1.312061145065775,0.7896410866838987,0.8444387598697031,46.46675256347656,389.39872812530035
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,37,5.09474496874217,0.8801834754645824,0.4155583500117064,nan,1.0335237724440438,7.440445437431335,1000.0,nan,nan,0,0,0,10622,0.8111397951778788,0.8502499531130089,9.3694921935783,162.4043746421722,6.03541762488229,104.6138045501709,182.81019810267858,191.76950286865235,182.81019810267858,191.76950286865235,5824.751820567457,687.7076813672938,0.8111397951778788,0.8502499531130089,29.142857142857142,102.14,2.3817242263128033,4.5504648853992595,0.8256848411900657,0.7690637117624283,2.815472358130094,1.3100841505472893,0.7760171837974013,0.8454469512613263,43.47258612060547,300.6345872493476
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,38,5.210187290893459,0.88046322748065,0.41328474558889866,nan,1.1605043653398752,7.396266860961914,1000.0,nan,nan,0,0,0,12040,0.8575078358260022,0.8492217849947926,9.299248207116516,167.06342154983403,6.030237391591072,108.33478889465331,193.33320808410645,191.66176544189454,193.33320808410645,191.66176544189454,6188.848495733153,679.628167689253,0.8575078358260022,0.8492217849947926,40.03125,107.59,2.4171309572666018,4.61772210206758,0.7460795063525438,0.7581960707902908,2.8572491862267975,1.3234163860084747,0.7552587218356855,0.8512305245902372,50.70567840576172,532.0119372647723
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,39,5.259778394924753,0.8808209788799286,0.4109912496805191,nan,0.922609232366085,7.23248055934906,1000.0,nan,nan,0,0,0,11194,0.8176898698132433,0.8560312135206408,9.134557580630009,171.61732817631034,5.963062810897827,112.03223564147949,184.57927474975585,193.07956756591796,184.57927474975585,193.07956756591796,5928.2489755496945,682.181383601541,0.8176898698132433,0.8560312135206408,36.4,104.66,2.4626427075274933,4.680642890692547,0.7922877669334412,0.7356583386659622,2.906242744160504,1.3250879828440438,0.7450965767105421,0.8496409895694078,45.999084503173826,373.56623574229604
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,40,5.329349565660912,0.8811647276580333,0.40884465619921684,nan,1.1435783430933952,7.15007622718811,1000.0,nan,nan,0,0,0,11506,0.8011721533667475,0.8566970475755824,9.247586104080586,175.98032805519793,6.07722822825114,115.6488412475586,180.77342160542807,193.21474319458008,180.77342160542807,193.21474319458008,6048.055407759625,678.9443448890228,0.8011721533667475,0.8566970475755824,38.5,105.82,2.5110880153717123,4.746765169990412,0.8047915945450465,0.7219581860303879,2.958223446295452,1.3273423709259975,0.7379904586461282,0.8459502938577433,47.320072875976564,426.09552855026664
