algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,nsr_honest,nsr_attacker,eps_n_honest,eps_n_attacker,sigma_n_honest,sigma_n_attacker,balance_kept_honest,balance_kept_attacker,n_dp_norm_honest,n_dp_norm_attacker,noise_norm_honest,noise_norm_attacker,balance_threshold_honest,balance_threshold_attacker,balance_local_norm_honest,balance_local_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.4588254886865616,1.9725979560613631,nan,0.5606621503829956,0.5639237318436304,1000.0,nan,nan,0,0,0,50158,1.0,1.0,1.0,1.0,959.345279670674,959.3728678985516,0.019060445256894678,1.906044525689468,1.0,1.0,65.0,166.76,224.26490783691406,225.56935465494792,224.26490783691406,225.56935465494792,9.905826490021425,9.906993123685758,4.9860429763793945,4.986630194981893,1.1512508935164383,0.9321785469853499,1.0,1.0,136.2386724243164,579.4611018578137
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,1,1.946911315461788,0.5725904849171638,1.705789071917534,nan,0.5589944322903951,0.967879382967949,1000.0,nan,nan,0,0,0,51210,0.9900498337491682,1.1086853368520357,1.0,0.8801721902688344,1085.8499594767363,1223.4205499238747,0.13510979829435782,1.937879308224933,0.9900498337491682,1.1086853368520357,58.5,168.36,223.59742863972983,250.05531885782878,223.59742863972983,250.05531885782878,9.886589938525713,9.90156669833583,5.009646932284038,5.017235825856527,1.216771504252703,0.9364900281985935,0.8847809521815716,1.1041224328865407,155.3995296020508,760.1127289817664
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,2,2.0578618851857744,0.6224689835309982,1.4813805121183394,nan,0.5533000032107035,1.5383420606454214,1000.0,nan,nan,0,0,0,51100,0.9801986733067553,1.0230055249170458,1.0,0.956328392624855,1180.6086736844545,1228.6505403952424,0.22363997897057375,2.03501848464758,0.9801986733067553,1.0230055249170458,68.88888888888889,168.26666666666668,221.31918674045139,230.80846369425456,221.31918674045139,230.80846369425456,9.880174982643688,9.994239685196236,5.039883878495958,5.098068359692891,1.3104670823767774,0.9703044972560462,0.9576003811891797,1.0217587234138337,142.46882357788087,758.4412803634658
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,3,2.221745268648679,0.6511569839715957,1.305307201743126,nan,0.5837284369128091,2.0277463551362356,1000.0,nan,nan,0,0,0,51242,0.9723069108662334,1.000292659803879,0.9980819353035518,0.9692438934246699,1322.9924638201987,1346.417464222113,0.35478841308614634,2.179447648029288,0.9723069108662334,1.000292659803879,53.07142857142857,168.33,219.50980050223214,225.73441543579102,219.50980050223214,225.73441543579102,9.881077168357578,10.325097348291377,5.074058634894235,5.302068637212117,1.4495839540520314,1.0142871849926967,0.9705296659925181,0.9990448875582516,141.58692367553712,844.8942675202334
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,4,2.4149593168204118,0.6734929838776589,1.1758206033706664,nan,0.5946867532200284,2.4697504981358844,1000.0,nan,nan,0,0,0,50968,0.9659876367799503,0.9915409445858461,0.9945896599027846,0.9679935018221537,1521.598156473796,1526.5303317160904,0.4374117056535613,2.3489167216172033,0.9659876367799503,0.9915409445858461,61.44444444444444,168.05,217.57247077094183,223.71524586995443,217.57247077094183,223.71524586995443,9.88326909813224,11.047598761599632,5.109131813049316,5.711029187838236,1.5843147152317465,1.071973363695477,0.968768147203143,0.9907966734847033,138.1454519958496,943.3069658461825
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,5,2.464043566567822,0.6907744827866554,1.0817281836271286,nan,0.7707500457763672,2.868742427031199,1000.0,nan,nan,0,0,0,50564,0.9754657695362586,0.9891217633803165,0.9745210309823354,0.9601648793617884,1741.7570663755512,1728.2307129181288,0.4713689166486084,2.4470443605090146,0.9754657695362586,0.9891217633803165,57.166666666666664,167.40333333333334,219.36432902018228,223.08849782307942,219.36432902018228,223.08849782307942,9.885364045045163,12.273997018425526,5.144396702448527,6.387454169591268,1.6567741829648521,1.1075974145116556,0.9604463725308188,0.9888539987951388,136.48547064208984,1057.8395125473837
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,6,2.5134226995080664,0.7022069805860519,1.0115594804286956,nan,0.6593261446271624,3.2313056325912477,1000.0,nan,nan,0,0,0,50646,0.9642663208525338,0.98909075262885,0.9761067799159459,0.9497472910086314,2023.0798011479417,1917.585495676351,0.5264758048247181,2.4886858007145185,0.9642663208525338,0.98909075262885,55.57142857142857,167.52333333333334,218.12398420061385,223.06154205322267,218.12398420061385,223.06154205322267,9.876037184811414,14.036826384665725,5.173921040126255,7.353701693216959,1.7038018023585986,1.1138113746176395,0.9503483217003291,0.9885247232398134,136.89066101074218,1178.874414621882
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,7,2.5677819724527606,0.7100979837775231,0.9577536031603813,nan,0.5730770400592259,3.569189574718475,1000.0,nan,nan,0,0,0,51486,0.9602642152048421,0.9881218757036437,0.9701087730271476,0.9402312042315801,2272.40281956261,2067.7868314854404,0.6595432481287148,2.5304145906269344,0.9602642152048421,0.9881218757036437,61.42857142857143,168.75333333333333,216.40803745814733,222.8810791015625,216.40803745814733,222.8810791015625,9.86099387481496,16.30236318909585,5.200595378875732,8.597712942759197,1.7820660536276467,1.1006759122708958,0.9415633251332933,0.986879814407519,139.7880725097656,1304.2993778390176
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,8,2.625172152988488,0.7164244818687439,0.9147552397847175,nan,0.6584712465604147,3.879192389647166,1000.0,nan,nan,0,0,0,51670,0.9522378776013307,0.9875401262583273,0.9684530218442281,0.9302105524142583,2492.192431703233,2173.5551943864853,0.7870881509660106,2.5731254925031446,0.9522378776013307,0.9875401262583273,64.0,169.03333333333333,214.67058512369792,222.7189483642578,214.67058512369792,222.7189483642578,9.853015159829773,19.011563047718973,5.231145795186361,10.093586225509643,1.8587105558882908,1.0869876454197231,0.932031622387114,0.9858590667984702,140.07148657226563,1378.898889582988
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,9,2.685578019082407,0.7224479812383652,0.8798737391829491,nan,0.6987993170817693,4.171389314333598,1000.0,nan,nan,0,0,0,51628,1.0316496753929538,0.9854684799017805,0.8711954553922018,0.9217257318894069,2955.099947553159,2237.7014899702626,0.8476701569045316,2.6174299354355823,1.0316496753929538,0.9854684799017805,75.16666666666667,169.08666666666667,232.58192698160806,222.34802810668944,232.58192698160806,222.34802810668944,9.829889469883609,22.096815193776614,5.253776629765828,11.810074936548869,1.9095260240231622,1.089287412868999,0.9197822597164375,0.987244679728364,138.99078311157226,1413.543292723433
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,10,2.750962252934856,0.7274534806609154,0.8504823648929596,nan,0.586167958649722,4.434557058016459,1000.0,nan,nan,0,0,0,51156,0.9217604599870358,0.9846011179393263,0.9812971461902965,0.9118474785486858,2838.1988071397836,2256.8913034637517,0.9561054006012337,2.663088277407217,0.9217604599870358,0.9846011179393263,60.90909090909091,168.28666666666666,208.0155722878196,222.09816701253254,208.0155722878196,222.09816701253254,9.805325654375702,25.503698214580613,5.2757023898038,13.722126766840617,1.9802951266848237,1.0772839089075543,0.9143038976614115,0.9823784580117532,137.83524279785155,1416.5751558353263
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,11,2.799837209521332,0.7321504831314087,0.825394775569439,nan,0.7712104274676397,4.6726183366775516,1000.0,nan,nan,0,0,0,51594,0.9670517548908151,0.9842012728359572,0.9205013330166156,0.9013577022155126,3170.20277534727,2233.961202291826,1.031211732301341,2.710260100923525,0.9670517548908151,0.9842012728359572,69.15384615384616,168.98333333333332,218.1439936711238,222.0422477722168,218.1439936711238,222.0422477722168,9.804062507616988,29.1763178890795,5.310307062589205,15.80316392580668,2.038640753474651,1.0738445139150714,0.9021528050922357,0.9834889925379162,138.8970924987793,1422.801993534125
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,12,2.878105908989876,0.7363259810209274,0.8041085109114647,nan,0.9054795168340206,4.908407688140869,1000.0,nan,nan,0,0,0,50592,0.9854737673224521,0.9806986125874224,0.8888814300298691,0.8942654019594193,3395.308834815781,2184.398932638299,1.0702994811910904,2.760526998143135,0.9854737673224521,0.9806986125874224,46.125,167.41,222.28667068481445,221.21992335001627,222.28667068481445,221.21992335001627,9.838937720924395,33.068542895222436,5.364843666553497,18.031170431772868,2.0844359913623167,1.0816018569056542,0.8941255585326777,0.9808226425805402,136.2885407409668,1364.9643009400322
