algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,balance_local_norm_honest,balance_local_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,balance_threshold_honest,balance_threshold_attacker,balance_kept_honest,balance_kept_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,10,0.835656037607864,0.8380549800395966,0.7249622901280721,nan,1.488881478184148,9.233011121749877,1000.0,nan,nan,0,0,0,32034,0.26543922058691427,0.8204150106354868,4295.934330366229,2177.5918524597732,5.440145843907406,26.308159122467043,398.56781808953536,407.8749673461914,10.110957303032103,48.89587177272857,60.10526315789474,154.46,1.7657537761105566,1.8085784878408486,1.7657537761105566,1.8085784878408486,0.9742433993439925,0.9493657910823822,398.56781808953536,407.8749673461914,0.48742953660634325,0.3622025166077839,0.9515241223927502,1.804863101891645,178.29556402587892,1034.282245537826
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,11,0.8476000873668852,0.8432903120915095,0.6834957154591879,nan,1.7020913130707211,9.843285150527954,1000.0,0.0,nan,0,382,0,31298,0.28724280308321115,0.8434025927645916,4717.209852132309,1953.8366684060718,5.518054008483887,30.853710594177247,398.696044921875,401.874012298584,10.18761171095155,56.963129192335074,32.27777777777778,153.585,1.7674212706431038,1.7814408397259973,1.7674212706431038,1.7814408397259973,0.9577577577696906,0.9494904661178589,398.696044921875,401.874012298584,0.5097067189557634,0.36670231656795194,0.9501730865294781,1.7802832606274095,175.1026625366211,951.3542220391919
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,12,0.8615932060369081,0.8475099809964498,0.649234781463941,nan,1.7542831030758945,10.392055306434631,1000.0,0.0,nan,0,320,0,30380,0.3013644628428606,0.8562377698196895,5058.880050114905,1758.7366761646908,5.529758453369141,35.72041383743286,396.1928045099432,396.765623626709,10.141385735738782,65.51000345140129,9.909090909090908,151.355,1.758126795785278,1.759455239366743,1.758126795785278,1.759455239366743,0.947570036758076,0.9467748188972473,396.1928045099432,396.765623626709,0.5233137856335921,0.3687981753761063,0.9468162757525512,1.7593859840141544,167.42249114990236,814.7900315684043
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,13,0.876273427600365,0.850908311009407,0.6206944797436397,nan,1.6675752085797928,10.901020030975342,1000.0,0.0,nan,0,350,0,30626,0.3175445885894073,0.8693905259368284,5481.732520739828,1591.1705725627253,5.680473776424632,40.873836498260495,399.35689230526197,392.4130812072754,10.348571468554221,74.46312312042424,16.41176470588235,151.735,1.7710995722374254,1.7388361091141107,1.7710995722374254,1.7388361091141107,0.9237816158462974,0.9433866864442826,399.35689230526197,392.4130812072754,0.5382829635283758,0.37005280223786835,0.941850805337528,1.7413636615246928,170.54336682128906,822.8471347302443
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,14,0.8932690401575033,0.8542876456181209,0.596218900680542,nan,1.8451658487319946,11.359539847373963,1000.0,0.0,nan,0,349,0,30283,0.3295603647686273,0.8832908720877276,5750.961438002163,1452.7808134230256,5.603475464714898,46.29044687271118,388.28593275282117,388.13829849243166,10.140468543040953,83.7706568560695,3.7777777777777777,151.245,1.7174594082383716,1.7210203039237209,1.7174594082383716,1.7210203039237209,0.9406040045950148,0.9384075051546097,388.28593275282117,388.13829849243166,0.5510525676962674,0.3726931797873798,0.9385020912549142,1.7208669639181315,162.24446618652343,684.6296312532492
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,15,0.9119934922152977,0.8570516445239384,0.5753676789999008,nan,1.7729478292167187,11.784574842453003,1000.0,0.0,nan,0,615,0,30635,0.3464935618780639,0.8981738146715245,6145.895248544788,1338.8148730305686,5.636841922998428,51.94327730178833,391.587589263916,384.32183135986327,10.133071492415862,93.37585648834775,7.375,152.585,1.7389258884979606,1.7036512868366058,1.7389258884979606,1.7036512868366058,0.9111518040299416,0.9332393965125084,391.587589263916,384.32183135986327,0.5671656629954481,0.3739808888652915,0.9316032785508368,1.7062642202930025,166.25953540039063,732.1945971656608
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,16,0.9295470941496776,0.8594746458530426,0.557175412774086,nan,1.9717300642620434,12.145894012451173,1000.0,0.0,nan,0,518,0,30484,0.3569609930960011,0.9140471445146452,6376.512899269574,1250.2901399531745,5.645453106273305,57.81346040725708,380.63885220614344,381.3700254821777,10.081119403785005,103.23784230249174,6.0,152.09,1.6854318003818052,1.6905028202787218,1.6854318003818052,1.6905028202787218,0.9286981279199774,0.9254748630523681,380.63885220614344,381.3700254821777,0.5797954536634586,0.37770712288691977,0.9256429005573146,1.6902384543125322,160.92206494140626,640.3993397652004
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,17,0.9468134273156185,0.8615216449896494,0.5414916030565897,nan,1.4460310339927673,12.46527720451355,1000.0,0.0,nan,0,512,0,30542,0.3791975780540369,0.9310711080078611,6753.990369529922,1173.517791086012,5.605393499135971,63.868676052093505,382.7524471282959,378.67326950073243,9.943076100450384,113.29286811333884,8.125,152.06,1.6955267496709494,1.6786684137330823,1.6955267496709494,1.6786684137330823,0.9059939011931419,0.9168714189529419,382.7524471282959,378.67326950073243,0.5999469900355666,0.37744233513463626,0.9160656768966604,1.6799171793581096,163.71738610839844,685.5348082593623
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,18,0.9750858033809046,0.8635516444842021,0.5276318591833115,nan,1.6005178578197956,12.800884408950806,1000.0,0.0,nan,0,398,0,30460,0.400225036938995,0.9499710462309355,7127.1144755656405,1107.4150748862908,5.660548537969589,70.08682949066161,384.0890865325928,374.8506251525879,9.974195583321542,123.49682022257093,10.125,151.49,1.7037245924258397,1.661842389519001,1.7037245924258397,1.661842389519001,0.8840906750410795,0.9115227735042573,384.0890865325928,374.8506251525879,0.6201234406557712,0.37820823175291857,0.9094907662106885,1.6649447749195077,162.23110083007813,671.0336931726168
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,19,1.0135742233618297,0.8652226448059082,0.515466750562191,nan,1.7809235561977734,13.05120481491089,1000.0,0.0,nan,0,528,0,30492,0.41585640544151575,0.9709881501673966,7207.835158714949,1053.7834348213134,5.764069903980602,76.47558620452881,367.5346124822443,372.47148422241213,10.089120378124532,133.85878520874505,5.818181818181818,152.14,1.6289364897168843,1.6514069918257803,1.6289364897168843,1.6514069918257803,0.9169510548765009,0.9020108446478844,367.5346124822443,372.47148422241213,0.6379091033318681,0.38131295854473246,0.9027897181669118,1.650235543848539,157.0743551635742,580.0857474202542
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,20,1.065991094465903,0.8667686448494594,0.5045382770895958,nan,1.4674978295962016,13.315296397209167,1000.0,0.0,nan,0,347,0,30385,0.4330258680981488,0.9949350845708105,7446.851491180691,1003.9999966828094,5.654594612121582,82.99141460418701,364.49969482421875,369.1800003051758,9.831736787779226,144.2985395070934,9.2,151.235,1.6177940010722507,1.636847921707493,1.6177940010722507,1.636847921707493,0.9081032594045003,0.8952432081103325,364.49969482421875,369.1800003051758,0.6577895546872136,0.38562677189175243,0.896140420991321,1.6355185784073598,158.60699096679687,625.0055434085446
