algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_threshold_honest,balance_threshold_attacker,trust_honest,trust_attacker,balance_kept_honest,balance_kept_attacker,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,balance_local_norm_honest,balance_local_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,0,1.9060445256894678,0.3804953900575638,2.0956396102905273,nan,0.5643468648195267,0.0,1000.0,nan,nan,0,0,0,116,9.93469070299047,0.0,1.0,0.0,7.25,0.0,0.06099342482206297,0.0,1293.8435728713762,0.0,225.73837089538574,0.0,1.0,0.0,225.73837089538574,0.0,1.0,0.0,4.983930796384811,0.0,0.06099342482206297,0.3354638365213463,1.0,1.0,7.223627868652343,41.40299433188404
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,1,1.9687682624587162,0.5546969876289368,1.8904681315422058,nan,0.5985156372189522,0.0,1000.0,nan,nan,0,0,0,210,9.935531129908766,0.0,0.994755985836188,0.0,8.75,0.0,0.1460694000668981,0.0,1257.5319925251079,0.0,224.85147031148276,0.0,0.9972341442494198,0.0,224.85147031148276,0.0,0.9972341442494198,0.0,5.000994642575582,0.0,0.1460694000668981,0.5093334060547277,0.994755985836188,0.9972341442494198,10.792870574951172,60.36153564120518
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,2,2.0596204226612884,0.6508229830265045,1.6798753044605255,nan,0.5915341112348769,0.0,1000.0,nan,nan,0,0,0,272,9.957365207176109,0.0,0.9983979176591944,0.0,10.074074074074074,0.0,0.24782970121741976,0.0,1233.55588679246,0.0,222.41046368634258,0.0,0.9857039730558502,0.0,222.41046368634258,0.0,0.9857039730558502,0.0,5.028719195613155,0.0,0.24782970121741976,0.6469129338790834,0.9983979176591944,0.9857039730558502,12.0101650390625,66.61201788679283
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,3,2.097846439729663,0.7091549825668335,1.4800212469100953,nan,0.5867888501712254,0.0,1000.0,nan,nan,0,0,0,308,9.986607108751402,0.0,0.9982325881719589,0.0,11.0,0.0,0.35147082208527863,0.0,1251.636493407604,0.0,220.7090677533831,0.0,0.9780112086688831,0.0,220.7090677533831,0.0,0.9780112086688831,0.0,5.060326763561794,0.0,0.35147082208527863,0.7503291631023098,0.9982325881719589,0.9780112086688831,12.359707794189454,70.09164363082583
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,4,2.1655038073822555,0.7503499813079834,1.2998581204414368,nan,0.5653025393302624,0.0,1000.0,nan,nan,0,0,0,244,10.031098048408747,0.0,0.9992835659247178,0.0,9.384615384615385,0.0,0.45254888919462644,0.0,1307.4742214029973,0.0,218.48068002554086,0.0,0.9692004531967341,0.0,218.48068002554086,0.0,0.9692004531967341,0.0,5.09984199817364,0.0,0.45254888919462644,0.8283125152039159,0.9992835659247178,0.9692004531967341,11.360995361328126,67.98865951295585
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,5,2.245493674699524,0.7791005802154541,1.1457505574226379,nan,0.7114248245954513,0.0,1000.0,nan,nan,0,0,0,178,10.08809164352518,0.0,0.9867193132638932,0.0,8.9,0.0,0.5117043434757722,0.0,1425.2841727638074,0.0,219.7083251953125,0.0,0.9735493827130648,0.0,219.7083251953125,0.0,0.9735493827130648,0.0,5.145942306518554,0.0,0.5117043434757722,0.8683779615433785,0.9867193132638932,0.9735493827130648,8.7883330078125,57.0113669105523
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,6,2.245493674699524,0.7994163796901703,1.0194284522533417,nan,0.6590531143275175,0.0,1000.0,nan,nan,0,0,0,182,10.135669203392922,0.0,0.9813003214922819,0.0,8.272727272727273,0.0,0.5838858336019671,0.0,1555.6877308499277,0.0,219.04080963134766,0.0,0.970957082470698,0.0,219.04080963134766,0.0,0.970957082470698,0.0,5.187474445863203,0.0,0.5838858336019671,0.9100372538318453,0.9813003214922819,0.970957082470698,9.637795623779297,68.45026015739681
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,7,2.3525471484347165,0.8136219806671142,0.9186422865390778,nan,0.6414423379404791,0.0,1000.0,nan,nan,0,0,0,320,10.17331393762987,0.0,0.9816395044326782,0.0,11.03448275862069,0.0,0.6799692181398327,0.0,1727.2842362471545,0.0,216.9657982135641,0.0,0.962899703003641,0.0,216.9657982135641,0.0,0.962899703003641,0.0,5.224125927892224,0.0,0.6799692181398327,0.9573853803700481,0.9816395044326782,0.962899703003641,12.584016296386718,100.18248570233496
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,8,2.3788169143626567,0.8238619797229767,0.8389491376876831,nan,0.7348866339387565,0.0,1000.0,nan,nan,0,0,0,330,10.219477443251447,0.0,0.9530495302430515,0.0,11.379310344827585,0.0,0.7538778855899623,0.0,1966.1206591431092,0.0,221.45683604273302,0.0,0.9820447748930633,0.0,221.45683604273302,0.0,0.9820447748930633,0.0,5.265353433017073,0.0,0.7538778855899623,0.9904344810946946,0.9530495302430515,0.9820447748930633,12.844496490478516,114.03499823030035
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,9,2.430375774197568,0.8319777784347534,0.7753025323152543,nan,0.7169458512906675,0.0,1000.0,nan,nan,0,0,0,254,10.256345747761864,0.0,0.9356532582530269,0.0,9.407407407407407,0.0,0.8225329219890735,0.0,2189.684981951069,0.0,223.54247764304833,0.0,0.990407527051549,0.0,223.54247764304833,0.0,0.990407527051549,0.0,5.3019928755583585,0.0,0.8225329219890735,1.0145792039695682,0.9356532582530269,0.990407527051549,12.07129379272461,118.24298902535772
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,10,2.430375774197568,0.8380471807718277,0.7245234551429749,nan,0.7742450987139056,0.0,1000.0,nan,nan,0,0,0,358,10.31864010698543,0.0,0.9586176699207675,0.0,11.548387096774194,0.0,0.9127506974852672,0.0,2347.588035747214,0.0,216.8307376984627,0.0,0.9613170517343427,0.0,216.8307376984627,0.0,0.9613170517343427,0.0,5.352006112375567,0.0,0.9127506974852672,1.0420708686779194,0.9586176699207675,0.9613170517343427,13.443505737304687,145.55045821632723
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,11,2.459046179893976,0.8434743806123733,0.6828034150600434,nan,0.840103546778361,0.0,1000.0,nan,nan,0,0,0,342,10.359404819494024,0.0,0.9517290035883585,0.0,11.4,0.0,0.9863414205941657,0.0,2570.431733727246,0.0,216.52548166910807,0.0,0.959965566717559,0.0,216.52548166910807,0.0,0.959965566717559,0.0,5.391090075174968,0.0,0.9863414205941657,1.0609034144224574,0.9517290035883585,0.959965566717559,12.991528900146484,154.2259040236348
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,12,2.459046179893976,0.8477731804847717,0.6485370575189591,nan,0.8348721305529276,0.0,1000.0,nan,nan,0,0,0,392,10.376748935119808,0.0,0.9291105151176453,0.0,13.066666666666666,0.0,1.0566595757270087,0.0,2847.0265031708477,0.0,219.44793395996095,0.0,0.9728645622019718,0.0,219.44793395996095,0.0,0.9728645622019718,0.0,5.418146467208862,0.0,1.0566595757270087,1.0756595978212395,0.9291105151176453,0.9728645622019718,13.166876037597657,170.82159019025084
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,13,2.5359790935818567,0.8513279793262482,0.6198622719049454,nan,0.8411985061786793,0.0,1000.0,nan,nan,0,0,0,286,10.446880269884618,0.0,0.9173705776532491,0.0,10.592592592592593,0.0,1.1077495638766939,0.0,3061.408779412271,0.0,220.21558125813803,0.0,0.9756930231513976,0.0,220.21558125813803,0.0,0.9756930231513976,0.0,5.472977938475432,0.0,1.1077495638766939,1.0842698002602527,0.9173705776532491,0.9756930231513976,11.891641387939453,165.31607408826264
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,14,2.5359790935818567,0.8546697779893875,0.5954556034803391,nan,0.8016124533282386,0.0,1000.0,nan,nan,0,0,0,120,10.412818747206599,0.0,0.9556642108493381,0.0,6.666666666666667,0.0,1.1631383146583563,0.0,3162.664066730009,0.0,210.71907975938586,0.0,0.9336824151922531,0.0,210.71907975938586,0.0,0.9336824151922531,0.0,5.473347690370348,0.0,1.1631383146583563,1.0899970878677983,0.9556642108493381,0.9336824151922531,7.58588687133789,113.85590640228033
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,15,2.5359790935818567,0.8573981779813766,0.574606672167778,nan,0.9172107771686886,0.0,1000.0,nan,nan,0,0,0,200,10.43572349232324,0.0,0.9266586407371189,0.0,8.695652173913043,0.0,1.2110442755625928,0.0,3415.605153668677,0.0,214.72160538383153,0.0,0.9519683871040219,0.0,214.72160538383153,0.0,0.9519683871040219,0.0,5.503702371016793,0.0,1.2110442755625928,1.0951528249981186,0.9266586407371189,0.9519683871040219,9.87719384765625,157.11783706875914
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,16,2.5359790935818567,0.8598319790363311,0.5564719109535218,nan,1.0581211298704147,0.0,1000.0,nan,nan,0,0,0,234,10.447335030589281,0.0,0.9178758213917414,0.0,9.75,0.0,1.2426374776493898,0.0,3626.980847949806,0.0,214.62667973836264,0.0,0.9521106152025984,0.0,214.62667973836264,0.0,0.9521106152025984,0.0,5.528222918510437,0.0,1.2426374776493898,1.1014485168978887,0.9178758213917414,0.9521106152025984,10.302080627441406,174.0950807015907
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,17,2.5359790935818567,0.8619547786712647,0.5408317888975144,nan,0.8163429728963159,0.0,1000.0,nan,nan,0,0,0,178,10.44021501950568,0.0,0.9072682478211143,0.0,8.090909090909092,0.0,1.2946205222729845,0.0,3834.8405215670487,0.0,215.06707555597478,0.0,0.9537828591758295,0.0,215.06707555597478,0.0,0.9537828591758295,0.0,5.542900930751454,0.0,1.2946205222729845,1.1023139167285183,0.9072682478211143,0.9537828591758295,9.46295132446289,168.7329829489501
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,18,2.5359790935818567,0.8639183770418167,0.5269592008590698,nan,0.9226790109406346,0.0,1000.0,nan,nan,0,0,0,222,10.470186027668799,0.0,0.8857648009839265,0.0,9.652173913043478,0.0,1.3380008905129042,0.0,4057.2307542367025,0.0,217.53177078910497,0.0,0.9648026072843278,0.0,217.53177078910497,0.0,0.9648026072843278,0.0,5.57737338024637,0.0,1.3380008905129042,1.102868647851398,0.8857648009839265,0.9648026072843278,10.006461456298828,186.63261469488836
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,19,2.6011554702657405,0.8656029781103134,0.5147151610851288,nan,0.9210644960403442,0.0,1000.0,nan,nan,0,0,0,194,10.503428889530854,0.0,0.9195579913529482,0.0,8.818181818181818,0.0,1.39057020933885,0.0,4094.182324296303,0.0,209.30400501598012,0.0,0.9280870234482168,0.0,209.30400501598012,0.0,0.9280870234482168,0.0,5.61376294222745,0.0,1.39057020933885,1.100147544105104,0.9195579913529482,0.9280870234482168,9.209376220703126,180.14402226903732
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,20,2.6904321810568126,0.8671725788116456,0.5038287381529808,nan,0.7770332928214755,0.0,1000.0,nan,nan,0,0,0,296,10.446428474250274,0.0,0.9067159465381077,0.0,10.571428571428571,0.0,1.451127538886613,0.0,4277.3704493808245,0.0,210.09417179652624,0.0,0.9316352157333547,0.0,210.09417179652624,0.0,0.9316352157333547,0.0,5.601940001760211,0.0,1.451127538886613,1.0965345340951165,0.9067159465381077,0.9316352157333547,11.765273620605468,239.53274516532622
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,21,2.6904321810568126,0.8686011785268783,0.4940231646895409,nan,0.8640606701374054,0.0,1000.0,nan,nan,0,0,0,160,10.460412100639527,0.0,0.8701002427509853,0.0,7.619047619047619,0.0,1.4865689815572574,0.0,4602.699314245299,0.0,215.4511922200521,0.0,0.9551650925997195,0.0,215.4511922200521,0.0,0.9551650925997195,0.0,5.628168106079102,0.0,1.4865689815572574,1.0949716426770861,0.8701002427509853,0.9551650925997195,9.048950073242187,193.31337119830255
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,22,2.6904321810568126,0.8698469789028168,0.4852240623831749,nan,1.0744870528578758,0.0,1000.0,nan,nan,0,0,0,300,10.537770635105428,0.0,0.8718523383140564,0.0,10.714285714285714,0.0,1.5235544770212055,0.0,4688.685223718587,0.0,213.3063577924456,0.0,0.9460849169495017,0.0,213.3063577924456,0.0,0.9460849169495017,0.0,5.688721282141549,0.0,1.5235544770212055,1.0936953696283387,0.8718523383140564,0.9460849169495017,11.945156036376954,262.5663725282409
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,23,2.7221931608953294,0.8709687782526017,0.4772729874253273,nan,0.9157611855438778,0.0,1000.0,nan,nan,0,0,0,152,10.5403559021609,0.0,0.8871540143376305,0.0,7.238095238095238,0.0,1.575222164290808,0.0,4709.123033674293,0.0,208.72286551339286,0.0,0.9258164196173081,0.0,208.72286551339286,0.0,0.9258164196173081,0.0,5.709115618751163,0.0,1.575222164290808,1.0869938736185643,0.8871540143376305,0.9258164196173081,8.7663603515625,197.78316741432027
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,24,2.7539126969650387,0.8719705781936645,0.47014785766601563,nan,0.9548421517014504,0.0,1000.0,nan,nan,0,0,0,146,10.540478268521502,0.0,0.867874875664711,0.0,7.3,0.0,1.6113528261814116,0.0,4991.858760804187,0.0,211.0670295715332,0.0,0.9343506411059138,0.0,211.0670295715332,0.0,0.9343506411059138,0.0,5.728244256973267,0.0,1.6113528261814116,1.0827270368319148,0.867874875664711,0.9343506411059138,8.442681182861328,199.6743504321675
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,25,2.8358503127718597,0.8729499784708024,0.46351295405626297,nan,0.7482941150665283,0.0,1000.0,nan,nan,0,0,0,142,10.447062317287282,0.0,0.9204022100097254,0.0,7.473684210526316,0.0,1.6643168526019188,0.0,4862.529091001507,0.0,199.29693523206208,0.0,0.8838999116200623,0.0,199.29693523206208,0.0,0.8838999116200623,0.0,5.696433669642398,0.0,1.6643168526019188,1.0736533235220544,0.9204022100097254,0.8838999116200623,7.57328353881836,184.7761054580573
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,26,2.8598836781838877,0.8738561773300171,0.45743143194913866,nan,0.9038202925161882,0.0,1000.0,nan,nan,0,0,0,184,10.517819219589768,0.0,0.8357843837954781,0.0,8.363636363636363,0.0,1.7026373663907652,0.0,5355.585819546276,0.0,213.62408239191228,0.0,0.9455841157312388,0.0,213.62408239191228,0.0,0.9455841157312388,0.0,5.754163655367765,0.0,1.7026373663907652,1.067956032854596,0.8357843837954781,0.9455841157312388,9.399459625244141,235.6457760600362
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,27,2.9166645221071055,0.8746225776672363,0.45205597507953643,nan,0.9433460579468653,0.0,1000.0,nan,nan,0,0,0,314,10.480199942167568,0.0,0.8443944775141202,0.0,12.076923076923077,0.0,1.747892115140826,0.0,5368.268051435263,0.0,210.10165229210486,0.0,0.9311121645068204,0.0,210.10165229210486,0.0,0.9311121645068204,0.0,5.752726463171152,0.0,1.747892115140826,1.060143156893302,0.8443944775141202,0.9311121645068204,10.925285919189452,279.1499386746337
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,28,3.004146196216327,0.8754163788557052,0.4469416968226433,nan,0.8477486107084486,0.0,1000.0,nan,nan,0,0,0,292,10.473480610282822,0.0,0.846788348975005,0.0,10.814814814814815,0.0,1.7946471349964712,0.0,5511.482671342605,0.0,208.01433704517507,0.0,0.9217795257953613,0.0,208.01433704517507,0.0,0.9217795257953613,0.0,5.768233564164904,0.0,1.7946471349964712,1.0527130189832177,0.846788348975005,0.9217795257953613,11.232774200439453,297.62006425250064
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,29,3.0426556210596214,0.8761381779909134,0.4422124904990196,nan,0.8229723388240451,0.0,1000.0,nan,nan,0,0,0,162,10.431443497001746,0.0,0.8425117873010182,0.0,7.714285714285714,0.0,1.8244378842033362,0.0,5556.074716514398,0.0,206.87142435709634,0.0,0.9178257910328396,0.0,206.87142435709634,0.0,0.9178257910328396,0.0,5.764263993217831,0.0,1.8244378842033362,1.049370029268172,0.8425117873010182,0.9178257910328396,8.688599822998047,233.35513809360472
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,30,3.100161823503406,0.8767511769533157,0.4379639641046524,nan,1.012417950667441,0.0,1000.0,nan,nan,0,0,0,394,10.506876131875863,0.0,0.8320315768942237,0.0,12.3125,0.0,1.8708645988747465,0.0,5739.055717093834,0.0,207.34750127792358,0.0,0.9187565024609721,0.0,207.34750127792358,0.0,0.9187565024609721,0.0,5.825332418084145,0.0,1.8708645988747465,1.0443598059132546,0.8320315768942237,0.9187565024609721,13.27024008178711,367.29956589400535
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,31,3.267784650372744,0.877280379652977,0.43402024775743486,nan,1.1221113287740283,0.0,1000.0,nan,nan,0,0,0,126,10.543808155135325,0.0,0.8229052556885613,0.0,7.0,0.0,1.8906772011557673,0.0,5770.734840857766,0.0,207.20531802707248,0.0,0.9185575879037464,0.0,207.20531802707248,0.0,0.9185575879037464,0.0,5.86532719930013,0.0,1.8906772011557673,1.0452352921696841,0.8229052556885613,0.9185575879037464,7.45939144897461,207.74645427087958
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,32,3.281086654489001,0.8778847770690918,0.43030356073379517,nan,1.0365194839735825,0.0,1000.0,nan,nan,0,0,0,224,10.503851469753657,0.0,0.8645405073960623,0.0,9.333333333333334,0.0,1.9439234797484448,0.0,5700.991681516116,0.0,198.25336774190268,0.0,0.8790068470882598,0.0,198.25336774190268,0.0,0.8790068470882598,0.0,5.862609525521596,0.0,1.9439234797484448,1.037203735678797,0.8645405073960623,0.8790068470882598,9.516161651611329,273.64760071277357
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,33,3.299095619626876,0.878372378230095,0.42692760813236236,nan,1.1212684214115143,0.0,1000.0,nan,nan,0,0,0,234,10.541995197224917,0.0,0.8505770826339721,0.0,9.36,0.0,1.9861958166492597,0.0,5874.414732648796,0.0,199.05226928710937,0.0,0.8827263864121261,0.0,199.05226928710937,0.0,0.8827263864121261,0.0,5.903544750213623,0.0,1.9861958166492597,1.0329383148568607,0.8505770826339721,0.8827263864121261,9.95261346435547,293.72073663243987
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,34,3.309881583599814,0.878898777961731,0.42375973945856094,nan,1.1010731082213552,0.0,1000.0,nan,nan,0,0,0,562,10.593490283688755,0.0,0.8061116376989766,0.0,14.789473684210526,0.0,2.039267478237035,0.0,6113.598703147424,0.0,205.15851833945825,0.0,0.9095689360846023,0.0,205.15851833945825,0.0,0.9095689360846023,0.0,5.95218973410757,0.0,2.039267478237035,1.0268975897641688,0.8061116376989766,0.9095689360846023,15.592047393798827,464.63350143920417
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,35,3.335308650633853,0.879402777671814,0.42075670236349105,nan,1.1327930180465473,0.0,1000.0,nan,nan,0,0,0,114,10.58427490607663,0.0,0.8175615422865924,0.0,6.705882352941177,0.0,2.065309183356448,0.0,6099.403555805442,0.0,201.65515675264245,0.0,0.8936677616117767,0.0,201.65515675264245,0.0,0.8936677616117767,0.0,5.966868316425996,0.0,2.065309183356448,1.0218954222695644,0.8175615422865924,0.8936677616117767,6.8562753295898435,207.37972089738503
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,36,3.3634836398847234,0.879779377579689,0.417949525475502,nan,0.9564995135252292,0.0,1000.0,nan,nan,0,0,0,288,10.462127260288595,0.0,0.8139363401211225,0.0,11.076923076923077,0.0,2.1142858581931065,0.0,6159.871102810729,0.0,200.63292576716498,0.0,0.8892649781276519,0.0,200.63292576716498,0.0,0.8892649781276519,0.0,5.917700602458074,0.0,2.1142858581931065,1.0101292556855233,0.8139363401211225,0.8892649781276519,10.432912139892577,320.31329734615787
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,37,3.3945518422428416,0.8802001799345016,0.4154236345887184,nan,1.012451709806919,0.0,1000.0,nan,nan,0,0,0,158,10.55425473516667,0.0,0.8172782510519028,0.0,7.9,0.0,2.1539440009281408,0.0,6175.178026149502,0.0,198.50464477539063,0.0,0.8796935677136339,0.0,198.50464477539063,0.0,0.8796935677136339,0.0,5.989743304252625,0.0,2.1539440009281408,0.9979076532553286,0.8172782510519028,0.8796935677136339,7.940185791015625,247.00712104598009
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,38,3.4399454236198217,0.8805233776569367,0.4131087173819542,nan,1.1499575642315116,0.0,1000.0,nan,nan,0,0,0,530,10.536925247220513,0.0,0.7518390280169409,0.0,14.324324324324325,0.0,2.181494480577299,0.0,6644.194541123404,0.0,208.01294481432114,0.0,0.9209691362572319,0.0,208.01294481432114,0.0,0.9209691362572319,0.0,5.999874772252263,0.0,2.181494480577299,0.9986160302065378,0.7518390280169409,0.9209691362572319,15.392957916259766,491.6703960431319
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,39,3.482488684734698,0.8808803770542145,0.41080192631483076,nan,0.9611247687236123,0.0,1000.0,nan,nan,0,0,0,200,10.414988332256348,0.0,0.779869073111078,0.0,8.695652173913043,0.0,2.2108711290370695,0.0,6502.786910014351,0.0,201.61649222995925,0.0,0.8931133005027807,0.0,201.61649222995925,0.0,0.8931133005027807,0.0,5.950243286464525,0.0,2.2108711290370695,0.992912523557799,0.779869073111078,0.8931133005027807,9.274358642578125,299.1281978606602
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,40,3.5061202247651524,0.8812335766553879,0.4086622281074524,nan,1.14656220972538,0.0,1000.0,nan,nan,0,0,0,358,10.516958523673733,0.0,0.7842503289381663,0.0,11.933333333333334,0.0,2.2467925983182053,0.0,6606.2718638357455,0.0,199.2080841064453,0.0,0.8828154529642072,0.0,199.2080841064453,0.0,0.8828154529642072,0.0,6.028562180201212,0.0,2.2467925983182053,0.9891191723156967,0.7842503289381663,0.8828154529642072,11.95248504638672,396.37631183014463
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,41,3.549590509425555,0.8815173772573471,0.40682498425245284,nan,1.268511255045195,0.0,1000.0,nan,nan,0,0,0,508,10.561109377643438,0.0,0.8153178780465513,0.0,13.72972972972973,0.0,2.295823933197021,0.0,6447.981646021645,0.0,192.69355526485958,0.0,0.8534011907612704,0.0,192.69355526485958,0.0,0.8534011907612704,0.0,6.074083701984303,0.0,2.295823933197021,0.9853260832211113,0.8153178780465513,0.8534011907612704,14.25932308959961,477.15064180560177
