algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_threshold_honest,balance_threshold_attacker,balance_local_norm_honest,balance_local_norm_attacker,balance_kept_honest,balance_kept_attacker
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,56,0.0,0.7908895812034606,0.5907679890394211,nan,0.03137339724227786,0.0,,nan,nan,0,0,0,72,8.062747836592008,0.0,5.8950159549713135,0.0,5.142857142857143,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,57,0.0,0.791031379699707,0.5901266641616821,nan,0.031025202456861734,0.0,,nan,nan,0,0,0,318,8.036441108125668,0.0,5.915084736687796,0.0,11.357142857142858,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,58,0.0,0.7915503807067871,0.5890514125823975,nan,0.030685855258256196,0.0,,nan,nan,0,0,0,426,7.998445159116358,0.0,5.926497042179108,0.0,13.3125,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,59,0.0,0.7917669810056687,0.5882187615633011,nan,0.030570601787418127,0.0,,nan,nan,0,0,0,182,7.956242127348264,0.0,5.93465925299603,0.0,7.913043478260869,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,60,0.0,0.7918877810239792,0.5878456263542176,nan,0.030647816982120275,0.0,,nan,nan,0,0,0,232,7.9078058288830135,0.0,5.937984923521678,0.0,9.666666666666666,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,61,0.0,0.7920881788730622,0.5872570251226426,nan,0.030913410101085902,0.0,,nan,nan,0,0,0,276,7.881139919473507,0.0,5.957546325830313,0.0,10.615384615384615,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,62,0.0,0.7925983790159226,0.5861373543739319,nan,0.030652108576148748,0.0,,nan,nan,0,0,0,260,7.842688712957929,0.0,5.968135356903076,0.0,10.0,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,63,0.0,0.7928165810108185,0.5854874873161315,nan,0.030120911289006472,0.0,,nan,nan,0,0,0,390,7.794549742293029,0.0,5.971177980303764,0.0,12.1875,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,64,0.0,0.7931985801458359,0.5846632689237594,nan,0.030320298418402673,0.0,,nan,nan,0,0,0,322,7.760829512106141,0.0,5.9851139443261285,0.0,11.5,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,65,0.0,0.7934063799381256,0.5839376864433289,nan,0.029784118954092265,0.0,,nan,nan,0,0,0,250,7.718118263696892,0.0,5.991988970683171,0.0,9.615384615384615,0.0
