algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,noise_norm_honest,noise_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,eps_n_honest,eps_n_attacker,sigma_n_honest,sigma_n_attacker,nsr_honest,nsr_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,2.410703046206268,0.3799659892916679,2.0955998420715334,nan,0.5636371799877712,0.5638625544309616,1000.0,nan,nan,0,0,0,30800,225.45499093191964,225.54495796203614,225.45499093191964,225.54495796203614,1.0,1.0,1.0,1.0,0.05624973774481293,2.410703046206269,1.0,1.0,1288.099957924811,1288.9794921870032,0.9980310611293951,1.1873881085365645,1.0,1.0,93.37435305786133,533.6251962857486
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,2.4986394305314548,0.5538036535183589,1.8905380769570668,nan,0.6175006031990051,1.0205972015857696,1000.0,0.0,nan,0,17,0,31151,224.70505905151367,239.40231185913086,224.70505905151367,239.40231185913086,0.9972757118130754,1.0611274810234037,0.9927015006542206,0.928208010494709,0.17042431188668397,2.4829034819234357,0.9972757118130754,1.0611274810234037,1244.460313145775,1333.6903992695195,1.095415979901385,1.2308422113243669,0.9329853060620802,1.056397720341157,102.95148663330077,573.2988897284725
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,2.62749250799806,0.650318317214648,1.6800608110427857,nan,0.6193262497584026,1.5500242865085603,1000.0,0.0,nan,0,2,0,31304,221.5888671875,229.0981859588623,221.5888671875,229.0981859588623,0.9824535082533985,1.0157850997703135,0.9976996143658956,0.9636946800351143,0.28575230766832865,2.6100644717964543,0.9824535082533985,1.0157850997703135,1214.333425755514,1250.1047791602164,1.2154771733195786,1.2913727361695084,0.966067117314006,1.0134596398970406,98.28694039916992,536.471914436752
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,2.791076554815617,0.7094399817784627,1.4803069202105203,nan,0.5976694256067276,2.022473206520081,1000.0,0.0,nan,0,126,0,31256,219.52178115844725,226.21750030517578,219.52178115844725,226.21750030517578,0.9730229740856323,1.002636306303228,0.9973440647125245,0.9668288722634315,0.43646336641278927,2.7626232875295837,0.9730229740856323,1.002636306303228,1247.7673385929863,1236.7560609198417,1.366927334859507,1.3533779420707006,0.9696029806678945,0.9999441851925378,99.26787136840821,544.6131179116561
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,2.984582355609775,0.7506399838129679,1.3001197838783265,nan,0.5765019272054944,2.4732165610790253,1000.0,0.0,nan,0,1,0,31207,216.89076450892858,223.48192489624023,216.89076450892858,223.48192489624023,0.96252422756829,0.990131383872436,0.9981944135257176,0.9694605877995491,0.5466876081513582,2.9446149184612933,0.96252422756829,0.990131383872436,1302.483699632385,1242.1452020707447,1.505858532275332,1.4199651985242576,0.9713403707909807,0.9883253082263703,95.4657113647461,533.3276244180047
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,3.2154255243858376,0.7791256469488144,1.1461238296826681,nan,0.8088227311770121,2.894943438768387,1000.0,0.0,nan,0,2,0,30864,217.4638417561849,221.27893180847167,217.4638417561849,221.27893180847167,0.9643501271824336,0.980678210517427,0.9862065845065646,0.9690413424372673,0.5922660856033715,3.153116330068944,0.9643501271824336,0.980678210517427,1397.4578478730973,1269.939686512607,1.6166061833896006,1.501319382439341,0.9697805155407299,0.9799750873116138,92.425921875,533.1301158667586
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,3.3494613416028924,0.7993749801317851,1.0197083121538162,nan,0.6790088574091594,3.282575775384903,1000.0,0.0,nan,0,38,0,31134,217.69206848144532,219.91089530944825,217.69206848144532,219.91089530944825,0.9640065022162487,0.974804455969483,0.9763826648394267,0.9649170029163361,0.6899380375553962,3.3386582635515594,0.9640065022162487,0.974804455969483,1552.7170568353356,1311.2848731460704,1.7494261279538614,1.5634842588836897,0.965716932817947,0.9740511103587923,94.49512017822266,571.0954609634882
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,3.401026366819379,0.8137533140182495,0.9188337157169978,nan,0.6198038425710466,3.6389191949367525,1000.0,0.0,nan,0,95,0,30953,215.5226821899414,219.01135925292968,215.5226821899414,219.01135925292968,0.9549542019158773,0.9709068144742028,0.9758038057221307,0.9586944982409478,0.8159618050382024,3.386661594421188,0.9549542019158773,0.9709068144742028,1717.6035522132083,1342.6011450689134,1.8442417207913966,1.561090776805568,0.9601071933540729,0.9695896262813137,95.36336026000977,598.874185907241
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,3.456231159766907,0.8240279787778855,0.8392609916130702,nan,0.7259213017380756,3.97866472363472,1000.0,0.0,nan,0,127,0,31787,217.72777855914572,217.6970704650879,217.72777855914572,217.6970704650879,0.9648027956769463,0.9654241075420543,0.9548416085865187,0.9541685494780541,0.9408328850988448,3.4347888769860275,0.9648027956769463,0.9654241075420543,1923.8038560541543,1323.6328948457783,1.9384152818537181,1.5580925777061483,0.9542379681304965,0.9653600260492405,97.09430599975586,617.9481353168024
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,3.5166181552549554,0.831934645374616,0.7756707670291265,nan,0.7717195616828071,4.299178016185761,1000.0,0.0,nan,0,40,0,31698,220.41011725531683,216.41481384277344,220.41011725531683,216.41481384277344,0.9777644282797959,0.9595615620498489,0.9301553070545197,0.9500724151730537,1.0201618859657235,3.48576548152831,0.9777644282797959,0.9595615620498489,2165.7943409517475,1253.14520821948,2.006403324190758,1.5625011038035943,0.9484278833100556,0.9610645510046152,94.50068975830078,579.2266795620551
