algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,noise_norm_honest,noise_norm_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,sigma_n_honest,sigma_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.45799132098754247,1.9725588444868725,nan,0.5636386786188398,0.5638626518845559,1000.0,nan,nan,0,0,0,30800,225.45499093191964,225.54495796203614,0.04447437226608758,1.9060445256894676,1.0,1.0,225.45499093191964,225.54495796203614,1.0,1.0,964.6712724282146,959.3900668043229,1.0,1.0,0.7891024336354395,0.9388193239754351,1.0,1.0,93.37435305786133,397.26142453572413
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,1.9456442697226521,0.5716356509923934,1.7057354462146759,nan,0.6104986891150475,0.9653140068054199,1000.0,0.0,nan,0,15,0,31153,226.12092208862305,250.6310750579834,0.1349695926266533,1.9372822140338104,0.9863288700580597,0.877935456931591,226.12092208862305,250.6310750579834,1.0035849336753495,1.1108998143207145,1108.0576765940746,1225.2807383617214,1.0035849336753495,1.1108998143207145,0.8558946411895162,0.9616778017084189,0.8859645986446628,1.1029505639025392,107.4882995300293,525.570140995699
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,2.054812904863944,0.6212996496756872,1.481204658349355,nan,0.6161812464396159,1.5320079672336577,1000.0,0.0,nan,0,2,0,31304,222.0217508951823,231.57352569580078,0.22701334840700718,2.0286717256977376,0.9957444151242574,0.9524955835938453,222.0217508951823,231.57352569580078,0.9843699919561025,1.0267624392442796,1179.245279401084,1222.1961871672925,0.9843699919561025,1.0267624392442796,0.9476766993232995,1.006593415317698,0.9555129439331764,1.023804826642779,99.29006280517578,524.2558332489494
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,2.192675440751966,0.6505673178037008,1.3050334819157918,nan,0.5974092841148376,2.0125352239608763,1000.0,0.0,nan,0,126,0,31256,219.574308013916,227.2578108215332,0.34835811427528235,2.156612885031721,0.9971043407917023,0.9620773282647133,219.574308013916,227.2578108215332,0.973255613093879,1.0072474209542435,1317.874824338965,1320.1771036935168,0.973255613093879,1.0072474209542435,1.0716600225778579,1.0604013960119958,0.9652616021308031,1.0041572566033012,99.68609664916993,580.7858344509652
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,2.371871483450103,0.6728669832150141,1.1756456482410431,nan,0.5762056240013668,2.4462794053554533,1000.0,0.0,nan,0,1,0,31207,216.95147378104073,225.77244407653808,0.4377707847801817,2.3018319204504754,0.9979144207068852,0.9588998144865036,216.95147378104073,225.77244407653808,0.9627932417116628,1.0002780633408919,1510.1333226935874,1459.3456937998444,0.9627932417116628,1.0002780633408919,1.1833952390482991,1.1146228304643773,0.9614521719027902,0.9978257852903814,96.38361889648438,626.0220105553582
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,2.453991032823318,0.6905123156309128,1.0815445148944856,nan,0.8039020101229349,2.842233209609985,1000.0,0.0,nan,0,2,0,30864,218.3334469265408,225.06605773925781,0.47509629974272694,2.4289668872023036,0.982149170504676,0.9513994061946869,218.3334469265408,225.06605773925781,0.9682096587684116,0.9974597393765349,1782.27627751612,1595.2980974261022,0.9682096587684116,0.9974597393765349,1.2566445347265576,1.1636930828715133,0.9527235587247821,0.9962001665273812,93.95642514038086,670.2002119657311
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,2.4975907681219045,0.7020386503140131,1.0112806703646977,nan,0.661132566134135,3.205580422878265,1000.0,0.0,nan,0,37,0,31135,220.73831176757812,224.7169383239746,0.5549724894319027,2.475622398072936,0.962064552307129,0.9422888448834419,220.73831176757812,224.7169383239746,0.977490792787035,0.9961148526652022,2049.347606162245,1692.6937823006642,0.977490792787035,0.9961148526652022,1.323232452888316,1.1738943699292088,0.9436685454013736,0.9948154996504465,96.50892468261719,738.5579411051332
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,2.5481799884221488,0.71026698132356,0.9573962893088659,nan,0.610732869969474,3.5395887541770934,1000.0,0.0,nan,0,88,0,30960,217.3230480617947,224.51313842773436,0.6591426916754016,2.514436873704278,0.967260092496872,0.9325399586558342,217.3230480617947,224.51313842773436,0.9629203073261573,0.9952931455458482,2279.2596167787324,1724.8703088191407,0.9629203073261573,0.9952931455458482,1.4012603644869523,1.175732612397589,0.9354067586977547,0.9926201589038555,97.62888510131836,772.0014697316908
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,2.595374573840563,0.7164993151028951,0.9145801373322805,nan,0.6986569036608157,3.872527312040329,1000.0,0.0,nan,0,123,0,31791,222.8860493535581,222.99569374084473,0.7616676048002221,2.5561591329014393,0.9300546749778416,0.9287145686149597,222.8860493535581,222.99569374084473,0.9876840192679164,0.9889210933573892,2590.131883581786,1678.8826646472828,0.9876840192679164,0.9889210933573892,1.4794642160407088,1.1776477655496842,0.9288527858631493,0.9887935027562328,99.45103576660156,790.6991325036753
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,2.655956093656263,0.7224693125486374,0.8795742150147756,nan,0.7236502170562744,4.182187774181366,1000.0,0.0,nan,0,48,0,31690,229.1574969821506,221.7421329498291,0.8260874520533981,2.6009812600822726,0.8876923223336538,0.9242190194129943,229.1574969821506,221.7421329498291,1.0165726742358911,0.9831897866801262,2903.4554479342437,1582.495052410544,1.0165726742358911,0.9831897866801262,1.5360449752649479,1.1839104213003162,0.9212030535991039,0.9859461718911525,96.94652307128906,737.5224170898504
